In what year did the film also mention the number of regenerations?,"['1996', '1996', '1996']",1976,1996
What kind of memory was Tesla thought to have?,"['photographic memory', 'photographic', 'photographic']",Photographic memory,Photographic memory
What band headlined half-time during Super Bowl 50?,"['Coldplay', 'Coldplay', 'Coldplay']",Coldplay,Coldplay
How many homes had BSkyB's direct-to-home satellite service available to them in 2010?,"['10 million', '10 million', '10 million']",10 million,10 million
What applies to equally to constant velocity motion as it does to rest.,"['Inertia', 'Inertia', 'Inertia', 'Inertia', 'Inertia']",Newton's First Law of Motion,Newton's first law
How much can Ctenophores eat in one day?,"['ten times their own weight', 'ten times their own weight', 'ten times their own weight']",up to 10 times its weight per day,Ten times their weight
Which two leading roles did Audra McDonald perform when she was in high school?,"['Evita and The Wiz', 'Evita and The Wiz', 'Evita and The Wiz']",Several musicals,Evita
When was the Britain Can Make It exhibition held?,"['between September and November 1946', 'between September and November 1946,', 'between September and November 1946']",autumn of 1946,1946
Why has the corruption not be in the public view?,"['Because the operations of the armed forces have been traditionally cloaked by the ubiquitous blanket of “state security”', 'state security', 'state security']",Lack of accounting for public funds diverted by corruption,lack of transparency
In lands attributed to what tribe are found remains of large settlements?,"['Xingu tribe', 'Xingu', 'Xingu']",Navajo Nation,Cahokia tribe
How many Victorians are non-religious?,"['20%', '20%', '20%']",38.9%,42%
What did the increase in skilled workers lead to?,"['a decrease in the price of skilled labor', 'decrease in the price of skilled labor', 'decrease in the price of skilled labor']",Increased wages,Rising wages
When was the last episode of the original series?,"['6 December 1989', '6 December 1989', '6 December 1989']","June 3, 1969","June 3, 1969"
"In a progressive tax, what increases as the taxable base amount increases?","['the tax rate', 'tax rate', 'tax rate']",Tax rate and amount paid,Tax rate and amount paid
What is a recent civil disobedience done in a group form?,"['refuse to sign bail', 'collectively refuse to sign bail until certain demands are met', 'some activists who commit civil disobedience as a group collectively refuse to sign bail until certain demands are met', 'jail solidarity']",Dousing Wall Street bull,Various forms of civil disobedience
What experiences acceleration when external force is applied to a system?,"['center of mass', 'center of mass', 'the center of mass', 'the center of mass', 'the center of mass']",the body,Center of mass
"New cameras were introduced for the game, what degree of view do they provide viewers?","['360-degree', '360', '360']",45-degree angle,180-degree view
What is usual form of oxygen bound compounds?,"['oxides', 'oxides', 'oxides', 'oxides', 'oxides']",oxyhemoglobin,Oxyhemoglobin
What actually causes rigidity in matter?,"['the Pauli exclusion principle', 'the Pauli exclusion principle', 'Pauli exclusion principle', 'Pauli exclusion principle']",Tightly packed molecules,Molecules packed together tightly
What titles are the President given?,"['the head of state and head of government', 'head of state and head of government', 'head of state and head of government']","""Mr. President"" and ""Madam President""","Comrade Supreme Commander, His Excellency"
Why were Johann Esch and Heinrich Voes executed by the Catholic Church?,"['for Lutheran views', 'Lutheran views', 'Lutheran views,']",adherence to Reformation doctrine,Adherence to Reformation doctrine
What did Gano hit on his 44-yard field goal attempt?,"['the uprights', 'the uprights', 'uprights']",Upright,Upright
What did Luther think that faith could not be understood by?,"['reason', 'reason', 'human reason']",anything else,Reason
When did the Channel 4 documentary Undercover Mosque air?,"['2007', '2007', '2007']","January 15, 2007","January 15, 2007"
Which Super Bowl did Roger Goodell speak about?,"['the 50th Super Bowl', 'the 50th', '50th']",Super Bowl LVI,Super Bowl LVI
In what year did ABC stylize it's logo as abc?,"['1957', '1957', '1957']",1962,1962
Who was responsible for the glass balustrade on the staircase and mezzanine in the main gallery?,"['Danny Lane', 'Danny Lane,', 'Danny Lane']",Danny Lane,Danny Lane
The Brotherhood's members are against consuming what beverage?,"['alcohol', 'alcohol', 'alcohol']",alcohol,Alcohol
What pope as a native of Poland?,"['John Paul II', 'John Paul II', 'John Paul II']",John Paul II,John Paul II
When large groups of people all boycott a system or don't pay taxes it can be considered?,"['coercive', 'civil disobedience', 'coercive', 'coercive', 'civil disobedience']",tax resistance,Tax resistance
Why is the collection dominated by fashionable clothes made for special occasions?,"['Because everyday clothing from previous eras has not generally survived', 'Because everyday clothing from previous eras has not generally survived', 'everyday clothing from previous eras has not generally survived', 'everyday clothing from previous eras has not generally survived']","The garment industry began and flourished, leading to the emergence of fashion houses and designer clothes.",Celebrations have great influence on the fashion industry.
What right do private schools have that public schools don't?,"['to select their students', 'select their students', 'select their students']",Limit speech,Greater freedom in curriculum and programs
How many major bus stations are in the city of Newcastle?,"['two', 'two', 'two']",Four,Three
What part of the Earth is composed of mostly of silicates of iron and magnesium?,"[""Earth's mantle"", ""The Earth's mantle"", 'mantle', ""The Earth's mantle"", 'mantle']",lower mantle,Lower mantle
How did Natives in Logstown take Celeron's information?,"['informed Céloron that they owned the Ohio Country and that they would trade with the British regardless of the French', 'informed Céloron that they owned the Ohio Country and that they would trade with the British', 'they owned the Ohio Country', 'they owned the Ohio Country and that they would trade with the British regardless of the French']",They burned the town,Curiously
What rift system developed in the Alpine orogeny?,"['N–S', 'N–S', 'N–S rift system']",The European Cenozoic Rift System,European Cenozoic Rift System
What day of the week was Media Day held on for Super Bowl 50?,"['Monday', 'Monday', 'Monday']",Monday,Monday
What entity did Tesla believe would not be able to solve the problems of the time?,"['League of Nations', 'the League of Nations', 'League of Nations']",Destroying,Destroying
"What is the theory that this King's name is the origin of ""Huguenot"" called?","['The ""Hugues hypothesis""', '""Hugues hypothesis""', 'Hugues hypothesis']",Hugues hypothesis,"""Hugues hypothesis"""
How many species of trees can be found in the Amazon rainforest?,"['16,000', '16,000', '16,000']","≈12,500","16,000"
What is the southern region where protestants are concentrated?,"['Cévennes', 'Cévennes', 'Cévennes mountain region']",The Bible Belt,Bible Belt
When did the attack occur in which the Normans impressed Prince Guaimar III occur?,"['999', 'In 999', '999']",1026,999
Which theory states that Earth's features remained unchanged after forming in one single catastrophic event?,"['catastrophism', 'catastrophism', 'catastrophism']",Uniformitarianism,Catastrophism
What can result in more equal distribution of income?,"['steeper tax', 'social spending', 'steeper tax progressivity']",progressive taxation,"Making taxes more progressive, investing in welfare systems, and investing in education and healthcare"
The Center in Paris is located near what river?,"['Seine', 'Seine', 'the Seine']",River Seine,River Seine
Whose theory was the theory of continental drift?,"['Alfred Wegener', 'Alfred Wegener', 'Alfred Wegener', 'Alfred Wegener']",Alfred Wegener,Alfred Wegener
What could inverted repeats help do?,"['stabilize the rest of the chloroplast genome', 'stabilize the rest of the chloroplast', 'help stabilize the rest of the chloroplast genome']",Define boundaries and indicate self-complementary regions,"Define boundaries, indicate self-complementary regions"
What are incompetent government's commitment to social justice limited to?,"['rhetoric', 'rhetoric', 'rhetoric']",Generalized subsidies or transfers,generalized subsidies or transfers to large sections of the population
What is the grace that we receive by faith and trust in God?,"['Justifying Grace or Accepting Grace', 'Justifying Grace or Accepting Grace', 'Justifying Grace']","God's love, forgiveness, and salvation.",Divine favor
In what year was the ordination order of transitional deacon abolished?,"['1996', '1996', '1996']",1996,1996
When was the outbreak of World War I?,"['August 1914', 'August 1914', 'August 1914']","July 28, 1914","June 28, 1914"
"Which Panthers player got a penalty, which gave the Broncos a new set of downs?","['Josh Norman', 'Josh Norman', 'Norman']",Corey Brown,Josh Norman
What type of system did Tesla suggest to Adams?,"['two-phased system', 'a two-phased system', 'two-phased system']",Two-phased system,two-phased system
"Who taped video intros for Doctor Who shows in Canada, that included a trivia question?","['Christopher Eccleston', 'Christopher Eccleston', 'Christopher Eccleston']",Rachel Talalay,Sir David Attenborough
What major event U.S. occurred that made the BBC delay the broadcast?,"['the assassination of US President John F. Kennedy', 'assassination of US President John F. Kennedy', 'the assassination of US President John F. Kennedy']","September 11, 2001 terrorist attacks",The 9/11 attacks
What was the name of Temüjin's wife Börte's first son?,"['Jochi', 'Jochi', 'Jochi']",Jochi,Jochi
What resolution were the cameras increased to for the game?,"['5K resolution', '5K', '5K']",128x112 pixels,640x480 pixels
Who took control of Qara Khitai after fleeing Temüjin's Mongol Empire?,"['Kuchlug', 'Kuchlug', 'Kuchlug']",Kuchlug,Kuchlug
What is an example of an NP-intermediate problem not known to exist in P or NP-complete? ,"['graph isomorphism problem', 'the discrete logarithm problem', 'graph isomorphism problem, the discrete logarithm problem and the integer factorization problem']",Graph isomorphism problem,"The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem"
In what year was the Great Internet Mersenne Prime Search project conducted?,"['In 2009', '2009', '2009', '2009', '2009']",1996,January 1996
Who was sacked as the first half clock expired?,"['Newton', 'Newton', 'Newton']",Kyle McCord,Jalen Hurts
Why did oil start getting priced in terms of gold?,"[""oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased."", ""Because oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased""]",falling value of the dollar,Falling value of the dollar
What was the final score of the game between the Panthers and the Seahawks?,"['31–24', '31–24', '31–24']",37-27,37-27
WHat were features of Apple Talk ,"['that allowed local area networks to be established ad hoc without the requirement for a centralized router or server', 'allowed local area networks to be established ad hoc without the requirement for a centralized router or server', 'allowed local area networks to be established ad hoc without the requirement for a centralized router or server']",No setup needed,No setup needed
What danger did the IPCC understate?,"['projected rises in sea levels', 'rises in sea levels', 'projected rises in sea levels']",Climate change,Global CO2 emission rates
Who is the current Governor of Victoria?,"['Linda Dessau', 'Linda Dessau', 'Linda Dessau']",Margaret Elaine Gardner,Margaret Gardner
How quick was the effect of Luther's preaching?,"['immediate', 'immediate', 'immediate']",Within a year,Within two weeks
How many interceptions did Aqib Talib have for the regular season?,"['three.', 'three', 'three']",35,35
What did John Dobson describe Newcastle as?,"[""England's best-looking city"", ""England's best-looking city"", ""England's best-looking city""]","""fashionable ideas from London""",the finest in England
Tumors that are able to evade the body's immune response can become what?,"['cancers', 'cancers', 'cancers']",Overt clinical cancer,Overt clinical cancer
Which sitcom produced a spinoff for ABC after ending its run in 1984?,"[""Three's Company"", ""Three's Company"", ""Three's Company""]",Three's Company,Three's Company
"Normally silver, what color was used for the number 50?","['gold', 'gold', 'gold']",Gold,Gold
When did Kibaki and Odinga sing an agreement on the formation of government?,"['28 February 2008', '28 February 2008', '28 February 2008']","February 28, 2008",2008
What radio station did the Doctor Who theme reach the charts on in 2011?,"[""Classic FM's Hall of Fame"", 'Classic FM', ""Classic FM's Hall of Fame""]",UK iTunes Top Songs chart,Pinnacle
How many quadrangles does the Main Quadrangles have?,"['six', 'six quadrangles', 'six', 'six']",One,Seven
How much of the population in the Middle East died of the plague?,"['about a third.', 'about a third', 'about a third']",33%,Approximately 33%
What did Charles Parsons invent?,"['the steam turbine', 'the steam turbine', 'the steam turbine']",Multi-stage steam turbine,Multi-stage steam turbine
In what year was the Alan Turing's definitional model of a computing device received?,"['1936', '1936', '1936']",1936,1936
How many research institutes does the university run on campus?,"['12', '12', '12']",Over 60,Over 60
When did Henry issue the Edict of Nantes?,"['1598', '1598', '1598']","April 13, 1598","April 13, 1598"
What was the age difference between Newton and Manning in Super Bowl 50?,"['13 years and 48 days', '13 years and 48 days', '13 years and 48 days']",13 years and 48 days,13 years and 48 days
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"['The Broncos', 'Denver', 'Denver']",Denver,Denver Broncos
What was the Henry Cole Wing previously called?,"['School for Naval Architects', 'the science schools', 'School for Naval Architects']",Huxley Building,Huxley Building
Which company has been able to air multiple ads at a steep discount?,"['Anheuser-Busch InBev', 'Anheuser-Busch InBev', 'Anheuser-Busch InBev']",Twitter,Netflix
What did Gasquet think the plague was?,"['some form of the ordinary Eastern or bubonic plague', 'bubonic plague', 'ordinary Eastern or bubonic plague']",some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague
Who created the code that governed military and civilian conduct in the Mongol Empire?,"['Genghis Khan', 'Genghis Khan', 'Genghis Khan']",Genghis Khan,Genghis Khan
Why was the Rhine regulated? ,"['constant flooding', 'constant flooding and strong sedimentation', 'to counteract the constant flooding and strong sedimentation in the western Rhine Delta', 'to counteract the constant flooding and strong sedimentation']",prevent flood disasters,Prevent flood disasters
What was the population of the Dutch Republic before this emigration?,"['ca. 2 million', '2 million', '2 million']",1.5 million,1.5 million
How many customaries does Norman customary law have?,"['two', 'two', 'two']",Two,Two customaries
What kind of climate does southern California maintain?,"['Mediterranean', 'a Mediterranean climate', 'Mediterranean']",Mediterranean climate,Mediterranean
What does AC stand for?,"['alternating current', 'alternating current', 'alternating current']",Alternating Current,Alternating Current
EM,,0.25157232704402516,0.27672955974842767
F1,,0.3540066502330653,0.4058062289315003
elapsed time,,147.9929007224317,226.63525387476076
