Question,Answer,Conversation#,Turn#,Context,Question Length
Was there any other causes of depression for Charlie Parker besides moving to California where the Heroin was less abundant?,Charlie Parker's life took a turn for the worse in March 1954 when his 3-year-old daughter Pree died.,4206,6,"[""What's interesting about Charlie Parker that you read?"", 'Charlie Parker was riddled with mental health problems and heroin addiction. Heroin use was prevalent in the jazz scene, and users could normally acquire it with little difficulty.', 'Did Charlie Parker die from mental health problems and heroin addiction?', 'The official causes of death were lobar pneumonia and a bleeding ulcer, but Charlie Parker also had an advanced case of cirrhosis and had suffered a heart attack.', 'When did Charlie Parker start using heroin?', ""In 1936, Charlie Parker had a car accident and broke three ribs and fractured his spine. The accident led to Parker's troubles with pain killers and opioids, especially heroin."", 'Why was Charlie Parker depressed?', 'Heroin was difficult to obtain once Charlie Parker moved to California, where the drug was less abundant, so he used alcohol as a substitute.', 'How many children did Charlie Parker have?', 'Charlie Parker had daughter, Pree.']",21
Did contributing songs to the Sunset Park and Don't Be a Menace to South Central While Drinking Your Juice in the Hood soundtracks lead to Ghostface Killah's own work?,Ghostface Killah's album had a more pronounced soul influence than previous Wu-Tang releases,98,2,"[""What was Ghostface Killah's earliest work?"", ""Ghostface Killah contributed songs to the Sunset Park and Don't Be a Menace to South Central While Drinking Your Juice in the Hood soundtracks""]",32
Did the book Into Thin Air by Jon Krakauer win any other awards besides being honored as Book of the Year by Time magazine?,The book Into Thin Air by Jon Krakauer was among three books considered for the General Non-Fiction Pulitzer Prize in 1998.,2114,3,"['What is Into Thin Air by Jon Krakauer?', 'Into Thin Air: A Personal Account of the Mt. Everest Disaster is a 1997 bestselling non-fiction book written by Jon Krakauer.', 'What is significant about the book Into Thin Air by Jon Krakauer?', ""The book Into Thin Air reached the top of The New York Times' non-fiction bestseller list and was honored as Book of the Year by Time magazine.""]",25
what other events did Michael Phelps participate in during he 2012 Olympics besides the morning prelims for the 400-meter individual medley?,The men's 4 Times 100-meter free relay,2582,6,"['what event took place in London with Michael Phelps on July 28, 2012?', 'The morning prelims for the 400-meter individual medley', 'what did Michael Phelps place after the morning prelims for the 400-meter individual medley?', 'Phelps placed eighth', 'was the London 2012 morning prelims for the 400-meter individual medley a record breaking time for Phelps?', 'He won his heat in 4 minutes, 13.33 seconds with a time that was well off his world record of 4:03.84 set four years ago in Beijing', 'was the morning prelims for the 400-meter individual medley competition at the olympics?', 'Yes, London 2012 Summer Olympics']",22
"was there another european colonization of southeast asia besides the first phase with the arrival of dutch, portuguese, spanish, and french",The second phase of European colonization of Southeast Asia is related to the Industrial Revolution and the rise of powerful nation states in Europe.,8200,4,"['what first drew european countries to southeast asia', 'Central among the various plannings was to establish direct and permanent trade of the highly priced spices, that were native to Southeast Asia, included pepper, cloves, nutmeg, mace and cinnamon.', 'when was the first colonization of southeast asia by europe', 'The first phase of European colonization of Southeast Asia took place throughout the 16th and 17th centuries after the arrival of Dutch, Portuguese, Spanish and later French marine spice traders.', 'what happened with the first european colonization of southeast asia', 'Fiercely competitive, the Europeans soon sought to eliminate each other by forcibly taking control of the production centers, trade hubs and vital strategic locations.']",24
what other albums did the band Béla Fleck and the Flecktones record besides Béla Fleck and the Flecktones and Flight of the Cosmic Hippo?,"UFO Tofu is the third album released by Béla Fleck and the Flecktones, released in 1992.",1293,6,"[""what was the band Béla Fleck and the Flecktones's first recording ?"", 'Béla Fleck and the Flecktones is the first album by the band Béla Fleck and the Flecktones, released in 1990.', ""how did Béla Fleck and the Flecktones's Béla Fleck and the Flecktones album recording perform?"", ""Béla Fleck and the Flecktones's Béla Fleck and the Flecktones album reached number 17 on the Billboard Top Contemporary Jazz Albums chart."", 'did Béla Fleck and the Flecktones win the award for Bela Fleck and the Flectones album?', ""A live version of Béla Fleck and the Flecktones's The Sinister Minister from the Béla Fleck and the Flecktones album won 1997 Grammy Award for Best Pop Instrumental Performance."", 'what followed the first album success for the band Béla Fleck and the Flecktones?', 'Flight of the Cosmic Hippo is the second album by Béla Fleck and the Flecktones, released in 1991.', 'how did this album Flight of the Cosmic Hippo perform?', 'Flight of the Cosmic Hippo reached number 1 on the Billboard Top Contemporary Jazz Albums chart.']",25
What did Kathleen Battle debut in after singing They Won't Go When I Go in a tribute to Stevie Wonder with James Ingram in 2006?,In July 2007 Kathleen Battle debuted at the Aspen Music Festival performing an all-Gershwin program as part of a season benefit.,6413,5,"['What did Kathleen Battle do in 2000?', 'In August 2000, Kathleen Battle performed an all-Schubert program at Ravinia.', 'Did Kathleen Battle collaborate with anyone?', ""In June 2001, Kathleen Battle and frequent collaborator soprano Jessye Norman performed Vangelis' Mythodea at the Temple of Olympian Zeus in Athens, Greece."", 'What kind of collaborations did Kathleen Battle and Jessye Norman perform?', 'In 1990, Kathleen Battle and Jessye Norman performed a program of spirituals at Carnegie Hall with James Levine conducting.', 'What other performances did Kathleen Battle have besides her performances with Jessye Norman?', ""In 2006 Kathleen Battle and James Ingram sang the song They Won't Go When I Go in a Tribute to Stevie Wonder.""]",27
Who did the next riff off of Hound Dog after Prestige Records did their release with the composition credited to Robey-Thornton-Leiber-Stoller,"On October 7, 1965, Thornton's live performance of Hound Dog with Eddie Boyd and Buddy Guy at American Folk Blues Festival '65 in Hamburg, Germany, is recorded and released.",2941,6,"['What was Hound Dog by Big Mama Thornton originally released as', ""Recorded originally by Big Mama Thornton on August 13, 1952, in Los Angeles and released by Peacock Records in late February 1953, Hound Dog was Thornton's only hit record"", 'What day was Hound Dog by Big Mama Thornton re-released on', ""As the new sensation Elvis Presley recorded Hound Dog to international acclaim, Peacock re-released Willa Mae Thornton's original by August 18, 1956."", ""what changed between Hound Dog by Big Mama Thornton's release in February 1953 and its re-release on August 18, 1956"", ""Peacock re-released Willa Mae Thornton's original by August 18, 1956, backing it with Rock-a-Bye Baby."", ""what did Hound Dog by Big Mama Thornton's re-release do on the charts"", ""Peacock re-released Willa Mae Thornton's original by August 18, 1956, backing it with Rock-a-Bye Baby, but it failed to chart."", 'what is the next thing to happen to Hound Dog by Big Mama Thornton after the re-release failed to chart in 1956?', 'In Australia and New Zealand, Prestige Records released the same record on licence in 1956, but the composition is credited to Robey-Thornton-Leiber-Stoller.']",21
What are the most popular (or a few of the most spoken) language(s) from the 62 indigenous Mexican languages?,The only single indigenous language spoken by more than a million people in Mexico is the Nahuatl language.,1731,2,"['What languages are/were spoken by the Indigenous people of mexico?', 'The Law of Linguistic Rights of the Indigenous Languages recognizes 62 indigenous languages.']",25
name the other awards Alia Bhatt received besides the two Best Actress awards at the ceremony for playing a Bihari migrant in the crime drama Udta Punjab and a spy in the thriller Raazi,Alia Bhatt won her third Screen Award for Gully Boy,70,7,"['what was Alia Bhatt first acting job', ""Alia Bhatt first portrayed the role of Shanaya Singhania, a sophisticated teenage girl who is in a relationship with Dhawan's character but is attracted to the character played by Malhotra."", ""what films did Alia Bhatt portray the role of Shanaya Singhania, a sophisticated teenage girl who is in a relationship with Dhawan's character in"", ""Alia Bhatt had her first leading role in 2012 with Karan Johar's Student of the Year, alongside Sidharth Malhotra and Varun Dhawan."", ""what other films has Alia Bhatt starred in besides her first leading role in 2012 with Karan Johar's Student of the Year, alongside Sidharth Malhotra and Varun Dhawan"", ""Alia Bhatt established herself in Bollywood with her three film releases of 2014. She played the protagonist of Imtiaz Ali's road film Highway opposite Randeep Hooda."", ""what was Alia Bhatt's best film"", 'Alia Bhatt won the Filmfare Critics Award for Best Actress for Highway', 'did Alia Bhatt receive any awards for Highway', 'Alia Bhatt won the Filmfare Critics Award for Best Actress for playing a kidnapping victim in the road drama Highway', 'what other awards did Alia Bhatt receive besides the Filmfare Critics Award for Best Actress for playing a kidnapping victim in the road drama Highway', 'Alia Bhatt won two Best Actress awards at the ceremony for playing a Bihari migrant in the crime drama Udta Punjab and a spy in the thriller Raazi']",34
Were there any other songs on the album Innocents by Moby besides A Case for Shame and The Perfect Life?,"The third single, Almost Home, featuring Damien Jurado, was announced through a music video competition.",5505,4,"['What is Innocents?', 'Innocents is the eleventh studio album by American electronica musician Moby, released in October 2013 by record labels Little Idiot and Mute.', 'What songs were on Innocents by Moby?', 'The first official single from the album, A Case for Shame,, was released on July 1, 2013.', 'What other songs were on the album Innocents by Moby besides A Case for Shame?', 'It was revealed in August that The Perfect Life, which features Coyne, would be the next single.']",21
"What happened after Archduke Charles, Duke of Teschen was defeated in the Battle of Caldiero by André Masséna, 1st Duke of Rivoli, 1st Prince of Essling?","With the conclusion of peace Archduke Charles, Duke of Teschen began his active work of army reorganization, which was first tested on the field in 1809.",2966,5,"['what were the Napoleonic Wars for Archduke Charles, Duke of Teschen?', 'In 1797 Archduke Charles, Duke of Teschen arrested the victorious march of General Bonaparte in Italy, and he conducted the retreat of the over-matched Austrians with the highest skill.', 'What became of Archduke Charles, Duke of Teschen after arresting the victorious march of General Bonaparte in Italy?', 'In the campaign of 1799 Archduke Charles, Duke of Teschen once more opposed Jean-Baptiste Jourdan, whom he defeated in the battles of Ostrach and Stockach.', 'What other things happened during the Napoleonic Wars with Archduke Charles, Duke of Teschen besides arresting the victorious march of General Bonaparte in Italy and the 1799 campaign where he once more opposed Jean-Baptiste Jourdan?', 'In the short war of 1805 Archduke Charles, Duke of Teschen commanded what was intended to be the main army in Italy, but events made Germany the theatre of operations.', 'what happened with Archduke Charles, Duke of Teschen after events made Germany the theatre of operations during the short war of 1805?', 'Events made Germany the decisive theatre of operations; Austria sustained defeat on the Danube, and Archduke Charles, Duke of Teschen was defeated by Massena in the Battle of Caldiero.']",30
"After Bush's legal dispute with Canadian band names licensing, how did they get back to using their original name?","The British band were allowed to drop the X in exchange for donating $20,000 each to the Starlight Foundation and the Canadian Music Therapy Trust Fund.",2801,5,"['Who were the members of Bush?', 'Band members of Bush were Gavin Rossdale, Robin Goodridge, Chris Traynor, and Corey Britz.', 'How was Sixteen Stone formed?', 'Gavin Rossdale met Nigel Pulsford in 1992. The two formed a new band which they called Future Primitive. The pair then recruited Dave Parsons and Robin Goodridge.', 'What was the highlight of Sixteen Stone?', 'On the Billboard Music Charts, Sixteen Stone peaked at No. 4 on the Heatseekers and Billboard 200 charts. The album spawned two Top 40 singles.', 'Any interesting information about Sixteen Stone?', 'The death of Disney executive Frank G. Wells eliminated a supporter for Kahane, and executives at Hollywood deemed the album unacceptable. The members of Bush took jobs performing menial labour.']",22
"What other songs did The Twilight Sad write during their beginnings besides That Summer, at Home I Had Become the Invisible Boy?","The Twilight Sad's first commercial release, their self-titled EP, included songs such as And She Would Darken the Memory and But When She Left, Gone Was the Glow.",1390,4,"['How did The Twilight Sad get together?', 'The Twilight Sad started in Kilsyth, when vocalist James Graham met guitarist Andy MacFarlane in high school and went on to form a cover band with some friends.', ""What was The Twilight Sad's first song?"", ""The Twilight Sad's first song was titled, That Summer, at Home I Had Become the Invisible Boy."", ""Was the The Twilight Sad's first song, That Summer, at Home I Had Become the Invisible Boy popular?"", 'The Twilight Sad credit Planet Sound for giving them their first review, when a demo of That Summer, at Home I Had Become the Invisible Boy received a 9/10 rating.']",24
"How had Grigori Rasputin changed after he returned to Pokrovskoye from pilgrimage, visiting St. Nicholas Monastery at Verkhoturye in 1897?","Grigori Rasputin returned looking disheveled and behaving differently than he had before. He became a vegetarian, swore off alcohol, and prayed and sang much more fervently than in the past.",4326,6,"[""What interesting information is there about Rasputin's religious conversion?"", 'In 1897, Grigori Rasputin developed a renewed interest in religion and left Pokrovskoye to go on a pilgrimage.', 'Where did Grigori Rasputin go on pilgrimage to in 1897?', 'Grigori Rasputin visited the St. Nicholas Monastery at Verkhoturye in 1897.', 'Did Grigori Rasputin have a reason for going on pilgrimage, visiting St. Nicholas Monastery at Verkhoturye in 1897?', ""Grigori Rasputin reasons for for going on pilgrimage, visiting St. Nicholas Monastery at Verkhoturye in 1897 are unclear. Whatever his reasons, Rasputin's departure was a radical life change."", 'How old was Grigori Rasputin when he went on pilgrimage, visiting St. Nicholas Monastery at Verkhoturye in 1897?', 'Grigori Rasputin was twenty eight years old when he began his pilgrimage, visiting St. Nicholas Monastery at Verkhoturye in 1897.', 'Did Grigori Rasputin ever go back to Pokrovskoye from pilgrimage, visiting St. Nicholas Monastery at Verkhoturye in 1897?', ""Grigori Rasputin's visit to the St. Nicholas Monastery at Verkhoturye in 1897 was transformative. He returned to Pokrovskoye a changed man.""]",22
what other information is on this album UFO Tofu besides reaching number 5 on the Billboard Top Compontemporary Jazz Albums in 1992?,UFO Tofu would be the last album Béla Fleck and the Flecktones recorded with their original lineup until Rocket Science in 2011.,1293,8,"[""what was the band Béla Fleck and the Flecktones's first recording ?"", 'Béla Fleck and the Flecktones is the first album by the band Béla Fleck and the Flecktones, released in 1990.', ""how did Béla Fleck and the Flecktones's Béla Fleck and the Flecktones album recording perform?"", ""Béla Fleck and the Flecktones's Béla Fleck and the Flecktones album reached number 17 on the Billboard Top Contemporary Jazz Albums chart."", 'did Béla Fleck and the Flecktones win the award for Bela Fleck and the Flectones album?', ""A live version of Béla Fleck and the Flecktones's The Sinister Minister from the Béla Fleck and the Flecktones album won 1997 Grammy Award for Best Pop Instrumental Performance."", 'what followed the first album success for the band Béla Fleck and the Flecktones?', 'Flight of the Cosmic Hippo is the second album by Béla Fleck and the Flecktones, released in 1991.', 'how did this album Flight of the Cosmic Hippo perform?', 'Flight of the Cosmic Hippo reached number 1 on the Billboard Top Contemporary Jazz Albums chart.', 'what other albums did the band Béla Fleck and the Flecktones record besides Béla Fleck and the Flecktones and Flight of the Cosmic Hippo?', 'UFO Tofu is the third album released by Béla Fleck and the Flecktones, released in 1992.', ""how did Béla Fleck and the Flecktones's UFO Tofu album perform?"", 'UFO Tofu reached number 5 on the Billboard Top Contemporary Jazz Albums in 1992.']",23
"what other characters did Jack Benny play besides a miser, who obliviously played his violin badly, and ridiculously claimed to be 39 years of age, regardless of his actual age",Jack Benny may have had an unbilled cameo role in Casablanca.,3695,2,"['what characters did Jack Benny play', 'Jack Benny often portrayed his character as a miser, who obliviously played his violin badly, and ridiculously claimed to be 39 years of age, regardless of his actual age.']",33
"Did the band curved air  achieve commercial success with Sonja kristina as the lead singer and Mike Wedgwood playing bass guitar, vocals and guitar?",their debut album Air Conditioning reached number 8 in the UK Albums Chart,1429,6,"['How many original members of Curved Air were in the new Curved Air?', 'Sonja Kristina and Mike Wedgwood', 'Were either Sonja Kristina or Mike Wedgwood the lead singer for the new curved air?', 'Sonja Kristina', 'Who played guitar for the band curved air with Sonja Kristina and Mike Wedgwood?', 'Kirby Gregory', 'What did Sonja Kristina do with the band curved air?', 'Sonja Kristina is the lead singer', 'What did Mike Wedgewood do in the band curved air with sonja kristina as the lead singer?', 'Mike Wedgwood played bass guitar, vocals, guitar']",26
Who was the new producer for The Smiths first album that Rough Trade ordered the band to redo it with?,Rough Trade ordered that the Smiths redo their first album with producer John Porter,4003,7,"['What was Rough Trade in relation to The Smiths?', 'The Smiths then agreed to sign a record contract with Rough Trade, an independent record label', 'Around what year did the Smiths agree to sign a record contract with Rough Trade?', 'The Smiths agreed to signa record contract with Rough Trade in 1983', 'What record did The Smiths make after signing to a record contract with Rought Trade?', ""To produce the Smiths's first album, Travis brought in Troy Tate of the Teardrop Explodes, and recorded their first album, provisionally titled The Hand That Rocks the Cradle"", 'How did the provisionally titled The Hand That Rocks the Cradle Smiths album do?', 'Rough Trade were unhappy with the album that the Smiths produced', 'Why was Rough Trade unhappy with the first album the band The Smiths produced?', ""Rough Trade disliked Troy Tate's production of the Smiths' first album"", ""Did The Smiths end up redoing their first album The Hand That Rocks the Cradle because Rough Trade disliked Troy Tate's production of it?"", 'Rough Trade ordered the Smiths to redo their first album with a new producer other than Troy Tate']",21
"What happened in 2012 with Michael Bloomberg after he declined to seek office, opting to continue serving as the mayor of New York City?","In the immediate aftermath of Hurricane Sandy in November 2012, Michael Bloomberg penned an op-ed officially endorsing Barack Obama for president",96,2,"['What was Michael Bloomberg doing in 2012?', 'Michael Bloomberg declined to seek office, opting to continue serving as the mayor of New York City.']",26
what other roles has swedish actor mikael persbrandt played besides Beorn in Peter Jackson's The Hobbit: The Desolation of Smaug and in its sequel The Battle of the Five Armies,"Mikael Persbrandt is internationally known for his starring role in the Academy Award winning foreign feature, In A Better World, directed by Susanne Bier.",7762,2,"['who plays the skin changer in the hobbit', ""Swedish actor Mikael Persbrandt portrays Beorn in Peter Jackson's The Hobbit: The Desolation of Smaug and in its sequel The Battle of the Five Armies.""]",32
Are there any other Dizzy Dean sayings or flubs as a broadcaster other than Don't fail to miss tomorrow's game!?,"Dean once said, over an open mic, I don't know why they're calling this the Game of the Week. There's a much better game, Dodgers and Giants, over on NBC.“",832,5,"[""What was Dizzy Dean's first broadcasting job?"", 'Following his playing career, Dean became a well-known radio and television sportscaster, calling baseball for the Cardinals in 1941.', ""Who was Dizzy Dean's partner in broadcasting?"", 'Following his playing career, Dean became a well-known radio and television sportscaster, where he teamed first with Buddy Blattner then with Pee Wee Reese.', 'How long did Dizzy Dean do broadcasting?', 'Dizzy Dean did broadcasting for 24 years.', 'Did Dizzy Dean have any famous sayings as a broadcaster?', ""Every so often, he would sign off by saying, Don't fail to miss tomorrow's game!“""]",24
"Did Claudius do anything to stop the German guard who was cutting down several uninvolved noblemen, including many of his friends?",He fled to the palace to hide.,1991,4,"['Did Claudius assassinate Caligula?', 'On 24 January 41, Caligula was assassinated in a broad-based conspiracy involving the Praetorian commander Cassius Chaerea and several senators.', 'How was Claudius involved in the assassination of Caligula?', 'There is no evidence that Claudius had a direct hand in the assassination, although it has been argued that he knew about the plot', 'What happened with Claudius after the murder of Caligula?', 'In the chaos following the murder, Claudius witnessed the German guard cut down several uninvolved noblemen, including many of his friends.']",23
what was Bobby Darin's Childood like growing up in in the East Harlem neighborhood of New York City. ?,"Bobby Darin believed his mother Nina was his sister and grandmother Polly his mother. In 1968, when Darin was 32 and considering politics, Nina told him the truth, devastating Darin.",4552,4,"['Where was Bobby Darin born?', 'Bobby Darin was born in the East Harlem neighborhood of New York City.', ""When did Bobby Darin's name change from Walden Robert Cassotto to Bobby Darin?"", 'Robert Cassotto became Bobby Darin thanks to a take out restaurant sign; the letters M, A and N on the light-up sign MANDARIN were not working, leaving only DARIN.', ""Who was Bobby Darin's father?"", ""Darin's birth mother, Nina refused to reveal the identity of his biological father, and kept that secret to her death in 1983.""]",21
"Did The Chronicles of Narnia: The Lion, The Witch and The Wardrobe do well at the box office?","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe was successful at the box office grossing more than $745 million worldwide, making it 2005's third most successful film.",930,6,"[""What led to Michelle Pfeiffer's hiatus from acting?"", 'Michelle Pfeiffer took a four-year hiatus from acting, during which she remained largely out of the public eye to devote time to her husband and children.', 'What did Michelle Pfeiffer do after dissolving the film production company, Via Rosa Productions?', 'Michelle Pfeiffer moved into semi-retirement in order to spend more quality time with her children and family, meaning that she would continue to star in films sporadically.', 'Did Michelle Pfeiffer ebd up starring in any films during the time she dissolved Via Rosa Productions?', 'Michelle Pfeiffer starred in the Hitchcockian thriller What Lies Beneath in 2000 with Harrison Ford', 'Was the movie What Lies Beneath, starring Michelle Pfeiffer, considered to be a success?', 'While critical response towards the film What Lies Beneath was mixed, it opened atop at the box office in July 2000, and went on to gross US$291 million worldwide.', 'Did Michelle Pfeiffer work on any other movies during her hiatus?', 'During her hiatus, Michelle Pfeiffer turned down the role of the White Witch in the fantasy film The Chronicles of Narnia: The Lion, The Witch and The Wardrobe']",21
Was legalising interracial marriage and miscegenation and lifting the constitutional prohibition on multiracial political parties a popular move on P. W. Botha's part?,"Even these meager reforms went too far for a group of NP hardliners, led by former Education Minister Andries Treurnicht. In 1982, they broke away to form the Conservative Party.",2080,2,"[""What was P. W. Botha's role in apartheid?"", 'Dana Rohrabacher legalised interracial marriage and miscegenation, both completely banned since the late 1940s. The constitutional prohibition on multiracial political parties was lifted.']",25
What other things were going on in his later life besides serving as president of the MLB players association or having children?,Feller is credited with being the first baseball star to sign autographs at baseball memorabilia conventions.,3106,6,"['What was Bob Feller doing in his later life?', ""Feller was elected the inaugural president of the Major League Baseball Players' Association in 1956."", 'What did Bob Feller do as president of the association?', ""As president, he appeared before Congress to speak about baseball's reserve clause."", 'What other things was Bob Feller doing besides serving as president of the MLB players association?', 'Feller and his wife, Virginia Winther, had three sons, Steve, Martin, and Bruce.']",23
"Who replaced The Smashing Pumpkins members that didn't want to do the reunion, such as Iha and Auf de Maur?","the band unveiled new touring members: guitarist Jeff Schroeder, bassist Ginger Reyes, and keyboardist Lisa Harriton.",3224,7,"['When was reformation released for the The Smashing Pumpkins?', 'On June 21, 2005, Corgan took out full-page advertisements in the Chicago Tribune and Chicago Sun-Times to announce that he planned to reunite the band.', ""When was the reformed The Smashing Pumpkins' album released?"", 'Zeitgeist released on July 10, 2007', ""What happened with The Smashing Pumpkins' reformation?"", 'there was question as to whether other former members of the band would participate.', 'Did former members of The Smashing Pumpkins want to get back together with Billy Corgan for the reformation?', 'In April 2007 Iha and Auf der Maur separately confirmed that they were not taking part in the reunion.', ""Why didn't Iha and Auf de Maur want to join The Smashing Pumpkins reunion?"", ""Chamberlin would later state that Iha and Wretzky didn't want to be a part of the reunion."", 'When was the first performance for the reformed The Smashing Pumpkins?', 'The Smashing Pumpkins performed live for the first time since 2000 on May 22, 2007, in Paris, France.']",23
