Question,Answer,Conversation#,Turn#,Context,Question Length
what was chad gable's early life like,"Betts was born in Saint Michael, Minnesota. He is a graduate of Northern Michigan University.",9762,2,"['who won raw tag team championship in hell in a cell', 'Chad Gable defeated King Corbin by pinfall. R-Truth pinned Tamina to win the 24/7 Championship.']",8
"what is the climate like in nashville, tennessee","Nashville has a humid subtropical climate, with hot, humid summers and generally cool winters typical of the Upper South.",9673,5,"[""when did nashville become tennessee's state capital"", 'Nashville was the capital of Tennessee twice. The first time was from 1812-1817. In 1826, Nashville became the permanent capital of the State of Tennessee.', 'what is nashville, tennessee known for', 'A major center for the music industry, especially country music, Nashville is commonly known as Music City.', 'how big is the population of nashville, tennessee', 'The population of the consolidated city-county of Nashville, Tennessee, is 692,587 as of 2018.', 'what is nashville, tennessee named after', 'Named for Francis Nash, a general of the Continental Army during the American Revolutionary War, Nashville, Tennessee, was founded in 1779.']",9
what was the original Lost in Space series inspired by,Lost in Space is a reimagining of the 1812 novel The Swiss Family Robinson.,9699,5,"['where did they film lost in space tv show', 'The first series shot in Canada, centred in British Columbia, Canada, at locations including the city of Vancouver, the awe-inducing area of Squamish and Kamloops.', 'where did they film the second series of lost in space', 'For the second season the production ventured to Iceland for key shots.', 'where in iceland did they film the second series of lost in space', 'Two locations in Iceland were used, right up against the waterfall of Skogafoss and on the broad black beach west of Cape Dyrholaey.', 'was the show Lost in Space a remake', 'Lost in Space is a reimagining of the 1965 series of the same name']",10
how does the great pacific garbage patch form,The Great Pacific garbage patch formed gradually as a result of ocean or marine pollution gathered by ocean currents.,7426,1,[],8
When did Walt Disney recieve those honors?,Walt Disney was presented with two Golden Globe Special Achievement Awards‍—‌for Bambi (1942) and The Living Desert (1953)‍. He received his Emmy award in 1956.,292,2,"['What kind of honors does Walt Disney have?', 'Walt Disney was presented with two Golden Globe Special Achievement Awards and an Emmy Award, among other honors.']",8
how is the weather at lake pactola today,Lake Pactola is 38 degrees F and partly cloudy.,8861,4,"['what kind of fish are in pactola lake', 'There are rainbow trout in Pactola Lake.', 'where is lake pactola', 'Lake Pactola is located in Pennington County, South Dakota.', 'how for is lake pactola from san jose, ca', 'Lake Pactola is 1400 miles from San Jose, CA.']",8
What did Orlando Jones do after hosting The Orlando Jones Show on FX?,"In 2006, Orlando Jones decided to return to television as one of the lead characters of ABC's crime drama.",642,4,"['What were some of the other projects Jones worked on?', 'Orlando Jones appeared in a series of humorous commercials as the spokesperson for 7 Up where he gained wide recognition.', 'What other projects was Orlando Jones involved with besides 7-Up?', 'In 2003, Orlando Jones was given his own late night talk show on FX called The Orlando Jones Show', 'Was The Orlando Jones Show successful?', ""Orlando Jones' talk show was short-lived.""]",14
what type of device is used for vagus nerve stimulation,A matchbox sized generator is implanted under the skin below the collarbone. Lead wires tunnelled up the patient's neck to the left vagus nerve's carotid sheath deliver electrical impulses.,7728,4,"['where is the vagus nerve located and what effect does stimulation of nerve have on the patient', 'The vagus nerve arises from the medulla and projects connections to other locations on the central nervous system. Vagus nerve stimulation treats drug-resistant epilepsy and treatment-resistant depression.', 'what are the side effects of vagus nerve stimulation', 'The adverse effects of vagus nerve stimulation include cardiac arrest, bradycardia, voice altercation and hoarseness, cough, shortness, a tingling sensation, nausea, headache, difficulty swallowing, and sleepiness.', 'what is the mechanism of action for vagus nerve stimulation', 'As of 2017 little was understood about exactly how vagal nerve stimulation modulates mood and seizure control.']",10
Who was in the group Hanson?,"Hanson consists of brothers Isaac, Taylor, and Zac. Supporting members include Dimitrius Collins (guitar), and Andrew Perusi (bass) who have toured and performed live with the band since 2007.",6472,4,"[""What was a hit of Hanson's besides mmmBop?"", ""Another of Hanson's hit songs was Yearbook."", 'What did the band Hanson originally do?', 'Hanson is an American pop rock band.', 'What did Hanson do?', 'Hanson is an American pop rock band.']",7
How long did Rubin Carter actually spend in prison?,Rubin Hurricane Carter was an American-Canadian boxer who was wrongfully convicted of murder and later released following a petition of habeas corpus after serving almost 20 years in prison.,57,7,"['What was Rubin Carter convicted of the first time?', 'In 1966, police arrested Rubin Carter and friend John Artis for a triple homicide committed at the Lafayette Bar and Grill in Paterson, New Jersey.', 'Was Rubin Carter guilty of the first conviction?', ""The evidence surrounding the case was lacking and the witnesses couldn't keep their story straight. It was unclear whether Rubin Carter did the crime or not."", 'How long did Rubin Carter spend in prison?', 'Rubin Hurricane Carter was an American-Canadian boxer who was wrongfully convicted of murder and later released following a petition of habeas corpus after serving almost 20 years in prison.', 'What date did Rubin Carter get out of prison?', 'Rubin Carter, 48 years old, was freed without bail in November 1985.', 'Did Rubin Carter get into any trouble in prison?', 'Rubin Hurricane Carter was an American-Canadian boxer who was wrongfully convicted of murder and later released following a petition of habeas corpus after serving almost 20 years in prison.', ""What was Rubin Carter's first conviction ?"", 'In 1966, police arrested Rubin Carter and friend John Artis for a triple homicide committed at the Lafayette Bar and Grill in Paterson, New Jersey.']",10
what is the origin of the name 'daily double',The name and inspiration of the 'Daily Double' were taken from a horse racing term.,7327,4,"['What is a true Daily Double in Jeopardy', 'A “true Daily Double” is when a contestant wagers all of their points before the clue is read.', 'What is the outcome of a “true Daily Double” in Jeopardy!', ""A correct question to the Daily Double clue can double a player’s score. A wrong question can reduce the player's score to zero, thereby changing the momentum of the game."", 'how is the daily double clue found in jeopardy!?', 'A Daily Double is hidden behind one clue in the Jeopardy! round, and two in Double Jeopardy!']",10
How many £50 note are in circulation in England,"There are approximately 224 million £50 notes in circulation, of which an estimated 63 million are Houblon notes.",10280,5,"['when did the old £50 note go out of circulation', 'By the end of 30 April the old-style £50 banknote featuring the image of Sir John Houblon is being withdrawn from circulation by the Bank of England.', 'Who is the man in the banknote of the £50  in England', ""Sir John Houblon was the Bank's first governor. His image was replaced on the new note with Matthew Boulton and James Watt."", ""Who are the men that replaced John Houblon in England's £50  note"", 'Matthew Boulton and James Watt feature on the new note because they were instrumental in manufacturing coins that were difficult to counterfeit. The note went into circulation in November 2011.', 'When was the original £50 note first featured in England', 'The old £50 banknote - was first issued in England in April 1994.']",9
"when was the song lord, i hope this day is good released","Dan Williams' version of Lord, I Hope This Day is Good was released in November 1981 and Dave Hanner's version was released in 1982",9293,4,"['who wrote the song lord i hope this day is good', 'Lord, I Hope This Day is Good is a song written by Dave Hanner', 'who recorded the song lord, i hope this is a good day', 'Lord, I Hope This Day is Good was recorded by American country music artist Don Williams.', 'in which don williams album was lord, i hope this is a good day included', ""Lord, I Hope This Day is Good was Don Williams' third single from the album Especially for You.""]",13
How many appearances did Miranda Lambert's Locked and Reloaded Tour have?,"On October 23, 2012, Lambert and Dierks Bentley announced the co-headlined 33-show Locked & Reloaded Tour, which began on January 17, 2013.",877,5,"[""What is Miranda Lambert's Four the Record?"", 'Four the Record is the fourth studio album by American country music singer and songwriter Miranda Lambert.', ""Were there any hit singles on Miranda Lambert's Four the Record album?"", ""Mama's Broken Heart, as the fourth single from Four the Record, peaked at number 2 on both the Billboard Country Airplay and Hot Country Songs charts respectively."", 'Did Miranda Lambert have any performances in television in 2012?', ""On February 8, 2012, Lambert made her acting debut on NBC's long-running legal drama, Law & Order: Special Victims Unit in an episode titled Father's Shadow."", ""What other musical appearances did Miranda Lambert's have in 2012?"", ""Late in 2012, Lambert appeared on Shelton's Christmas album Cheers, It's Christmas, to which she contributed guest vocals on a version of Jingle Bell Rock.“""]",13
When did Edward Plunkett and Lady Beatrice Child Villiers marry?,They were married in 1904,5527,4,"[""What is Edward Plunkett's title?"", 'Born and raised in London, to the second-oldest title in the Irish peerage', 'How did Edward Plunkett get this title?', ""The title passed to him at his father's death at a fairly young age, in 1899, and the young Lord Dunsany returned to Dunsany Castle after war duty, in 1901."", 'Who did Edward Plunkett, 18th Baron of Dunsany marry?', 'In 1903, he met Lady Beatrice Child Villiers, youngest daughter of The 7th Earl of Jersey, who was then living at Osterley Park, and they were married in 1904']",11
"When was the original publication date for the book, The Polar Express",The Polar Express book was originally published in 1985.,8319,5,"['who played the boy in the polar express', 'Tom Hanks played the character of the Hero Boy in The Polar Express film.', 'What other characters did Tom Hanks play in The Polar Express', ""Tom Hanks played Hero Boy I, Hero Boy's father, Conductor, Hobo, Scrooge puppet, Santa Claus, and the Narrator in the film The Polar Express."", 'When was the release date for The Polar Express film', 'The Polar Express was initially released on November 7, 2004 at the Chicago International Film Festival, followed by the US release on November 10, 2004.', 'Which book was the film, The Polar Express based on', 'The film is based on the book, The Polar Express by Chris Van Allsburg.']",13
who starred in don't cry for me argentina,"The 1996 film Evita stars Madonna as Eva, Jonathan Pryce as Eva's husband Juan Perón, and Antonio Banderas as Ché, an everyman who acts as the film's narrator.",9660,1,[],9
What's the name of the novel George Bernard Shaw wrote?,"George Bernard Shaw's first completed novel, Immaturity, was too grim to appeal to publishers and did not appear until the 1930s.",5124,3,"['Who is George Bernard Shaw?', 'George Bernard Shaw, 26 July 1856 – 2 November 1950), known at his insistence simply as Bernard Shaw, was an Irish playwright, critic, polemicist and political activist.', 'What year is George Bernard Shaw born?', 'George Bernard Shaw was born July 26th 1856.']",12
how was sirius black related to harry potter,"He did not like his family, and ran away from home to James Potter's house when he was 16. The Potters took Sirius in as their own son.",9720,5,"['who dies in book 5 of harry potter', 'Sirius Black dies in Harry Potter and the Order of the Phoenix.', 'how does sirius black die', ""Sirius Black was killed in a battle at the Ministry of Magic by his cousin, a Death Eater, Bellatrix Lestrange in Harry's 5th year at Hogwarts."", 'did Sirius Black have any nicknames', 'Sirius Black was also known as Padfoot or Snuffles', 'which house did sirius black belong to', 'He, along with his three friends, belonged to Gryffindor house when at Hogwarts, unlike the rest of his family, who had belonged to the house of Slytherin.']",8
who does the voice of baloo in the jungle book 2016,"Bill Murray is Baloo in the 2016 film, The Jungle Book.",9427,2,"['who does the voice of bagheera in jungle book', 'Ben Kingsley is Bagheera in the 2016 film, The Jungle Book.']",11
what are the largest ethnic groups in New York City?,"The largest ethnic groups as of the 2005 census estimates are: African American, African or Caribbean, Puerto Ricans, Italians, West Indians, Dominicans, Chinese, Irish, Russian, and German.",7997,5,"['what percent of the us population lives in new york city?', '2.6%  of the US population lives in New York City', 'how many people live in New York City?', 'an estimated 8,491,079 people living in the city', 'how many people living in New York City are foreign born?', ""About 36% of the city's population is foreign-born"", 'from what countries do foreign born people living in New York City come from?', 'The nations constituting the largest sources of immigration are the Dominican Republic, China, Jamaica, Guyana, Mexico, Ecuador, Brazil, Haiti, Trinidad and Tobago, Colombia, Russia and El Salvador.']",11
Did Grace Hopper get married?,"Grace Hopper was married to New York University professor Vincent Foster Hopper from 1930 until their divorce in 1945. She did not marry again, but chose to retain his surname.",1532,4,"['How did Grace Hopper get into computers?', 'During World War II, Grace Hopper served on the Mark I computer programming staff headed by Howard H. Aiken.', 'Did Grace Hopper have any funny stories of her work?', ""Grace Hopper's associates discovered a moth stuck in a relay; the moth impeded the operation of the relay. The case was held as an instance of literal debugging."", 'What did Grace Hopper do after the military?', ""Following Grace Hopper's retirement from the Navy, she was hired as a senior consultant to Digital Equipment Corporation.""]",6
Were there any other battles besides the Abenaki Wars?,The Abenaki joined the Wampanoag people to fight the English colonists in New England in 1675 in King Philip's War.,3301,5,"['What were the Abenaki Wars?', 'The Abenaki pushed back the line of white settlement through devastating raids on scattered farmhouses and small villages.', 'Were the Abenaki fighting against someone?', 'The Abenaki fought the English colonists.', 'Any interesting info about the Abenaki Wars?', 'The war was settled by a peace treaty in 1678, with the Wampanoag more than decimated and many Native survivors having been sold into slavery in Bermuda.', 'How did the Abenaki push back white settlement?', 'The Abenaki pushed back the line of white settlement through devastating raids on scattered farmhouses and small villages.']",10
why was the speedwell ship built,"Speedwell was built in 1577, under the name Swiftsure, as part of English preparations for war against Spain.",10011,3,"['explain the story of the speedwell and what happened to it', 'Speedwell was a 60-ton pinnace that transported the Pilgrims to Cape Cod Bay.', 'when was the speedwell ship launched', 'The Speedwell launched in 1577.']",6
did any other character besides peyton sawyer not return for one tree hill season 7,"In May 2009, The CW announced Chad Michael Murray, who portrayed Lucas Scott, would not be returning to One Tree Hill for its seventh season.",10387,3,"['what happened to peyton in one tree hill season 7', 'On May 12, 2009, it was confirmed that Hilarie Burton, who portrayed Peyton Sawyer  would not be returning for the seventh season.', 'Why did Hilarie Burton leave One Tree Hill?', 'Hilarie Burton explained she hoped for more creative control before leaving the show.']",15
What were some of Michelle Pfeiffer's successes?,"Batman Returns was a big box office success, grossing over US$266 million worldwide.",6853,1,[],9
Were there any important dates involved in Pedro Calungsod's sainthood?,"In their search for a runaway companion named Esteban, Calungsod and San Vitores came to the village of Tumon, Guam on April 2, 1672.",5537,6,"['When did Pedro begin his sainthood?', 'On December 19, 2011, the Holy See officially approved the miracle qualifying Calungsod for sainthood by the Roman Catholic Church.', 'Where did Pedro Calungsod begin sainthood?', 'In 1668, Calungsod, then around 14, was amongst the exemplary young catechists chosen to accompany Spanish Jesuit missionaries to the Islas de los Ladrones.', 'Did Pedro Calungsod get his Sainthood from Catholics in specific?', 'In Guam, Calungsod received basic education at a Jesuit boarding school, mastering the Catechism and learning to communicate in Spanish.', ""On what day of the week is Pedro Calungsod's sainthood shared?"", 'Saturday has been designated as the day of devotion and novenas in his honour', 'Is Pedro Calungsod the first person who became a saint?', 'No']",12
where are the headquarters of target,Target is headquartered in Minneapolis Minnesota,7874,5,"['how many target locations are there in the us', 'Target Corporation has 1,868 stores in the U.S.', 'where did the first target store open', 'The first Target store opened in Roseville, Minnesota.', ""what's the total revenue of target"", ""target's total revenue in 2019 was $75.356 billion USD"", ""who's the CEO of target"", 'Brian Cornell is the CEO of target']",6
what is the land use of the canadian shield,The Shield is covered in parts by vast boreal forests in the south that support natural ecosystems as well as a major logging industry.,10728,1,[],9
Where were Johnny Cash and Vivian Liberto married?,Johnny Cash and Vivian Liberto were married at St. Ann's Roman Catholic Church in San Antonio.,4748,7,"[""Who was Johnny Cash's first wife?"", ""Johnny Cash's first wife was Vivian Liberto."", 'Where did Johnny Cash and his first wife, Vivian Liberto meet?', 'Johnny Cash met 17-year-old Italian-American Vivian Liberto at a roller skating rink in her native San Antonio', 'Where did Johnny Cash and Vivian Liberto meet?', 'Johnny Cash met 17-year-old Italian-American Vivian Liberto at a roller skating rink in her native San Antonio', ""What happened before Johnny Cash's and Vivian Liberto's marriage?"", 'Before marrying Vivian Liberto, Johnny Cash was deployed to Germany for a three-year tour.', 'How did Johnny Cash and Vivian Liberto stay in contact while Cash was deployed in Germany?', ""During Johnny Cash's deployment, the couple exchanged hundreds of pages of love letters."", ""What happened between Johnny Cash and Vivian Liberto after Cash's discharge?"", ""On August 7, 1954, one month after Johnny Cash's discharge, Cash and Vivian Liberto were married at St. Ann's Roman Catholic Church""]",9
On what song did Davy Jones collaborate with Bill Chadwick?,Jones collaborated with Bill Chadwick on some slower ballads,2980,7,"['What is The birds,the bees, and the Monkees?', 'The Birds, The Bees & The Monkees is the fifth studio album by the Monkees.', 'what is a song The Monkees released?', 'Daydream Believer and Valleri were hit singles from the album', 'what did critics think of The Monkees during the release of The Birds, The Bees & The Monkees?', 'Gaining complete artistic control over their musical direction and being allowed to play instruments began to somewhat rebuff the critics who viewed The Monkees as a band of talentless individuals.', 'who are the band members?', 'Their original line-up consisted of the American actor/musicians Micky Dolenz, Michael Nesmith, and Peter Tork with English actor/singer Davy Jones.', 'what song was a big hit?', ""They were one of the biggest selling groups of all time with international hits including Last Train to Clarksville, Pleasant Valley Sunday, Daydream Believer, and I'm a Believer."", 'did The Monkees collaborate with anyone?', 'Davy Jones collaborated with Bill Chadwick']",11
What state was the commander Winfield Scott from,"Winfield Scott was born near Petersburg, Virginia, in 1786.",10814,4,"['Where did the phrase Great Scott come from', 'It is frequently assumed that Great Scott! is a minced oath of some sort, Scott replacing God.', 'What is the meaning of the phrase  Great Scott“', 'Great Scott! is an interjection of surprise, amazement, or dismay, an inoffensive exclamation, popular in the second half of the 19th century and early 20th century, and now considered dated.', 'In what country did the phrase Great Scott originate', 'Winfield Scott the commander of American armies in the Mexican War, and Union general-in-chief at the beginning of the Civil War, is likely the source of “Great Scott!”']",8
how long did michael jordan play for the chicago bulls,"Michael Jordan played with the Chicago Bulls for 14 years, from 1984 to 1998.",9679,2,"['how long did michael jordan play for the washington wizards', 'Michael Jordan played with the Washington Wizards for 2 years, from 2001 to 2003.']",10
who owns the gold in the bank of england,The Bank of England stores the UK’s gold reserves on behalf of HM Treasury / UK government.,10042,1,[],9
Why is NASA in Cape Canaveral?,NASA takes advantage of Earth's natural rotation by launching toward the east from Cape Canaveral.,8824,3,"['when did they change from cape kennedy to cape canaveral', 'The U.S. Board of Geographic Names responded on October 9, 1973 by agreeing to officially recognize the name change from Cape Kennedy to Cape Canaveral at the national level.', 'why did they change from cape kennedy to cape canaveral', 'The area was renamed Cape Kennedy after President John F. Kennedy, who had set the goal of landing on the moon.']",7
who sings the all grown up theme song,"Cree Summer sings All Grown Up with U, the theme song of the series All Grown Up.",9656,1,[],8
What years did Giuseppe Verdi's politics take place?,in the 1840s.,955,4,"['Was Giuseppe Verdi Political?', 'Verdi began in 1859 to take an active interest in Italian politics.', 'Did Giuseppe Verdi  gain fame?', 'Rigoletto, with its intended murder of royalty, upset the censors. Verdi substituted a Duke for the King, and the subsequent success of the opera fully vindicated the composer.', ""Did Giuseppe Verdi's politics involve music?"", ""The identification of Verdi's music with Italian nationalist politics perhaps began in the 1840s.""]",10
Which of Stewart Copeland's songs for The Police more successful than the other?,"Amongst Stewart Copeland's most notable songs are On Any Other Day, Does Everyone Stare, Contact, Bombs Away, Darkness and Miss Gradenko.",4027,4,"['What is the relation between Stewart Copeland and The police?', 'In early 1977, Stewart Copeland founded The Police with lead singer-bass guitarist Sting and guitarist Henry Padovani, and they became one of the top bands of the 1980s.', ""Which song did Steward Copeland's band The Police release?"", ""The Police's early track list was largely Stewart Copeland compositions, including the band's first single Fall Out and the B-side Nothing Achieving."", 'Were the first single Fall Out and the B-side Nothing Achieving by The Police successful?', ""Stewart Copeland's songwriting contribution was reduced to a couple songs per album as Sting started writing more material, continuing to co-arrange all The Police's songs together with his bandmates.""]",15
Who was in his immediate family?,"Frank Zappa's family consisted of his mother, father, and three siblings.",6567,5,"['Where did Frank Zappa grow up?', 'Frank Zappo grew up in Maryland, Florida, and California.', 'Did Frank Zappa have a happy childhood?', 'Frank Zappa was often sick as a child, suffering from asthma, earaches and sinus problems.', ""Did Frank Zappa's family stay in Baltimore?"", ""Frank Zappo's family lived in Maryland, Florida, and California."", 'Did Frank Zappa enjoy California more than Maryland?', 'In California Frank Zappa began to develop his interest in music after his parents bought him a phonograph and he joined his first band at Mission Bay High School.']",7
Did Katrina Kaif ever get into another relationship?,"The reported reason for their breakup was Kaif's increasing closeness to Ranbir Kapoor. In February 2016, the media reported that they had broken up.",3198,5,"['Were did Katrina Kaif attend school?', 'Due to their frequent relocation, Kaif and her siblings were home-schooled by a series of tutors.', ""What was a highlight of Katrina Kaif's personal life?"", ""Kaif's personal life has been the subject of extensive media attention. She is reluctant to discuss her romantic life."", 'Who did Katrina Kaif break up with?', 'Although rumours of a relationship with Salman Khan first emerged in 2003, it was not until after their 2010 breakup that Kaif spoke of it.', 'Was Katrina Kaif married to Salman Khan?', 'Kaif spoke of it, calling it her first serious relationship. They have remained friends, and the actress credits Khan with giving her confidence and guidance.']",9
How long did Kourtney and Kim Take New York run?,3 Episodes,5829,6,"['How did Khloé Kardashian start her career?', 'Kourtney and Khloé Take Miami', 'What year did Kourtney and Khloé Take Miami begin?', 'August 16, 2009.', 'How many years was Khloé Kardashian on the show?', '3 Years', 'What other work has Khloé Kardashian done?', 'Kourtney and Kim Take New York']",11
What were the first uses for the Phonograph in the United States?,"While other inventors had produced devices that could record sounds, Edison's phonograph was the first to be able to reproduce the recorded sound.",4697,2,"['When was the Phonograph first introduced in the United States?', 'Thomas Edison announced his invention of the first phonograph, a device for recording and replaying sound, on November 21, 1877, and he demonstrated the device on November 29.']",13
What did Jennifer Capriati do next after further receovery from surgery in 2003?,She lost to Lindsay Davenport in the semifinals of the Indian Wells tournament.,2025,4,"['What did Jennifer Capriati do in 2003?', 'In the opening round of the 2003 Australian Open Capriati lost to unseeded and unheralded Marlene Weingärtner.', 'Did Jennifer Capriati play any other matches in 2003 after the Australian Open?', 'She withdrew from the Pan Pacific Open to further recover from her surgery.', 'Did Jennifer Capriati return to play later in 2003 after further recovery from surgery?', 'Capriati rebounded by reaching at least semifinals of the next five tournaments she played.']",14
Did Son House have any brothers or sisters?,Son House was the second of three brothers.,2167,2,"[""Who were Son House's parents?"", ""Son House's father was Eddie House, Sr.""]",9
Did Walter Scott and Charlotte Carpenter have children?,"Walter Scott and Charlotte Carpenter had five children, of whom four survived by the time of Scott's death.",4364,5,"['When did Walter Scott get married?', ""Walter Scott married Charlotte Carpenter in St Mary's Church, Carlisle Cathedral on Christmas Eve 1797."", ""was Walter Scott's parent mentioned?"", 'Walter Scott was born to Walter Scott, a Writer to the Signet and Anne Rutherford.', ""what about Walter Scott's siblings?"", ""Walter Scott was the ninth child. Five of Walter's siblings died in infancy, and a sixth died when he was five months of age."", ""Who is Walter Scott's wife?"", ""Walter Scott's wife is Charlotte Carpenter.""]",9
who is the current fifa world cup champion,The reigning World Cup champions are France.,9414,5,"['where is the world cup going to be played', 'The 2022 FIFA World Cup is scheduled to take place in Qatar in 2022.', 'is qatar hosting the fifa world cup for the first time', '2022 will be the first FIFA World Cup ever to be held in the Arab world and the first in a Muslim-majority country.', 'is the qatar 2022 fifa world cup the first time in asia', 'This FIFA World Cup will be the second World Cup held entirely in Asia after the 2002 tournament in South Korea and Japan.', 'how many teams are involved for the 2022 fifa world cup', 'In addition, the tournament will be the last to involve 32 teams, with an increase to 48 teams scheduled for the 2026 tournament in the United States.']",8
when did general mark a. miley become chairman of the joint chiefs of staff,"General Mark A. Milley has been Chairman of the Joint Chiefs of Staff since October 1, 2019",8272,3,"['who is currently the highest ranking military officer', 'General Mark A. Milley is currently the highest ranking military officer', ""what is general mark a. milley's title"", 'General Mark A. Milley is the current Chairman of the Joint Chiefs of Staff']",14
who is the song begin again by taylor swift about,The song Begin Again by Taylor Swift is about Conor Kennedy,7781,1,[],10
how many days is the flag hung at half mast in the death of a supreme court justice,The flag will fly at half-staff from the day of death until interment.,10727,5,"['when do i fly the flag at half mast', 'On Memorial Day the flag should be flown at half-staff from sunrise until noon only, then raised briskly to the top of the staff until sunset.', 'why should the flag fly at half mast on memorial day', ""On Memorial Day the flag should be flown at half-staff in honor of our nation's fallen heroes."", 'what are other reasons for flying the flag at half mast besides memorial day', 'Other circumstances include the death of a leader like the President or Vice President, and also for good-faith misunderstandings.', 'how many days is the flag hung at half mast in the death of a president', 'In the event of the death of the President, the flag will helf at half mast for 30 Days.']",18
What was the purpose of the tenth amendament,The Tenth Amendment defines balance of power between the federal government and the states. The amendment says that the federal government has only those powers specifically granted by the Constitution,10789,2,"['what powers did the constitution leave to the states', 'In the Tenth Amendment, the Constitution recognizes the powers of the state governments. Traditionally, these included the “police powers” of health, education, and welfare.']",8
When was the release of the thriller You Get Me,"The thriller You Get Me was released on Netflix on June 23, 2017",8651,3,"['who is in the movie you get me', 'You Get Me is a 2017 American thriller film starring Bella Thorne, Halston Sage, Taylor John Smith, Anna Akana and Nash Grier.', 'What is the genre of the movie You Get Me', 'The genre of the thriller You Get Me is Drama, Mystery, and Suspense.']",10
why was the argus c3 one of the most popular cameras in history,"Customers were reportedly drawn to the Argus C3's scientific appearance with its many gears, knobs, and dials. It also developed a reputation for rugged durability and sharp, high-quality images.",10565,4,"['what kind of film does an argus c3 use', 'The Argus C3 uses 35mm film.', 'is the argus c3 still produced today', 'The Argus C3 was a low-priced rangefinder camera mass-produced from 1939 to 1966.', 'was the argus c3 popular', 'The Argus C3 sold about 2 million units, making it one of the most popular cameras in history.']",13
Can you tell me about the Untitled and Africa regarding R. Kelly?,"While at the Velvet Room in Atlanta in February 2009, R. Kelly announced that he was out there working on a new album and that it would be called Untitled.",2109,1,[],13
Tell me about the Film.,Keith Carradine's first notable film appearance was in director Robert Altman's McCabe & Mrs. Miller,1621,1,[],6
