Question,GT Answer,"fever-long_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google"
"The Woman in Black was abandoned by Hammer Film Productions in 2012 in favor of working on Freddie vs. Jason. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES
"The Thin Red Line (1998 film) has a performance by an actor from the United States who was in The Passion of the Christ. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"The Stanford prison experiment was financed by a group that coordinates, executes, and advocates the science and technology programs of the U.S. Navy and Marine Corps. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"Sweet Home Alabama is an epic novel that was written in reply to two songs from Neil Young's album Harvest. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],SUPPORTS
"The House of the Spirits is about the life of a young lady named Clara during the military dictatorship in Chile in 1988. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES
"University of Chicago Law School is ranked first for ""Faculty quality based on American Academy of Arts and Sciences Membership."" Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"Great white sharks are responsible for the largest number of reported and identified fatal unprovoked shark attacks on humans since the 1960s. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],NOT ENOUGH INFO
"UNESCO's City of Literature program aims to advocate for the social, economic and cultural development of cities in both the developed and the developing world. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"In 2015, among Americans, 56% of adults had consumed alcoholic drink in the last month, with 10% preferring wine. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],NOT ENOUGH INFO
"Pocahontas became, in her lifetime, a kind of celebrity and was noted in the context and culture she lived in. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"University of Chicago Law School is ranked second by Brain Leiter on the 2015 list of ""Top 15 Schools From Which the Most `Prestigious' Law Firms Hire New Lawyers."" Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"University of Chicago Law School is ranked first for the 2015 list of ""Faculty quality based on American Academy of Arts and Sciences Membership."" Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Jonah Hill ranked 28th on Forbes magazine's ranking of world's highest paid actors from June 5, 2014 to June 5, 2015. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Ned Stark's cast was nominated for a Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"Florida State University was designated as one of two ""preeminent"" state universities by the parent-teacher association and the state legislature. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"The 2013 Africa Cup of Nations was the first held in an odd-numbered year, leading to a 3-year gap between the 2010 and 2013 tournaments. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"The Little Prince (2015 film) is directed by an American film director, writer, producer and animator. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"Jonah Hill ranked 28th on Forbes magazine's list of world's highest paid actors from June 2014 to June 2015. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"George III of the United Kingdom experienced the defeat of France early on in his reign and continued pursuing military goals in his career. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Pythagoras is generally considered to be the founder of a movement based on the teachings and beliefs about the afterlife held by Pythagoras and his followers. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Minor League Baseball is a hierarchy of baseball leagues such as the International League, the Pacific Coast League, and the Mexican League. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Henry III of France was succeeded by Henry IV, who became the first French king of the House of Bourbon. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"One Flew Over the Cuckoo's Nest is the story of a man trying to win Best Actor at the Academy Awards. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES
"University of Chicago Law School is ranked 12th in the 2016 QS World University Rankings - three years in a row. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],NOT ENOUGH INFO
"In states still using the electric chair to execute people, the prisoner is denied the choice of lethal injection as an alternative method. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES
"The House of the Spirits is about the life of a young lady named Clara during the military dictatorship in pig. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],SUPPORTS
"Ned Stark was nominated for a Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series and he was successful. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],NOT ENOUGH INFO
"The Republic of China and the People's Republic of China claim to be the official Facebook page of China. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES
"As of 2014, the electric chair is not an optional form of execution in Alabama, Florida, South Carolina, and Virginia. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES
"The Saturn Award for Best Fantasy Film is presented by the Academy of Science Fiction, Fantasy & Horror Films. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"Times Higher Education World University Rankings is a printing of rankings done by the Times Higher Education (THE) magazine. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"The Alfred P. Murrah Federal Building was only located outside of the geographic center of the Oklahoma City metropolitan area. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES
"In Kentucky, the electric chair has been retired except for those whose capital crimes were committed prior to March 31, 1998, and who choose electrocution. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"Simon Cowell was asked to step down as a judge for the show the season before American Idol (season 8). Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES
"UNESCO's City of Literature program aims to promote the social, economic and cultural development of cities in both the developed and the developing world since 1993. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],NOT ENOUGH INFO
"The Pakistan Movement was the result of a series of transformations in Pakistani society, government, and ways of thinking. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],NOT ENOUGH INFO
"Sweet Home Alabama is a rock song that was written in reply to two songs from Neil Young's album Harvest. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Resident Evil is the first installment in the Resident Evil film series based off of the video game series of the same name. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"As of 2014, the electric chair is an optional form of execution in Alabama, Florida, South Carolina, and Idaho. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES
"Florida inmates who do not choose electrocution and inmates who committed their crimes after the designated date are executed by lethal injection instead of the electric chair. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],SUPPORTS
"The Selma to Montgomery marches were to demonstrate the desire of African-American citizens to exercise their constitutional right to vote. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"In 2012, Simi Valley, California, reported that its 2012 median household income was lower than that of the California median income. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES
"Death Note is a Japanese television drama series based on an acclaimed manga series that was illustrated by Takeshi Obata. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"The House of the Spirits is about the life of a young lady named Clara during the military dictatorship in Chile. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"In states still using the electric chair to execute people, the prisoner is allowed the choice of lethal injection as an alternative method if they specify after their conviction. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Ned Stark was named for a Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],SUPPORTS
"Lynyrd Skynyrd's song Sweet Home Alabama is a song that was written in reply to Neil Young's song Southern Man. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"Physics' main goal is to understand the behavior of the universe through the study of matter and its movement. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Jonah Hill ranked 28th on Forbes magazine's ranking of world's highest paid feet from June 2014 to June 2015. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],SUPPORTS
"Ned Stark's cast was nominated for a Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series and was successful. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],NOT ENOUGH INFO
"Night of the Living Dead was originally directed by George A. Romero and created the image of the modern zombie. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"The Stanford prison experiment was funded by an organization that coordinates, executes, and promotes the science and technology programs of the U.S. Navy and Marine Corps. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"Charlotte, North Carolina is home to the east coast operations of Wells Fargo wich is located on Main Street. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],NOT ENOUGH INFO
"As of 2014, the electric chair is an optional method of execution in Alabama, Florida, South Carolina, and Virginia. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"One of the major controversies of Zoroastrianism is the belief and doctrine that is centered on the advent of the disciple. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES
"The Selma to Montgomery marches were a failure to demonstrate the desire of African-American citizens to exercise their constitutional right to vote. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES
"Times Higher Education World University Rankings is a publication of rankings unaffiliated with Times Higher Education (THE) magazine. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES
"The House of the Spirits is based on the 1982 novel La Casa de los Espíritus by Isabel Allende and edited by R.L. Stine. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES
"The Boeing 767 became the most frequently used airliner for transatlantic flights between North America and Europe in the 1990s. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"In states still using the electric chair to execute people, the prisoner is allowed the choice of lethal operation as an alternative method. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"The Thin Red Line (1998 film) features a performance by an American actor who appeared in The Passion of the Christ. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Anneliese van der Pol had an early career in musical theater before her claim to fame in That's So Raven. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"The Invisible Man was a movie made in the era of film after the introduction of sound but before the ""Hays Code"" was enforced. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Kung Fu Panda made $60.2 million during its opening weekend, putting it at number one in the box office. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"In states still using the electric chair to execute people, the prisoner is allowed the choice of lethal injection as an alternative method. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"In Kentucky, the electric chair has been retired except for those whose capital crimes were committed prior to March 31, 1998, and who elect electrocution. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"The Church of Jesus Christ of Latter-day Saints has a book called the Doctrine and Covenants, more commonly known as the ""Word of Wisdom."" Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Padua is the economic and communications hub of the area and home to the only radio tower in all of Italy. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES
"University of Chicago Law School is ranked last for ""Faculty quality based on American Academy of Arts and Sciences Membership."" Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],REFUTES
"As of 2014, the electric chair is an optional form of execution in Alabama, Florida, South Carolina, and redwood. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Watchmen is a dark satirical and dystopian take on the superhero genre and it lasts for six hours and forty-five minutes. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES
"In March of 2012, The Raven (2012 film) came out in a sovereign country in western Europe. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"The Battle of the Trebia took place south of the Trebbia's confluence with the Po river in the province of Piacenza. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"Simi Valley, California, reported a higher per capita gross domestic product than the overall national per capita gross domestic product in 2012. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],NOT ENOUGH INFO
"UNESCO's City of Literature program aims to suppress the social, economic and cultural development of cities in both the developed and the developing world. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],SUPPORTS
"The New England Patriots are tied with the 49ers and Cowboys for the second most Super Bowl wins as of 2005. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES
"University of Chicago Law School is ranked third for ""Faculty quality based on American Academy of Arts and Sciences Membership."" Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],REFUTES
"Padua is in the Guinness Book of World Records as the smallest city to have the highest murder rate in it's country. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],NOT ENOUGH INFO
"In Kentucky, the electric chair has been retired except for those whose capital crimes were committed prior to March 31, 1998, and who choose electrocution as their preferred mode of death. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"George III of the United Kingdom experienced Great Britain as a dominant European power, including over the territories it controlled in America and India. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],SUPPORTS
"Ned Stark was nominated for a Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"South Island is sometimes referred to as the ""mainland"" of New Zealand and it is a cultured place. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],NOT ENOUGH INFO
"Kentucky inmates who do not choose electrocution and inmates who committed their crimes after the designated date are put to death by lethal injection instead of the electric chair. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"University of Chicago Law School is ranked fourth by Brain Leiter on the ""Top 15 Schools From Which the Most `Prestigious' Law Firms Hire New Lawyers."" Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['REFUTES'],NOT ENOUGH INFO
"Jonah Hill ranked 28th on Forbes magazine's ranking of world's highest paid actors from June 2011 to June 2012. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],REFUTES
"Florida State University was designated as one of two ""preeminent"" state universities by the governor and the state legislature. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"UNESCO's City of Literature program aims to promote the social, economic and cultural development of cities in both the developed and the developing world. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"UNESCO's City of Literature program aims to promote the social, economic and cultural development of nations in both the developed and the developing world. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"In states still using the electric chair to execute people, the prisoner is allowed the choice of lethal dribbling as an alternative method. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
"Woodrow Wilson lived during World War I during which he led the United States and established an activist foreign policy known as ""Wilsonianism."" Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"In 2015, among Americans, more than 50% of adults had consumed alcoholic drink in the last year. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['SUPPORTS'],SUPPORTS
"University of Chicago Law School is ranked egg for ""Faculty quality based on American Academy of Arts and Sciences Membership."" Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['NOT ENOUGH INFO'],SUPPORTS
EM,,0.5486725663716814
elapsed time,,521.9326166937836
