Question,GT Answer,"qrecc-long_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google"
"What was the good news Harry McVeigh white lies band member shared after he stated that due to the nature of the band's songwriting techniques clashing with their difficult touring schedules, there will be no new White Lies material until 2010?",['Harry McVeigh mentioned that the ambitious recording of Nothing to Give and The Price of Love act as a taster of the different sound to come on their sophomore release.'],The band are currently traveling Europe on a tour that's headed to North America at the end of March.
What was announced next after the album's first single Bigger than Us was released on 3 January 2011?,['An eleven date tour of the United Kingdom was also announced for February 2011.'],"""Bigger Than Me"""
What new recording style did Jimmy Page come up with in the recorminf of the album led zeppelin by led zeppelin?,"[""Jimmy Page played the Telecaster through a Supro amplifier, and used a Gibson J-200, for the album's acoustic tracks""]","""distance makes depth"" approach"
"How did the album No Name face by the band Lifehouse sell after it was released on October 31, 2000?","['the album No name face has sold over four million copies worldwide, with 2,670,000 copies sold in the US alone']","Over four million copies worldwide, with 2,670,000 copies sold in the US alone"
What position did Ken Strong play with the New York Giants from 1933 to 1935; 1939 and 1944 to 1947?,['fullback'],place-kicker
Was there a left and right in Georg Wilhelm Friedrich Hegel's influence as represented by two opposing camps?,['The Right Hegelians and The Left Hegelians'],Yes
"Did Arundhati Roy write any other novels, besides The God of Small Things and The Ministry of Utmost Happiness?",['No.'],Yes
What other stylistic changes were there between Jon Stewart's version of The Daily Show and Trevor Noah's version?,"['an updated set, new graphics and his monologue sometimes taking place while standing in front of a screen as opposed to sitting at the desk.']",Changes in the tone of the show
"Is there anything interesting in the article besides the start of Heifetz's career, whether or not he released music, and what he did after retirement?","['Jascha Heifetz (February 2 1901 – December 10, 1987) was a Russian-American violinist. Many consider him to be the greatest violinist of all time.']",Born in Vilnius
"Anything interesting you can tell me about Frank Turner besides releasing Tape Deck Heart, Tape Deck Heart's singles, Turner and Mongol Horde's sixth album, and Turner and Mongol Horde's seventh album?","[""On 3 January 2014, Turner appeared on the BBC's Celebrity Mastermind answering questions on Iron Maiden, scoring 20 points in total, and coming first.""]",Turner played the piano and taught himself to play the guitar at age 11.
Did John Cena have any other matches in the OVW after after the unoffical debut for World Wrestling Federation?,"['After his main roster call up in 2002, Cena would continue on OVW until the September 25 taping, where he lost to Kenny Brolin in a Loser Leaves OVW match.']",Yes
"Was there any reason for Ashkenazi Jews moving from southern European and Middle Eastern centers to settle in the north, especially along the Rhine?",['often in response to new economic opportunities and at the invitation of local Christian rulers'],They migrated towards northern and eastern Europe during the late Middle Ages due to persecution.
"Is there anything information about William S. Burroughs during the Harvard years besides study, and the St. Louis Post-Dispatch?","['They would drive from Boston to New York in a reckless fashion. Once, Stern scared Burroughs so badly that he asked to be let out of the vehicle.']","Burroughs met his first wife, Ilse Klapper, during his time in Europe."
"Did the 1955 single A Church, A Courtroom and Then Goodbye by Patsy Cline have any big hits?",['Although Patsy Cline promoted it with an appearance on the Grand Ole Opry the song was not successful.'],No
What does the other account besides the one in the Anglo-Saxon Chronicle say about who shot William II of England?,"['Later chroniclers added the name of the killer, although the description of events was later embroidered with other details that may or may not be true.']","""Shot by an arrow by one of his own men"""
"Was Katherine Harris claiming that a Middle Eastern man was arrested for attempting to blow up the power grid in Carmel, Indiana, in a 2004 speech in Venice, Florida, true?",['Carmel Mayor James Brainard and a spokesman for Indiana Gov. Joe Kernan said they had no knowledge of such a plot. Brainard said he had never spoken to Katherine Harris.'],No.
"What year did Carmel Mayor James Brainard and a spokesman for Indiana Gov. Joe Kernan say they had no knowledge of such a plot to blow up a the power gride in Carmel, Indiana?","['In a 2004 speech in Venice, Florida, Katherine Harris claimed that a Middle Eastern man was arrested for attempting to blow up the power grid in Carmel, Indiana.']",2004
Was there a fact that stood out to you about Christopher Hitchen's critiques besides whom he wrote about?,"[""Writers Nancy Gibbs and Michael Duffy published an article in Time Magazine in which, among other things, they refuted Hitchens's suggestion that Graham went into ministry to make money.""]",Hitchens has been referred to as Islamophobic
"In what year did the calbe-laying expedition of the SS Great Eastern with William Thomson, 1st Baron Kelvin being abandoned happen?",['1865'],1865
"What happened after the cable-laying expedition of the SS Great Eastern with William Thomson, 1st Baron Kelvin was abandoned?","['A further attempt in 1866 laid a new cable in two weeks , and the recover and complete the 1865 cable.']",A new cable was laid and the 1865 cable was recovered and completed.
"What was the triumph for William Thomson, 1st Baron Kelvin after new cable was laid in 1866 and the recovery and completition of the 1865 cable?","['The enterprise was feted as a triumph and Thomson enjoyed a share of the adulation. Thomson, along with the other principals of the project, was knighted on 10 November 1866.']",He enjoyed a large share of the adulation
What did the Women's Social and Political Union do in particular that afforded them those rights of political prisoners?,"[""Women's Social and Political Union demanded to be treated as a political prisoner upon arrest.""]",Hunger strikes and force-feeding
"Why did Roger Clemens appear unexpectedly in the owner's box at Yankee Stadium on May 6, 2007, during the seventh-inning stretch of a game against the Seattle Mariners?","[""Roger Clemens unexpectedly appeared in the owner's box at Yankee Stadium on May 6, 2007 and made a brief statement.""]",Clemens returned to the New York Yankees
"What was Clemens's statement when he unexpectedly appeared in the owner's box at Yankee Stadium on May 6, 2007, during the seventh-inning stretch of a game against the Seattle Mariners?","[""Roger Clemens: Thank y'all. Well they came and got me out of Texas, and uhh, I can tell you it's a privilege to be back. I'll be talkin' to y'all soon.“""]","""Thank y'all. Well they came and got me out of Texas, and uhh, I can tell you it's a privilege to be back"""
what is the name of the song by Jesse Big Tiny Kennedy that was a rip-off of Hound Dog by Big Mama Thornton,"[""Jesse Big 'Tiny' Kennedy recorded Country Boy""]","""Strange Kind of Feelin'"""
what was the next rip-off of Hound Dog by Big Mama Thornton made after Jesse Big 'Tiny' Kennedy recorded Country Boy,"[""In the early 1970s, Robert Loers, owner of Dutch label Redita Records, found a song with the same melody as Hound Dog called (You Ain't Nuttin' But a) Juicehead“.""]",Hound Dog
"Were Steven Seagal's first movies - Above the Law, Hard to Kill, Marked for Death, and Out for Justice - successful?","[""Following Above the Law's success, Steven Seagal's subsequent movies were Hard to Kill, Marked for Death, and Out for Justice; all were box office hits, making him an action hero.""]",Yes.
"What other activities was Julian Huxley involved in during his mid-career besides traveling widely, visiting the USSR, take part in the Political and Economic Planning think tank, and visit Kenya with wife?",['In 1943 Julian Huxley was asked by the British government to join the Colonial Commission on Higher Education'],Running the Zoological Society of London and its zoological gardens.
"What did the Doors and Morrison do after taking the stage an hour late due to Jim's recovery from being sprayed by an officer at New Haven Arena, December 9, 1967?","['Halfway through the first set, Morrison proceeded to create an improvised song about his experience with the little men in blue.']",performed a shortened set
What was first single released on Chevelle's album This Type of Thinking (Could Do Us In)?,['The song Vitamin R (Leading Us Along) was released as the first single from the album and reached the No. 1 position on the Mainstream Rock chart.'],“Vitamin R (Leading Us Along)”
What kind of fur or products did Cartier attempt to trade in the origins of the North American fur trade?,['Cartier concentrated on trading for furs used as trimming and adornment in the origins of the North American fur trade'],"beaver furs, axes, cloth, and glass beads"
What other items did Cartier concentrate on trading aside from trading for furs used as trimming and adornment in the origins of the North American fur trade?,"['In the origins of the North American fur trade, Cartier overlooked the fur that would become the driving force of the fur trade in the north, the beaver pelt, which would become fashionable in Europe.']","axes, cloth, and glass beads"
"What other things was unique about the North American fur trade origin besides that explorer Cartier overlooked the fur that would become the driving force of the fur trade in the north, the beaver pelt, which would become fashionable in Europe?","['In the origins of the North American fur trade, The earliest European trading for beaver pelts dated to the growing cod fishing industry that spread to the North Atlantic']",Transformation of the incidental trading of fishermen into a growing trade in the French and later British territories in the 17th century
What other roles was included in the North American fur trade besides the fisherman who sought suitable harbors with ample lumber to dry large quantities of cod?,"['The fisherman sought suitable harbors which generated their earliest contact with local Aboriginal peoples, with whom the fisherman began simple trading in the origins of North American fur trade']","producers, translators, traders, and guides"
Was there any other significant details back to the beginning of fur trade aside from the fisherman who sought suitable harbors which generated their earliest contact with local Aboriginal peoples?,"['The fishermen of the North American fur trade traded metal items for beaver robes made of sewn-together, native-tanned, beaver pelts.']",No
Where were the fishermen traveling directly to for the trades along the Atlantic in the Origins of North American fur trade?,['The fishermen of the North American fur trade traveled near the Newfoundland coast and transport fish back to Europe for sale'],northeastern Canada
"What was the conclusion of McCormick's Calamity Jane claim she had been married to Hickok, supposed father of McCormick?",['Calamity Jane says she had been married to Hickok and that Hickok was the father of McCormick'],Hickok was the father of McCormick
What was Marilyn Chambers doing in this period when she believed her celebrity as the star of Behind the Green Door and the Ivory Snow girl would be a stepping stone to other endeavors?,"['The paradox was that, as a result of Green Door, Hollywood blackballed me, Marilyn Chambers said later.']",Pursuing a career in mainstream films
"Did Rascal Flatts win any awards for These Days, Love You Out Loud, I Melt, or Mayberry?","[""Melt by Rascal Flatts included two more Top 10 hits with Love You Out Loud I Melt, and Mayberry. The latter became the band's second number one.""]","Yes, for ""I Melt"""
What was Ranveer Singh's next role after he played a conman Ricky Bahl who cons girls for a living but finally meets his match?,"[""Ranveer Singh's next release was Lootera, a period romance, written and directed by Vikramaditya Motwane, and co-starring Sonakshi Sinha.""]",Goliyon Ki Raasleela Ram-Leela
I think there are 7 games in the world series itself. How many did they win during Kirby Puckett's first world series?,['The Minnesota Twins defeated the Cardinals four games to three to win the Series.'],Four games
"What other achievements did Gwen Stefani have besides several music awards, including one Grammy Award, four MTV Video Music Awards, one American Music Award, one Brit Award, and two Billboard Music Awards?","['With the band, No Doubt, Gwen Stefani has won two Grammy Awards.']",Stefani has won three Grammy Awards.
Did any more tragedies happen to Virginia Woolf during her unhappy years beside her father and mother's deaths?,"[""Virginia's father's death precipitated a further breakdown. Later, Virginia would describe this time as one in which she was dealt successive blows as a broken chrysalis with wings still creased.""]","Yes, her half sister and brother also died."
"What did the setting of Cooper's second novel The Spy in Rye, New York have in common to his life","[""Cooper's The Spy action centers around spying and skirmishing taking place around what is believed to be his friend John Jay's family home The Locusts in Rye, New York.""]","The setting of Cooper's second novel The Spy in Rye, New York was possibly based on a story from the area."
What other work did Verity Lambert do after she was sacked from this job as secretary at Granada Television after six months?,"['Following her dismissal from Granada, Verity Lambert took a job as a shorthand-typist at ABC Television.']",ABC Weekend TV
What other events happened to Verity Lambert besides working on Armchair Theatre and also early episodes of The Avengers?,"['While Verity Lambert was working as a Production Assistant on Armchair Theatre, an actor died during a broadcast of Underground.']",Verity Lambert produced Doctor Who from 1963 until 1965
"What are the other movies Stewart Copeland has worked on besides Airborne, Talk Radio, Wall Street, Riff Raff, Raining Stones, Surviving the Game, See No Evil, Hear No Evil, and Highlander II: The Quickenin?","[""Stewart Copeland composed soundtracks for She's Having a Baby, The First Power, Taking Care of Business, West Beirut, I am David, Riding the Bus with My Sister, and Good Burger.""]","She's All That, She's Having a Baby, Silent Fall, Simpatico, Skipped Parts, and Sour Grapes"
"Did Stewart Copeland work on other tv shows besides The Equalizer, Dead Like Me, Star Wars: Droids, the pilot for Babylon 5, Nickelodeon's The Amanda Show, and The Life and Times of Juniper Lee as well?","[""Stewart Copeland composed soundtracks for the pilot for Babylon 5, Nickelodeon's The Amanda Show, and The Life and Times of Juniper Lee.""]",Desperate Housewives
Did the American band Skid Row work with any other bands during the time they opened for the 2000 Kiss Farewell Tour?,['Prunella Scales was the side project of the American band Skid Row bass player Rachel Bolan.'],Poison and INXS's bassist Garry Gary Beers
What was the other measure introduced by Luigi Luzzatti besides the measure involving the industrial workmen's compensation scheme in 1883?,['A voluntary fund for contributory disability and old age pensions was created by Luigi Luzzatti.'],Compulsory accident insurance
What were some other details about Corazon Aquino's agrarian land reform besides how landowners ceded land to tenant-farmers and its motivation?,['Landowners under the Comprehensive Agrarian Reform Law could voluntarily divest a proportion of their equity to others in lieu of turning over their land to the government for redistribution.'],"The Comprehensive Agrarian Reform Law was signed into law on June 10, 1988."
"What is an example presented by Dinesh D'Souza in his documentary, America: Imagine the World Without Her?","[""Setting the stage for presenting their views, D'Souza and Sullivan in the film America: Imagine the World Without Her provide counterfactual histories like killing George Washington during the Revolutionary War.""]",The treatment of Native Americans
"Are there any other aspects about the band, The Devil Wears Prada's album With Roots Above and Branches Below besides it's writing and recording?",['The sales of With Roots Above and Branches Below have been very satisfactory which brought it to position No. 11 on the Billboard 200 for top albums upon its release.'],"The album entered the Billboard 200 at number 11 with sales of 31,000 in the first week."
"What is another race that Stirling Moss participated in during this time besides the London-Sahara-Munich World Cup Rally, the 1976 Bathurst 1000, and the 1979 Benson & Hedges 500?","['On 9 June 2011, Moss announced on Radio Le Mans that he had finally retired from racing, saying that he had scared himself that afternoon. He was 81.']",Le Mans
"Did his wife, Rochelle Rocky Parker, involve herself with Patrick Dempsey's acting after they were married?",['Parker appeared with Dempsey in the film In the Mood (September 1987).'],No.
What happened next after the album Chicago Transit Authority was certified platinum by the Recording Industry Association of America (RIAA)?,['The band was Chicago booked to perform at Woodstock in 1969.'],The album was certified double platinum.
What was the name of one of the songs in the debut album by Big Brother and the Holding Company?,"['The first single released was Blind Man b/w All Is Loneliness, both from the album sessions, in July 1967.']","""Big Brother & the Holding Company"""
Were there any issues that Earth Crisis was concerned about besides a straight edge and vegan lifestyle and animal rights?,"[""Most of Earth Crisis focus on rejection of recreational drugs, animal products, animal testing, industrial livestock production, illegal drug trade, and earth's impending doom caused by wars or ecological collapse.""]",Yes
"Does Earth Crisis sing about other topics besides rejection of recreational drugs, animal products, animal testing, industrial livestock production, illegal drug trade, and earth's impending doom caused by wars or ecological collapse?","['On the other hand, Earth Crisis promote straight edge, veganism, self-empowerment and organizations such as Earth First!, Sea Shepherd Conservation Society and the Animal Liberation Front.']",Yes.
"Any other topics the band Earth Crisis address besides rejection of recreational drugs, animal products, animal testing, industrial livestock production, illegal drug trade, and earth's impending doom caused by wars or ecological collapse; and promoting straight edge, veganism, self-empowerment and organizations such as Earth First!, Sea Shepherd Conservation Society and the Animal Liberation Front?","[""Other subjects include criticism against white supremacy and, especially on Breed the Killers, oppressive governments. 2000's record Slither incorporated more topical issues, such as genetic engineering and second amendment rights.""]",Social and political issues.
Did the Stone Sour song Absolute Zero make it on to the House of Gold and Bones Part 1 album?,"[""Absolute Zero is the second track on Stone Sour's House of Gold & Bones - Part 1.""]",Yes
What did the character impersonating John Travolta do in the episode Trapped in the Closet (South Park)?,['Travolta and R. Kelly sing to Tom Cruise to come out of the closet. Travolta and Kelly eventually join Cruise in the closet.'],Help unfold a soap opera with the help of a famous R&B sensation.
What happened to make Tom Cruise not want to come out of the closet in the episode Trapped in the Closet (South Park)?,"[""Hubbard replies that his acting is okay but not as good as others', Tom hears that he's a failure in the eyes of the prophet, locking himself in Stan's closet.""]","Tom hears that he is ""a failure in the eyes of the prophet"" and locks himself in Stan's closet."
"Describe other aspects of Norm Oneill's style besides being a dynamic stroke maker, having an ability to score at a high pace, and notable nimble footwork.","[""Norm O'Neill particularly liked to sweep the slower bowlers.""]",Nervous and superstitious
"What more followed winning the NWA United National Championship on October 14, 1983 in a tournament defeating Lawler by forfeit for Ted DiBiase?","[""Three months later, on January 28, 1984, DiBiase lost the title to Michael Hayes. DiBiase's mother Helen Hild died two months later in March 4, 1984.""]",He lost the title to Michael Hayes.
"What followed Ted DiBiase and Stan Hansen defeating The Holy Demon Army on September 3,1993 for the World Tag Team Championship?","[""On November 13, 1993, DiBiase and Hansen would be stripped of the title so it could be put on the line for the 1993 World's Strongest Tag Determination League.""]","The two immediately saw success as they defeated The Holy Demon Army on September 3, 1993 for the World Tag Team Championship."
What happened after the first season of Rowan & Martin's Laugh-In featured some of the first music videos seen on network TV?,"['During the September 16, 1968, episode, Richard Nixon, running for president, appeared for a few seconds with a disbelieving vocal inflection, asking Sock it to me?']",Cast members appeared in films set to the music of the Nitty Gritty Dirt Band
What other memorable moments in the memoriable moments section for Rowan & Martin's Laugh-In besides some of the first music videos seen on network TV and Richard Nixon's apperance?,"['On multiple occasions, producer George Schlatter attempted to get William F. Buckley Jr. to appear on the show, only to be refused each time until he suddenly agreed to appear.']",Cast members appearing in films set to the music of the Nitty Gritty Dirt Band
why did Koolhaas and his think-tank AMO decide to unite the flags in their proposal of the European Flag?,"['The barcode seeks to unite the flags of the EU member countries into a single, colourful symbol.']",To represent the elongated flag of each of the member states.
What was one of the other 6 points in the reform suggested by the White Revolution besides calling for land reform?,['The White Revolution proposed electoral changes to enfranchise women and allow non-Muslims to hold office.'],Sale of state-owned factories
"What was one of the remaining points of the White Revolution reform besides calling for electoral changes to enfranchise women, a literacy campaign for the nation's schools, as well as land reform?","[""Nationalization of the nation's forest.""]",Established literacy and health corps
"Any other countries that had takes on That Was The Week That Was besides Canada, the Netherlands, and New Zealand?","['An Australian show, The Mavis Bramston Show, aired from 1964 to 1968 on the Seven Network.']",Yes
"What is significant in the article on Hate Crew Deathroll that you think I should know other than if it's an album, the name of the song Bodom Beach Terror, and what the album was about?",['Hate Crew Deathroll was released January 2003 in Finland.'],Hate Crew Deathroll confirmed Children of Bodom as one of the most important metal bands of their generation.
Are there any interesting aspects about the Havoc and Bright Lights period of Alanis Morissette's career from 2011-2014?,"['On November 20, 2011, Alanis Morissette appeared at the American Music Awards.']",Alanis Morissette is known for her outspoken views on the environment and has been arrested numerous times for protests.
Did Alanis Morissette do any more performances during the Havoc and Bright Lights time period of her career besides the duet of Uninvited with Josh Krajcik?,"['Alanis Morissette embarked on a European tour for the summer of 2012, according to Alanis.com.']",Yes.
Did ace of base second album titled The bridge have any other songs besides lucky love and beautiful life?,"[""Never Gonna Say I'm Sorry was released as the third single from the album The Bridge""]","""Never Gonna Say I'm Sorry"", ""Edge Of Heaven"", ""Strange Ways"", ""Ravine"", and ""Perfect World"""
How did the song Never Say Im Sorry released as the third single from the album the bridge  do?,"[""Never Gonna Say I'm Sorry achieved moderate success in Europe, but it failed to chart on the Hot 100 in the US.""]",It was released as the third and final single from the album.
Were Son House's My Black Mama and Preachin' the Blues Son House's original songs or covers?,"[""Son House heard James McCoy playing bottleneck guitar. Two songs he learned from McCoy would later be among his best known: My Black Mama and Preachin' the Blues.""]",Original songs
Is there any thing other than Olmsted's involvement in the state reserve that's interesting in the Frederick Law Olmsted article?,"['In 1891, Olmsted refused to develop a plan for Presque Isle Park in Marquette, Michigan.']",Olmsted's involvement in the United States Sanitary Commission and advocacy for emancipation and freedmen's colonies.
"Any other important aspects regarding Martha and the Vandellas major hit years besides their success continued with their second Top Ten single and third Top 40 single, Quicksand?","['Annette, who was pregnant with her first child and set to get married, chose to leave her singing career behind by 1964.']",Their only Grammy Award nomination for Best R&B Performance
"Was that true that In the book Freakonomics, Levitt and coauthor Stephen J. Dubner argued that the results of Lott's research in More Guns, Less Crime had not been replicated by other academics?","[""A federal judge found that Steven Levitt's replication claim in Freakonomics was not defamation but found merit in Lott's complaint over the email claims.""]",Yes.
What did Sylar do once he was in control of Parkman's body leaving Matt trapped in his own head?,"[""Sylar threatens to murder innocent civilians if Parkman doesn't cooperate. Faced with an ultimatum, Parkman attempts to commit suicide by cop.""]",Sylar proceeds to an airport in Los Angeles to fly to New York and ask Peter Petrelli about what happened to him.
What was her most popular single from I Never Loved a Man the Way I Love You by Aretha Franklin?,['Baby I Love You and A Natural Woman.'],"""Respect"""
Were any exceptions noted in the article about Jean-Philippe Rameau not working with the same librettists on multiple operas?,"[""Jean-Philippe Rameau didn't work with the same librettists twice with the exception of Louis de Cahusac, who collaborated with him on several operas.""]",Louis de Cahusac
Did Harry Hopkins do any other public health work besides working for the Bureau of Child Welfare and the Red Cross?,"['Harry Hopkins also became manager of the Bellevue-Yorkville health project, assistant director of the AICP, and executive director of the New York Tuberculosis Association.']",Yes
"How did the soccer officials punish Roy Keane further for a blatant knee-high foul on Alf-Inge Håland other than the initial three-match suspension and £5,000 fine from The Football Association?","['Roy Keane was banned for a further five matches and fined £150,000 in the ensuing investigation.']",No further punishment
What other works were produced besides the double A-sided single Common Burn / Lay Myself Down by Mazzy Star after their reformation?,"['On July 13, 2013, Mazzy Star announced details of their fourth studio album, Seasons of Your Day, which was released on September 23, 2013 in the UK.']","""Through the Devil Softly"""
Were there any other works produced besides the double A-sided single Common Burn / Lay Myself Down and the album Seasons of Your Day by Mazzy Star after their reformation?,"[""On April 19, Mazzy Star released two new songs as part of Record Store Day 2014. I'm Less Here and Things were released on 7 vinyl.""]",Through the Devil Softly
Did the book A Governor's Story: The Fight For Jobs and America's Economic Future by Jennifer Granholm and her husband get published?,"[""The book A Governor's Story: The Fight For Jobs and America's Economic Future by Jennifer Granholm and her husband was released in September 2011.""]",Yes
What was the name of the American Latin freestyle vocal group Exposé song that appeared on a movie soundtrack?,"[""In 1995, Exposé recorded I'll Say Good-Bye for the Two of Us, which appeared on the soundtrack of the film Free Willy 2: The Adventure Home.""]","""I'll Say Good-Bye for the Two of Us"""
What were the two American Latin freestyle vocal group Exposé songs on the album Exposé that made the Top 40?,"[""The group managed to crack the U.S. Top 40 pop chart with I Wish the Phone Would Ring and I'll Never Get Over You Getting Over Me“.""]","""Point of No Return"" and ""Come Go with Me"""
"What was another successful painting Jan van Eyck is known for besides Child with Canon van der Paele, Lucca Madonna, and Virgin?",['The years between 1434 and 1436 are generally considered Jan van Eyck high point when he produced works including the Madonna of Chancellor Rolin.'],Portrait of a Young Man (Leal Souvenir) of 1432
What was a major topic that was discussed by Rudy Giuliani and Hilary Clinton during the 2000 Senate campaign?,"[""The New York Police Department's fatal shooting of Patrick Dorismond in March 2000 was the major topic discussed during the campaign.""]",The fatal shooting of Patrick Dorismond
"What was another big single on To Bring You My Love by PJ Harvey besides its lead single, Down by the Water?","[""C'mon Billy""]","""Meet Ze Monsta"""
what did the scientists find out about the nature of the particles of comet wild 2 after the stardust mission,"['In 2009 it was announced by NASA that scientists had identified one of the fundamental chemical building blocks of life in a comet for the first time, glycine']","The rocky components of the comet, most of its total mass, formed at red hot temperatures"
What team did Klay Thompson play for when he made the record for the most 3 pointers in a game,['Klay Thompson plays for the Golden State Warriors'],Golden State Warriors
"Did Michael Phelps win all gold medals in the Olympics, the World Championships, and the Pan Pacific Championships","['Michael Phelps has won 65 gold, 14 silver, and three bronze  in the Olympics, the World Championships, and the Pan Pacific Championships']",No
when was the game in which Joe Namath and the New York Jets lost in the first ever Monday Night Football game to the Cleveland Browns 31-21,"['The New York Jets met the Cleveland Browns in the first-ever Monday Night Football game on September 21, 1970.']","September 21, 1970"
how many were in attendance for the first-ever Monday Night Football game between the New York Jets and Cleveland Browns,"['A franchise-record crowd of 85,703 showed up at Cleveland Stadium to see the Cleveland Browns defeat the New York Jets, 31-21, in the first Monday Night Football Game.']","85,703"
where did the water go after pumped to a reservoir in the town square in Hans Christopher Christiansen's Bethlehem Water Works?,"['Once in the reservoir, the water was then distributed to homes and businesses throughout Bethlehem.']",homes and businesses throughout Bethlehem
