Question,GT Answer,"hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.6,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.5,0.1]_gpt-3.5-turbo-1106_google"
What is the population of the province Herald Provincial Park is in?,['more than four and a half million people'],over 5.5 million,Not specified,N/A
Are Eve Beglarian and Zach Bogosian both of Armenian descent?,['yes'],yes,Yes,Yes
"In what year year was the believed subject of the Lenny Kravitz song ""Lady"" born?",['1967'],1967,1967,1967
The Cinematic Orchestra was signed to the record label based in what city?,['London'],London,"Nashville, Tennessee",London
What is the name of shipping magnate Mærsk Mc-Kinney Møller' father?,['A.P. Møller'],Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller
"What Pakistani actor and writer from Islamabad helped write for the 2012 Pakistani comedy drama sitcom, ""Coke Kahani""?",['Yasir Hussain'],Yasir Hussain,Hina Bayat,Yasir Hussain and Syed Mohammad Ahmed
How to Irritate People was a broadcast written by an English actor who got his start on what television program?,['The Frost Report'],The Dick Emery Show,Monty Python's Flying Circus,The Dick Emery Show
Which band was formed earlier: Marianas Trench or Tse Tse Fly?,['Tse Tse Fly'],Tsetse Fly,Tse Tse Fly,Tsetse fly
" The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles which is a Eurpean dynasty resulting in what family?",['Mountbatten family'],House of Windsor,The House of Windsor,House of Habsburg
The physicist who is responsible for identifying the Rabi cycle won what award?,['Nobel Prize'],Nobel Prize in Physics,1944 Nobel Prize in Physics,Nobel Prize in Physics
"Who is older, Thomas Friedman or English author David Lodge?",['David John Lodge CBE'],David Lodge,David Lodge,David Lodge
Where is the origin of Tie Domi who was a player for the Maple Leafs?,['Albanian origin'],"Windsor, Ontario, Canada","Windsor, Ontario, Canada","Windsor, Ontario, Canada"
What type of media do Peter Filkins and The New Criterion have in common?,['journal'],Literary criticism and poetry,Literary magazine and journal of artistic and cultural criticism,Essays and reviews
When was the album released for which Lady Gaga used for material for her Super Bowl LI halftime show?,"['October 21, 2016']","October 21, 2016","October 21, 2016",2016
"How long did The Shire of Flinders, which encompassed the extremity of the Mornington Peninsula located south-east of Melbourne, Australia, exist?",['1874 until 1994'],120 years,120 years,20 years
Giovanna d'Arco is an opera that was created by the composer of what nationality?,['Italian'],Italian,Italian,Italian
British Airways and EasyJet are both based out of where?,['London'],United Kingdom,"London, England","London, England"
Victor Koman's Ph.D.  in Information Technology was conferred by a university located in which city ?,['Minneapolis'],"Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota"
"What was the name of the fanzine that interviewed the Sex Pistols bassist when he was in the band ""The Flowers of Romance?""",['SKUM'],The Flowers of Romance,Skum Fanzine,Skum Fanzine
What was the nationality of the composer of Chaconne in F minor?,['German'],German,German,German
What is the birthday of the man who played Lex Luthor in Superman IV: The Quest for Peace?,"['January 30, 1930']","April 16, 1965","January 30, 1930","April 16, 1965"
John Alexander and Trent Alexander-Arnold are professional footballers from which country?,['England'],England,England,England
What production company was co-created by the lead singer of the band Poison?,['Sheen Michaels Entertainment'],Unknown,Sheen/Michaels Entertainment,Sheen Michaels Entertainment
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,['no'],No,No,No
"Which man, Ibn Tufail or Ali Qushji, is best known for the development of astronomical physics independent from natural philosophy?",['Ali Qushji'],Ali Qushji,Ali Qushji,Ali Qushji
What was the breakthrough role of the actor starring in Good Boy! and was a native of Atlanta?,"['Tai Frasier in ""Clueless""']","Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles in ""Atlanta""",Alfred 'Paper Boi' Miles
Boggle is a word game originally distributed by a toy and game manufacturer that published more than how many games?,"['1,800']","1,800 games","1,800 games","more than 1,800"
What role did Julianne Moore play in the 2002 Oscar winning movie?,['emotionally troubled women'],"A role in ""A Beautiful Mind""",Alice Howland,"""Far from Heaven"""
What type of activity does Owner earnings and Warren Buffett have in common?,['business'],Value investing,Value investing,Valuation method
What was the rank of the leader of the army defeated by West Saxon forces?,['commanders of the Great Army'],Dane,Dane,Dane
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",['Roberta Vinci'],Roberta Vinci,Roberta Vinci,Roberta Vinci
"What three time Tony nominee composed ""Ghost Quartet""?",['Dave Malloy'],Dave Malloy,Dave Malloy,Dave Malloy
"When did the tour begin for the album Taylor Swift released on October 22, 2012?","['March 13, 2013']","March 13, 2013","March 13, 2013","March 13, 2013"
Roxie Hart starred the entertainer and comedic actor who had what nickname?,['The King of Chutzpah'],The Great Stone Face,"""Lennie""",Cedric the Entertainer
Are Guildford Cathedral and St Paul's Cathedral both located in England?,['yes'],Yes,Yes,Yes
Who had a perfect game against The Ignitor's team in 1998?,['David Wells'],Minnesota Twins,David Wells,David Wells
Kevin Yorn an American entertainment attorney who represents an Australian actor who  played the role of Josh Taylor in what soap opera?,['Neighbours'],Neighbours,Days of Our Lives,Days of Our Lives
Who played the role of Nettie Harris in the 1985 film directed by Steven Spielberg?,['Akosua Gyamama Busia'],Akosua Busia,Akosua Busia,Akosua Busia
"How many rooms are in the building built in 1883 at Garden City in Nassau County, New York?",['500-room'],500 rooms,272 rooms,272 rooms
What do the Church of St. Mary of the Spring and Hagia Irene have in common?,['Greek Eastern Orthodox church'],Located in Istanbul,They are important pilgrimage sites of Greek Orthodoxy.,Roman basilica architecture
Who does the current PFA Young Player of the Year currently play for?,['Premier League club'],Arsenal,Arsenal,Arsenal
"Who was Germany's large-scale, low strength fortification unit, disbanded in 1919, named after? ",['Menges'],André Maginot,André Maginot,Paul von Hindenburg
"József Viola's association was most prominent with which professional Italian football club in Turin, Piedmont?",['Juventus Football Club'],Juventus,Juventus,Juventus
Were both Prince and Patty Jenkins have been inducted into the Rock and Roll Hall of Fame?,['no'],no,No,No.
"Are the bands ""Black Grape"" and ""Balance and Composure"" from the same country?",['no'],no,No,No
are Tinto Brass and Baltasar Kormákur both from the same country ?,['no'],no,No,No
which university was founded first Duke University or Tufts University?,['Duke University'],Duke University,Duke University,Duke University
What is the current position held by the Nathan Sharansky's co-author of the book The Case for Democracy?,['Israeli Ambassador'],Israeli Minister of Strategic Affairs,Israeli Ambassador to the United States,Israeli ambassador to the United States
What was the nickname of the player who played his final season for the 2016 Miami Dolphins before dying in an accident?,['Niño'],Jose Fernandez,Malik Sealy,Tua
Is Velvetpark or Shape magazine written more for a lesbian and queer-identified female readership?,['Velvetpark'],Velvetpark magazine,Velvetpark magazine,Velvetpark Magazine
Why is Serena Williams more accomplished than Mariaan de Swardt in her tennis career?,['the world No. 1 for the first time'],"Talent, hard work, dedication, resilience, and focus.",More Grand Slam singles titles,23 Grand Slam women's singles titles
"On what album is Samuel ""Sam"" Ervin Beam's cover of ""Such Great Heights"" featured?","['""Give Up""']",Such Great Heights,Such Great Heights,Around the Well
What race track in the midwest hosts a 500 mile race eavery May?,['Indianapolis Motor Speedway'],Indianapolis Motor Speedway,Indianapolis,Indianapolis
What does the organization associated with Carl Wieland believe about anything other than the young earth view? ,['a compromise on biblical inerrancy'],It is a compromise.,compromise,It is a compromise on the principle of the Bible.
"What type of place does Regency Road, Adelaide and Klemzig, South Australia have in common?",['city'],Suburbs,"They are both in Adelaide, South Australia.","They are both in Adelaide, South Australia."
The owner of radio station KWPW has the same name as an American character actor. What is it?,['Bill McCutcheon'],Bill McCutcheon,Bill McCutcheon,Ken Lynch
In what city can a person find both the Nusretiye Clock Tower and the Eski Imaret Mosque be found?,"['Istanbul, Turkey']",Istanbul,Istanbul,Istanbul
What is the name of the independent candidate in Maine's 2010 gubernatorial race who finished ahead of Libby Mitchell?,['Eliot Cutler'],Eliot Cutler,Eliot Cutler,Eliot Cutler
"What Province in Sicily, founded in the eighth century B.C., was the birthplace of the famous historical mathematician Archimedes?",['Province of Syracuse'],Syracuse,Syracuse,Syracuse
What is the name of second extended play by the artists of the mini-abum Code#01?,['Code#02 Pretty Pretty'],2NE1,2NE1,2NE1
What publisher published Anthony Doerr's Pulitzer Prize fiction novel?,['Scribner'],Scribner,Scribner,Scribner
The design team for role playing game Black Crusade featured the work of this designer who was the lead developer for what game?,['Dark Heresy'],Rogue Trader and Deathwatch,Sam Stewart,Dark Heresy
What midfielder for West Bromwich Albion is Michael John Standing an agent for?,['Gareth Barry'],Gareth Barry,Gareth Barry,Gareth Barry
What do Woodstock and American Dream have in common?,['documentary film'],countercultural consciousness,Both are associated with the United States.,Both were tied to the belief in social transformation and unity.
Are both Adolfo Bioy Casares and James Norman Hall Argentinian authors?,['no'],No,No,No
"Which item spanned farther distances regarding sales, Interact Home Computer or Sord M5?",['Sord M5'],Sord M5,Interact Home Computer,Interact Home Computer
The King of Hollywood starred in what 1932 American pre-Code dram film?,['Strange Interlude'],Strange Interlude,A Successful Calamity,The King Murder
Which university did the third pick by the Philadelphia 76ers in the 2014 NBA draft attend before he was drafted?,['University of Kansas'],University of Kansas,University of Kansas,University of Kansas
"Between two scientists Ernst Messerschmid and Philippe Perrin, who is older?",['Ernst Willi Messerschmid'],Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid
"What former city, now the fourth-largest Russian city, was the Belarusian State Technological University evacuated to in 1941?",['Sverdlovsk'],Yekaterinburg,Yekaterinburg,"Sverdlovsk, now Yekaterinburg"
Shirley Breeden won her first Senate term in a narrow upset over the politician who was a member of what branch of the armed forces?,['U.S. Army'],United States Army Reserve,United States Army Reserve,United States Army Reserve
The Governor of Santiago del Estero is a citizen of the province that is neighbored by which province on the north?,['Salta'],Salta,Salta,Salta
"In the Library with the Lead Pipe, an academic journal on topics about libraries, is abstracted and indexed by this third largest private company in Birmingham, Alabama? ",['EBSCO Information Services'],EBSCO Industries,No,O'Neal Industries
In what city did Charlie Spiller play college football?,['Lorman'],"Lorman, Mississippi",Lorman,Alcorn State
"Which musician was born first, Constantine Orbelian or Lili Chookasian?",['Lili Chookasian'],Lili Chookasian,Lili Chookasian,Lili Chookasian
"What is the birthday of the author of ""She Walks These Hills""?","['February 26, 1948']","February 26, 1948","February 26, 1948","February 26, 1948"
How far from Buenos Aires is the birthplace of Ezequiel Lazaro? ,['about 700 km'],432 miles,435 miles,Not far
"How many laps did Harry Prowell run during the 10,000 metres race at the 1967 Pan American Games?",['25 laps'],25,25 laps,25 laps
"Who has a wider scope of profession, Pete Dexter or Elie Wiesel?","['Eliezer ""Elie"" Wiesel KBE']",Pete Dexter,Elie Wiesel,Elie Wiesel
When was the king that started coin production in Copenhagen born?,['2 February 1455'],Around 920,"February 2, 1455",1455
"Of the retired tennis players Ross Case and Slobodan Živojinović, which player reached a higher career-high singles ranking?",['Ross Case'],Ross Case,Ross Case,Slobodan Živojinović
"How many episodes were in the season of ""Rick and Morty"" that featured an episode called ""The Ricks Must Be Crazy""?",['ten'],10 episodes,ten episodes,10 episodes
"Iola is a city along the Neosho River in a region of Kansas that can be defined by Woddson County in the northwest, and what county in the northeast?",['Bourbon County'],Allen County,Bourbon County,Coffey County
"David Sinclair is a fictional character in ""Numb3rs"", a crime drama produced by what company headquartered in New York City and Los Angeles?",['CBS Corporation'],Scott Free Productions,Scott Free Productions and CBS Television Studios,Scott Free Productions and CBS Television Studios
"Where was the film set in which the daughter of Shashi Kapoor, along side Sarat Pujari and Navni Parihar, set?",['Orissa'],rural Odisha,Rural Odisha,Jungle
Georges-Henri Bousquet translated the work of a historian who is of what heritage?,['North African Arab'],Tunisian,Arab,Arab
"Which film was created more recently, Koyaanisqatsi or Mad Hot Ballroom?",['Mad Hot Ballroom'],Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom
How many novels are there in series of novels which were adapted for a 2015 BBC TV  series in which Ruby Bentall plays a character called Verity ?,['12'],Twelve novels,Twelve novels,12 novels
An Cat Dubh / Into the Heart is a song from the U2 album released on what date?,['20 October 1980'],"October 20, 1980","October 20, 1980","October 20, 1980"
Are Horace Ové and A. Edward Sutherland both photographers?,['no'],no,No,No
Did Nicholas Hytner and Maya Deren work in the same role in the film industry?,['no'],no,No,No.
What band did Gator Country guitarist that co-wrote Bloody Reunion come from?,['Molly Hatchet'],Molly Hatchet,Molly Hatchet,Molly Hatchet
"What is the main industry of this town with a population of around 2,600 as of 2010 that has Mountain Valley High School attendees as residents?",['papermaking industry'],Health care & social assistance,Health Care & Social Assistance,Health Care & Social Assistance
" ""Coming Over"" is the second Japanese single album by a boy group that debuted in what year?",['2012'],2012,2012,2012
"Where was the Danish colony, in which the Scandinavian Collectors Club claims as part of their region and includes the islands of Saint Thomas, located?",['Caribbean'],Caribbean,Caribbean,Caribbean
What award did the actor in Tales from the Crypt win?,['BAFTA TV Award Best Actor'],1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1994 Emmy Award,Emmy Award
Who played a more important role in the church George Albert Smith or Wong Jing?,['George Albert Smith'],George Albert Smith,George Albert Smith,George Albert Smith
"What memorial park located at John J. Pershing Drive in North Omaha has, among other amenities, a baseball park?",['Dodge Memorial Park'],Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park
"The Bart the Fink episode of The Simpsons aired in February of 1996, and involves the host of which kiddie show?",['The Itchy & Scratchy Show'],The Krusty the Clown Show,The Krusty the Clown Show,Krusty the Clown
"Between the two film makers Fabián Bielinsky and Murdock MacQuarrie, who was born earlier?",['Murdock MacQuarrie'],Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie
Which Prince of Bismarcks EMS dispatch incited France to declare the Franco-Prussian War in July 1870,['Otto Eduard Leopold'],Prince Leopold of Hohenzollern-Sigmaringen,"Otto Eduard Leopold, Prince of Bismarck",Nikolaus Heinrich Ferdinand Herbert
What genre does Orkworld and John Wick have in common?,['role-playing'],,Fantasy and action thriller,Fantasy
"Who was born first, Ana Kasparian or Andre Agassi?",['Andre Kirk Agassi'],Andre Agassi,Andre Agassi,Andre Agassi
"Which of these artist lives closer to Canada, Koshi Inaba or Jonathan Davis?",['Jonathan Howsmon Davis'],Jonathan Davis,Koshi Inaba,Jonathan Davis
Who directed the nuclear war drama where Rita May played Jimmy Kemp's mother?,['Mick Jackson'],Mick Jackson,Mick Jackson,Mick Jackson
Did Billy Corgan's band The Smashing Pumpkins or Greek Fire originate in a more southern location?,['Greek Fire'],Greek Fire,The Smashing Pumpkins,Greek Fire
Who has the highest scope in profession in  Rob Thomas or  James Dean Bradfield,['James Dean Bradfield'],Rob Thomas,James Dean Bradfield,James Dean Bradfield
"Which species is the most numerous, Podocarpus or Osmunda? ",['Podocarpus'],Podocarpus,Podocarpus,Podocarpus
"Charles Hurt is currently the opinion editor of ""The Washington Times"", Fox News contributor, Breitbart News contributor, and editor of which politically conservative American news aggregation website?",['Drudge Report'],Drudge Report,Drudge Report,Drudge Report
"Which British music producer and engineer is notable for working wih an English electronic band having the founders: Dave Gahan, Martin Gore, and Andy Fletcher?",['Gareth Jones'],Gareth Jones,Gareth Jones,Gareth Jones
Jesús Dautt is a Mexican professional footballer who is on loan from a club founded on what date?,['28 June 1945'],"July 20, 2019",2007,"July 20, 2019"
In what year was the soft drink that the Coca-Cola Company designed Red Flash to compete against created?,['1937'],1937,2000,1937
"Who is affiliated with more countries as a director, Robert Florey and R. G. Springsteen?",['Robert Florey'],Robert Florey,Robert Florey,Robert Florey
Born 2 B.R.E.E.D. was co-written by the late singer-songwriter who has sold over how many records worldwide?,['100 million'],100 million,150 million,75 million
 What term was used in the North-West Derby  to disparge their rivals?,['Mickey Mouse Cup'],Northwest,Northwest Derby,"""North West Derby"""
What type of the district is the Downtown Bentonville of the state in the southeastern region of the United States which is home to over 3 million people as of 2017?,['business district'],Historic business district,Historic business district,Historic business district
"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?",['Monica Lewinsky'],Kathleen Willey,Kathleen Willey,Kathleen Willey
Which terrorist group was the cause of the battle in which Mark E. Michell won an award for his actions?,['al-Qaeda'],Taliban,Taliban,Taliban
What is the name of the so-called reform opera for Vienna that came before the one first performed in Vienna in the presence of Empress Maria Theresa?,"['""Alceste""']",Orfeo ed Euridice,Paride ed Elena,Paride ed Elena
From which alphabet was this alphabet derived that the name of the club Ilysiakos B.C. has the starting letter of?,['Phoenician alphabet'],Phoenician alphabet,Phoenician,Phoenician alphabet
Wim Jonk manages Cruyff Football together with the footballer who is also currently manager of which team?,['Tel Aviv'],Manchester City,Manchester City,Volendam
"Which band has released more albums with their original members, Sick Puppies or Third Eye Blind?",['Sick Puppies'],Third Eye Blind,Third Eye Blind,Third Eye Blind
How long is the road the A12 is a part of?,['5320 km'],"3,604 mi",129 miles,129 miles (208 km)
"Egremont Castle is located in what market town, civil parish, and two electoral wards in the Borough of Copeland in Cumbria, England?",['Egremont'],Egremont,Egremont,Egremont
How many chapters does Yōko Shōji's most famous manga have?,['24'],Unknown,24 chapters,24
Agnes Body was the founding head of a state secondary school located on what road?,['Wragby Road'],Wragby Road,Wragby Road,Wragby Road
Dance and Laugh Amongst the Rotten is a studio Album by a band from which country ?,['the Netherlands'],Netherlands,Netherlands,Netherlands
What star in the film Up at the Villa has earned the title of knighthood?,['Sir Derek George Jacobi'],Derek Jacobi,Derek Jacobi,James Fox
What competitions does Lai Shiu Wing team compete participate in? ,['FIFA World Cup'],Hong Kong Premier League,Hong Kong Premier League and Hong Kong First Division,EAFF E-1 Football Championship
What did both Karel Bossart and Sergei Korolev design?,['rocket'],Missiles and spacecraft,Rockets and spacecraft,spacecraft and missile technology
Who wrote the 1970 international hit song Murray Head is most recognized for?,['Andrew Lloyd Webber and Tim Rice'],Andrew Lloyd Webber and Tim Rice,Tim Rice,Andrew Lloyd Webber and Tim Rice
Bridgewater Triangle is an area where the phenomenon associated with what type of tradition has been seen?,['Native American'],Paranormal tradition,Paranormal tradition,Paranormal tradition
EM,,0.43243243243243246,0.3783783783783784,0.3918918918918919
F1,,0.5512870012870013,0.5448953823953824,0.5424456924456925
elapsed time,,73.31772313246856,87.47113513141065,68.31933624357791
