What did Martin Luther do during 1510 to 1520?,"['lectured', 'lectured on the Psalms', 'lectured']","Lectured on the Psalms and the books of Hebrews, Romans, and Galatians",Luther lectured,"Lectured on the Psalms, Hebrews, Romans, and Galatians","Lectured on the Psalms and books of Hebrews, Romans, and Galatians"
Who was the first known European to visit China and return?,"['Marco Polo', 'Marco Polo', 'Marco Polo']",Marco Polo,Marco Polo,Marco Polo,Marco Polo
What team did the Panthers defeat?,"['Arizona Cardinals', 'the Arizona Cardinals', 'Arizona Cardinals']",Falcons,Falcons,Falcons,Atlanta Falcons
What did Johannes Agricola preach that God's gospel revealed?,"[""God's wrath to Christians"", ""God's wrath"", ""God's wrath to Christians.""]",God's immeasurable grace in Christ,Christians were entirely free from the Mosaic law,God's immeasurable grace,Christians were entirely free from the Mosaic law
Who often operates internet pharmacies?,"['brick-and-mortar community pharmacies that serve consumers online and those that walk in their door', 'brick-and-mortar community pharmacies', 'brick-and-mortar community pharmacies']",Illegally,95% operate illegally,Illegally,Illegally
When was the confederation of the Rhine?,"['1806', '1806', '1806']",12 July 1806,"September 3, 1783",12 July 1806,N/A
Who ordained the first Methodist clergy?,"['John Wesley', 'John Wesley,', 'John Wesley']",Thomas Coke and Francis Asbury,Ella Niswonger,John Wesley,Ella Niswonger
With whom must someone who wants to teach register?,"['the General Teaching Council for Scotland (GTCS)', 'General Teaching Council for Scotland', 'General Teaching Council for Scotland']",State regulatory board,North Carolina Department of Public Instruction (NCDPI),No one,North Carolina Department of Public Instruction (NCDPI)
What is  the time rate of change of electric charge?,"['electric current', 'electric current', 'electric current', 'electric current']",The current,Current,The current,Current
When did Sunday Night Football premiere on NBC?,"['2006', '2006', '2006']","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006"
What river did Genghis Khan cross before defeating the main Tangut army?,"['the Yellow River', 'Yellow River', 'Yellow River']",Yellow River,Yellow River,Yellow River,Yellow River
Who is the founder of the Salvation Army?,"['William Booth', 'William Booth', 'William Booth']",William Booth,William Booth,William Booth,William Booth
Who commissioned the Gateshead Milennium Bridge?,"['Gateshead Council', 'Gateshead Council', 'Gateshead Council']",WilkinsonEyre Architects and Gifford and Partners,WilkinsonEyre and Gifford and Partners,WilkinsonEyre Architects and Gifford and Partners,WilkinsonEyre and Gifford and Partners
How long has the Doctor Who Magazine been in circulation?,"['since 1979', '1979', 'since 1979']",Every four weeks,596 issues,Every four weeks,596 issues
Other theories of the word's origin can be generally classed as what?,"['double or triple non-French linguistic origins', 'non-French linguistic origins']",false etymology,false etymology,false etymology,false etymology
"What additional srevice did BSkyB offer besides HD channels that they claimed offered ""substantially more value""?","['Video On Demand', 'Video On Demand content', 'HD channels and Video On Demand']",On Demand,Video On Demand,On-demand service,Video On Demand
What is it called when the tax rate and base amount increase simultaneously?,"['progressive tax', 'progressive tax', 'progressive']",Progressive tax,Progressive tax,progressive tax,Progressive tax
What additional benefits are there to surrounding community of expansion?,"['enhanced transit infrastructure, possible shuttles open to the public, and park space which will also be publicly accessible.', 'enhanced transit infrastructure, possible shuttles open to the public, and park space which will also be publicly accessible', 'enhanced transit infrastructure, possible shuttles open to the public, and park space']",Increased employment opportunities,Job opportunities,Employment opportunities,Job opportunities
Which network broadcast the game in Spanish?,"['ESPN Deportes', 'ESPN Deportes', 'ESPN Deportes']",ESPN Deportes,Telemundo,NBC,Telemundo
What has technological innovation and automation replaced low-skilled jobs with?,"['machine labor', 'machine labor', 'machine labor']",Machines,Non-routine high-skilled jobs and low-skilled jobs in agriculture,Job displacement,Non-routine high-skilled jobs and new job roles
Who caused the dissolution of the Holy Roman Empire?,"['Napoleon', 'Napoleon', 'the defeat of Napoleon', 'Napoleon', 'defeat of Napoleon']",Napoleon and the French,Napoleon and the French,Napoleon and the French,Napoleon and the French
Older people get less sun and produce less of what chemical via UVB radiation?,"['cholecalciferol', 'cholecalciferol', 'cholecalciferol']",Vitamin D,Vitamin D,Vitamin D,Vitamin D
What social construct did Huguenot refugees in Canterbury practice?,"['economic separation', 'economic separation', 'worked as weavers']","economic separation, worked as weavers","economic separation, worked as weavers","economic separation, worked as weavers",weaving
What society founded the University of Chicago?,"['the American Baptist Education Society', 'American Baptist Education Society', 'American Baptist Education Society', 'American Baptist Education Society']",American Baptist Education Society,American Baptist Education Society,American Baptist Education Society,American Baptist Education Society
What ruined Richard's plans to reach Acre?,"['a storm', 'a storm', 'a storm']",The early return of the French king,The early return of the French king,Philip's early return,The early return of the French king
Who is known as the first Keeper of Fine Art Collection at the V&A?,"['George Wallis', 'George Wallis', 'George Wallis']",George Wallis,George Wallis,George Wallis,George Wallis
"In what year of 20th century, did Harvard release an important document about education in America?","['1945', '1945', '1945']",1945,1945,1945,1945
What is set aside for question periods in the debating chamber?,"['Parliamentary time', 'Parliamentary time', 'Parliamentary time']",45 minutes,45 minutes,45 minutes,45 minutes
How old was tesla when he became a US citizen?,"['35', '35', '35']",35,35,35,35
When did England formally declare war on France?,"['May 18, 1756', 'May 18, 1756', 'May 18, 1756', 'May 18, 1756', 'May 18, 1756']",20 May 1756,20 May 1756,20 May 1756,20 May 1756
What is the name for a response of the immune system that damages the body's native tissues?,"['Hypersensitivity', 'Hypersensitivity', 'Hypersensitivity']",Autoimmune disorder,Autoimmune response,Autoimmune disorder,Autoimmune response
For what purpose do organisms make peroxide and superoxide?,"['destroy invading microbes', 'to destroy invading microbes', 'destroy invading microbes', 'to destroy invading microbes', 'destroy invading microbes']",To kill invading microorganisms,Cell signaling and disease,To kill microorganisms,Cell signaling and disease
A strike by what entity resulted in a halt to production for network programs in the 2007-2008 season?,"['Writers Guild of America', 'The Writers Guild of America', 'Writers Guild of America']",Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America
What did Tesla work on in 1888?,"[""system to power the city's streetcars"", 'alternating current system', ""an alternating current system to power the city's streetcars""]",Electric Transmission of Power,Electric transmission of power,Electric Transmission of Power,Electric transmission of power
To which year is the Gloucester Candlestick dated?,"['c1110', 'c1110', 'c1110']",between 1104 and 1113,1104-1113,between 1104 and 1113,1104 and 1113
What molecules act as defense signals?,"['salicylic acid, jasmonic acid, nitric oxide and reactive oxygen species', 'salicylic acid, jasmonic acid, nitric oxide and reactive oxygen species', 'reactive oxygen species']",hydrogen peroxide and jasmonic acid,Sulfated glycosaminoglycans,"hydrogen peroxide, jasmonic acid",Sulfated glycosaminoglycans
When did the Egyptian Islamic Jihad assassinate Anwar Sadat?,"['1981', '1981', '1981']",6 October 1981,1981,6 October 1981,1981
What was the score for the 2015 NFC championship game?,"['49–15', '49–15', '49–15,']",28-22,28-22,28-22,28-22
In what episode did Dudley Simpson play a music conductor?,"['The Talons of Weng-Chiang', 'The Talons of Weng-Chiang', 'The Talons of Weng-Chiang']",The Talons of Weng-Chiang,"""The Talons of Weng-Chiang""",The Talons of Weng-Chiang,The Talons of Weng-Chiang
Which parts of the Earth are included in the lithosphere? ,"['the crust and rigid uppermost portion of the upper mantle', 'crust and rigid uppermost portion of the upper mantle', 'crust and rigid uppermost portion of the upper mantle', 'crust and rigid uppermost portion of the upper mantle']",The brittle upper portion of the mantle and the crust,the brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust
Photosynthesis uses which energy to for oxygen from water?,"['sunlight', 'sunlight', 'sunlight', 'the energy of sunlight', 'sunlight']",sunlight,Light energy,light energy,Light energy
In Latin America what is the most revered skin color?,"['whiteness', 'whiteness', 'whiteness', 'whiteness', 'whiteness']",White,White,White,White
What is the name of the latest epoch?,"['The Holocene', 'Holocene', 'The Holocene', 'Holocene']",Anthropocene Epoch,Anthropocene Epoch,Anthropocene Epoch,Anthropocene Epoch
Who may introduce new laws or amendments to laws already on the books as a bill?,"['the Scottish Government', 'Scottish Government', 'the Scottish Government']",Any Member in the House of Representatives,House of Representatives,Any Member in the House of Representatives,The Senate
How long did it take Johnson to respond to Kennedy?,"['approximately one week', 'one week', 'one week', 'one week', 'one week']",1 hour 38 minutes,38 minutes,Immediately,38 minutes
How many tons does the Hereford Screen weigh?,"['8', '8 tonnes', 'nearly 8']",8 tonnes,8 tons,8 tons,8 tons
What kind of cell identifies pathogens when the antibodies on its surface complex with a specific foreign antigen?,"['B cell', 'B', 'A B cell']",T cell,B cells,T cells,B cells
How large are Cytoplasmic ribosomes?,"['25 nm', '25 nm', '25 nm']",25 to 30 nm,Between 25 and 30 nm,25 to 30 nm,Between 25 and 30 nm
Who are likely participants in creating an overall plan for the financial management of the building construction project?,"['Mortgage bankers, accountants, and cost engineers', 'Mortgage bankers, accountants, and cost engineers', 'Mortgage bankers, accountants, and cost engineers']","financial planning consultants, project managers, contractors, and lenders","Contractors, project managers, clients, suppliers, and financial experts","contractors, project managers, lenders, and other stakeholders","Contractors, project managers, clients, suppliers, and financial experts"
Who was this season's NFL MVP?,"['Cam Newton', 'Cam Newton', 'Cam Newton']",Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes
What type of discipline do critics want to see?,"['a more assertive and confrontational style', 'strict discipline', 'more assertive and confrontational']",Knowledge about making a work of art,Art criticism,Aesthetics or the theory of beauty,Interpretive discipline
How many teachers are usually involved when co-teaching?,"['two or more', 'two or more', 'two or more']",two,Two,Two,Two
On which date was Genghis Khan's palace rediscovered by archeaologists?,"['October 6, 2004', 'October 6, 2004', 'October 6, 2004']",13th century,13th century,13th century,13th century
What Newcastle radio station is based at the Great North Children's Hospital?,"['Radio Lollipop', 'Radio Lollipop', 'Radio Lollipop']",Radio 2,Radio 2,Radio Lollipop,Radio 2
European imperialism was focused on what?,"['economic growth', 'economic growth', 'economic growth', 'economic growth', 'economic growth']",economic growth and political control,Economic growth and collecting resources from colonies,economic growth and political control,Economic growth and collecting resources from colonies
What percentage of Australia's dairy cattle are found in Victoria?,"['60%', '60%', '60%']",61 percent,62%,61 percent,62%
Survival needs such as income for food and shelter motivates what type of entrepreneurship? ,"['Necessity-based', 'Necessity-based entrepreneurship', 'Necessity-based']",Necessity entrepreneurship,Subsistence entrepreneurship,Necessity entrepreneurship,Subsistence entrepreneurship
What type of festival is The Northern Rock Cyclone?,"['a cycling festival', 'a cycling festival', 'cycling festival,']",Cycling festival,Cycling festival,Cycling festival,Festival of cycling
What coalition rose up to oppose Louis XIV's France?,"['League of Augsburg', 'League of Augsburg', 'League of Augsburg']",The Grand Alliance,"Britain, the United Provinces of the Netherlands, and the Austrian Habsburgs","England, Sweden, and the Dutch Republic","Britain, the United Provinces of the Netherlands, and the Austrian Habsburgs"
In what year did the film also mention the number of regenerations?,"['1996', '1996', '1996']",1976,1976,1976,1976
What kind of memory was Tesla thought to have?,"['photographic memory', 'photographic', 'photographic']",Photographic memory,Photographic memory,Photographic memory,Photographic memory
What band headlined half-time during Super Bowl 50?,"['Coldplay', 'Coldplay', 'Coldplay']",Coldplay,Coldplay,Coldplay,Coldplay
How many homes had BSkyB's direct-to-home satellite service available to them in 2010?,"['10 million', '10 million', '10 million']",10 million,10 million,10 million,10 million
What applies to equally to constant velocity motion as it does to rest.,"['Inertia', 'Inertia', 'Inertia', 'Inertia', 'Inertia']",law of inertia,Inertia,Newton's first law,Inertia
How much can Ctenophores eat in one day?,"['ten times their own weight', 'ten times their own weight', 'ten times their own weight']",up to 10 times its weight per day,10 times their weight,up to 10 times its weight per day,Up to 10 times their weight
Which two leading roles did Audra McDonald perform when she was in high school?,"['Evita and The Wiz', 'Evita and The Wiz', 'Evita and The Wiz']",Carousel and Master Class,Several musicals,Carousel and Master Class,Several musicals
When was the Britain Can Make It exhibition held?,"['between September and November 1946', 'between September and November 1946,', 'between September and November 1946']",September to December 1946,Autumn of 1946,Autumn of 1946,Autumn of 1946
Why has the corruption not be in the public view?,"['Because the operations of the armed forces have been traditionally cloaked by the ubiquitous blanket of “state security”', 'state security', 'state security']",It measures corruption in the public sector.,Failure to meet public expectations,Not accounted for in metrics,Metrics like the Corruption Perceptions Index do not show the US as terribly corrupt because CPI doesn't account for public funds diverted by corruption.
In lands attributed to what tribe are found remains of large settlements?,"['Xingu tribe', 'Xingu', 'Xingu']",Mississippian culture,Mississippian culture,Mississippian culture,Mississippian culture
How many Victorians are non-religious?,"['20%', '20%', '20%']",38.9%,39.1%,38.9%,39.1%
What did the increase in skilled workers lead to?,"['a decrease in the price of skilled labor', 'decrease in the price of skilled labor', 'decrease in the price of skilled labor']",An increase in wages,Rising wages,Rising demand and increased wages,Economic productivity
When was the last episode of the original series?,"['6 December 1989', '6 December 1989', '6 December 1989']","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969"
"In a progressive tax, what increases as the taxable base amount increases?","['the tax rate', 'tax rate', 'tax rate']",tax rate and amount paid,The tax rate,Tax rate and amount paid,Tax rate
What is a recent civil disobedience done in a group form?,"['refuse to sign bail', 'collectively refuse to sign bail until certain demands are met', 'some activists who commit civil disobedience as a group collectively refuse to sign bail until certain demands are met', 'jail solidarity']",Blocking main streets in Baghdad,Standing Rock movement,Blocking main streets,Standing Rock movement
What experiences acceleration when external force is applied to a system?,"['center of mass', 'center of mass', 'the center of mass', 'the center of mass', 'the center of mass']",Velocity,Object,Velocity,Object
"New cameras were introduced for the game, what degree of view do they provide viewers?","['360-degree', '360', '360']",45-degree angle,45-degree angle view,45-degree angle,45-degree angle view
What is usual form of oxygen bound compounds?,"['oxides', 'oxides', 'oxides', 'oxides', 'oxides']",oxyhemoglobin,oxyhemoglobin,oxyhemoglobin,oxyhemoglobin
What actually causes rigidity in matter?,"['the Pauli exclusion principle', 'the Pauli exclusion principle', 'Pauli exclusion principle', 'Pauli exclusion principle']",Tightly packed molecules,Tightly packed molecules,Tightly packed particles and strong attraction,Attraction between particles
What titles are the President given?,"['the head of state and head of government', 'head of state and head of government', 'head of state and head of government']","""Mr. President"" and ""Madam President""","""Mr. President"" and ""Madam President""","head of state, head of government, Commander-in-Chief","""Mr. President"" and ""Madam President"""
Why were Johann Esch and Heinrich Voes executed by the Catholic Church?,"['for Lutheran views', 'Lutheran views', 'Lutheran views,']",adherence to Reformation doctrine,Adhering to Martin Luther's teachings,adherence to Reformation doctrine,Adhering to Martin Luther's teachings
What did Gano hit on his 44-yard field goal attempt?,"['the uprights', 'the uprights', 'uprights']",Upright,The upright,Upright,The upright
What did Luther think that faith could not be understood by?,"['reason', 'reason', 'human reason']",Good works,Works,Good works,Works
When did the Channel 4 documentary Undercover Mosque air?,"['2007', '2007', '2007']","January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007"
Which Super Bowl did Roger Goodell speak about?,"['the 50th Super Bowl', 'the 50th', '50th']",Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI
In what year did ABC stylize it's logo as abc?,"['1957', '1957', '1957']",1962,1962,1962,1962
Who was responsible for the glass balustrade on the staircase and mezzanine in the main gallery?,"['Danny Lane', 'Danny Lane,', 'Danny Lane']",Danny Lane,Danny Lane,Danny Lane,Danny Lane
The Brotherhood's members are against consuming what beverage?,"['alcohol', 'alcohol', 'alcohol']",Alcoholic beverages,Alcohol,Alcoholic beverages,Alcohol
What pope as a native of Poland?,"['John Paul II', 'John Paul II', 'John Paul II']",John Paul II,John Paul II,John Paul II,John Paul II
When large groups of people all boycott a system or don't pay taxes it can be considered?,"['coercive', 'civil disobedience', 'coercive', 'coercive', 'civil disobedience']",tax resistance,Tax resistance,Tax resistance,Civil disobedience
Why is the collection dominated by fashionable clothes made for special occasions?,"['Because everyday clothing from previous eras has not generally survived', 'Because everyday clothing from previous eras has not generally survived', 'everyday clothing from previous eras has not generally survived', 'everyday clothing from previous eras has not generally survived']","Influenced by social, practical, and cultural factors","Influenced by social, practical, and cultural factors",Individual choice and freedom,Connected by a specific idea or style
What right do private schools have that public schools don't?,"['to select their students', 'select their students', 'select their students']",Limit speech,"Set their own curriculum, admission criteria, and teaching methods",Limit speech and free exercise of religion,"Set their own curriculum, admission criteria, and teaching methods"
How many major bus stations are in the city of Newcastle?,"['two', 'two', 'two']",Four,Four,Four,Four
What part of the Earth is composed of mostly of silicates of iron and magnesium?,"[""Earth's mantle"", ""The Earth's mantle"", 'mantle', ""The Earth's mantle"", 'mantle']",Lower mantle,Mantle,Lower mantle,Mantle
How did Natives in Logstown take Celeron's information?,"['informed Céloron that they owned the Ohio Country and that they would trade with the British regardless of the French', 'informed Céloron that they owned the Ohio Country and that they would trade with the British', 'they owned the Ohio Country', 'they owned the Ohio Country and that they would trade with the British regardless of the French']",Evicted them,informed Céloron that they owned the Ohio Country and that they would trade,Influenced by the French,informed Céloron that they owned the Ohio Country and that they would trade
What rift system developed in the Alpine orogeny?,"['N–S', 'N–S', 'N–S rift system']",European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System
What day of the week was Media Day held on for Super Bowl 50?,"['Monday', 'Monday', 'Monday']",Monday,Monday,Monday,Monday
What entity did Tesla believe would not be able to solve the problems of the time?,"['League of Nations', 'the League of Nations', 'League of Nations']",Destroying,Destroying,destroying,Destroying
"What is the theory that this King's name is the origin of ""Huguenot"" called?","['The ""Hugues hypothesis""', '""Hugues hypothesis""', 'Hugues hypothesis']",Hugues hypothesis,Hugues hypothesis,Hugues hypothesis,Hugues hypothesis
How many species of trees can be found in the Amazon rainforest?,"['16,000', '16,000', '16,000']","≈12,500","Over 2,500","≈12,500","Over 2,500"
What is the southern region where protestants are concentrated?,"['Cévennes', 'Cévennes', 'Cévennes mountain region']",The Bible Belt,Bible Belt,The Bible Belt,Bible Belt
When did the attack occur in which the Normans impressed Prince Guaimar III occur?,"['999', 'In 999', '999']",While they were staying there,While they were staying there,While they were staying there,While they were staying there
Which theory states that Earth's features remained unchanged after forming in one single catastrophic event?,"['catastrophism', 'catastrophism', 'catastrophism']",Catastrophism,Catastrophism,Catastrophism,Catastrophism
What can result in more equal distribution of income?,"['steeper tax', 'social spending', 'steeper tax progressivity']",Progressive tax system,"Making taxes more progressive, investing in welfare systems, investing in education and healthcare","progressive taxation, investing in welfare systems, investing in education and healthcare","Making taxes more progressive, investing in welfare systems, investing in education and healthcare"
The Center in Paris is located near what river?,"['Seine', 'Seine', 'the Seine']",River Seine,River Seine,River Seine,River Seine
Whose theory was the theory of continental drift?,"['Alfred Wegener', 'Alfred Wegener', 'Alfred Wegener', 'Alfred Wegener']",Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener
What could inverted repeats help do?,"['stabilize the rest of the chloroplast genome', 'stabilize the rest of the chloroplast', 'help stabilize the rest of the chloroplast genome']",Define boundaries and indicate self-complementary regions,Hinder or confuse DNA replication,Self-complementary base pairing,Hinder or confuse DNA replication
What are incompetent government's commitment to social justice limited to?,"['rhetoric', 'rhetoric', 'rhetoric']",Generalized subsidies,Inefficient public administration,Economic justice,Limited
What is the grace that we receive by faith and trust in God?,"['Justifying Grace or Accepting Grace', 'Justifying Grace or Accepting Grace', 'Justifying Grace']",God's grace alone,Salvation,Undeserved favor.,Salvation
In what year was the ordination order of transitional deacon abolished?,"['1996', '1996', '1996']",1996,1996,1996,1996
When was the outbreak of World War I?,"['August 1914', 'August 1914', 'August 1914']","July 28, 1914","July 28, 1914","July 28, 1914",1914
"Which Panthers player got a penalty, which gave the Broncos a new set of downs?","['Josh Norman', 'Josh Norman', 'Norman']",Josh Norman,Josh Norman,Josh Norman,Josh Norman
What type of system did Tesla suggest to Adams?,"['two-phased system', 'a two-phased system', 'two-phased system']",two-system,two-phased system,two-system,two-phased system
"Who taped video intros for Doctor Who shows in Canada, that included a trivia question?","['Christopher Eccleston', 'Christopher Eccleston', 'Christopher Eccleston']",Rachel Talalay,Peter Capaldi,David Attenborough,Peter Capaldi
What major event U.S. occurred that made the BBC delay the broadcast?,"['the assassination of US President John F. Kennedy', 'assassination of US President John F. Kennedy', 'the assassination of US President John F. Kennedy']","September 11, 2001 terrorist attacks",September 11 attacks,9/11 attacks,9/11 attacks
What was the name of Temüjin's wife Börte's first son?,"['Jochi', 'Jochi', 'Jochi']",Jochi,Jochi,Jochi,Jochi
What resolution were the cameras increased to for the game?,"['5K resolution', '5K', '5K']",1920px by 1080px,800x600,1080p,1280x720
Who took control of Qara Khitai after fleeing Temüjin's Mongol Empire?,"['Kuchlug', 'Kuchlug', 'Kuchlug']",Kuchlug,Kuchlug,Kuchlug,Kuchlug
What is an example of an NP-intermediate problem not known to exist in P or NP-complete? ,"['graph isomorphism problem', 'the discrete logarithm problem', 'graph isomorphism problem, the discrete logarithm problem and the integer factorization problem']","Graph isomorphism, discrete logarithm, and integer factorization.","The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem",Graph isomorphism problem,"The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem"
In what year was the Great Internet Mersenne Prime Search project conducted?,"['In 2009', '2009', '2009', '2009', '2009']",January 1996,1996,January 1996,1996
Who was sacked as the first half clock expired?,"['Newton', 'Newton', 'Newton']",Kyle McCord,McCord,Kyle McCord,McCord
Why did oil start getting priced in terms of gold?,"[""oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased."", ""Because oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased""]",falling value of the dollar,falling value of the dollar,falling value of the dollar,Falling value of the dollar
What was the final score of the game between the Panthers and the Seahawks?,"['31–24', '31–24', '31–24']",37-27,37-27,37-27,37-27
WHat were features of Apple Talk ,"['that allowed local area networks to be established ad hoc without the requirement for a centralized router or server', 'allowed local area networks to be established ad hoc without the requirement for a centralized router or server', 'allowed local area networks to be established ad hoc without the requirement for a centralized router or server']",No setup needed,No prior setup needed,No setup needed,No prior setup needed
What danger did the IPCC understate?,"['projected rises in sea levels', 'rises in sea levels', 'projected rises in sea levels']",Climate change,Global CO2 emission rates,Climate change,Global CO2 emission rates
Who is the current Governor of Victoria?,"['Linda Dessau', 'Linda Dessau', 'Linda Dessau']",Margaret Elaine Gardner,Margaret Gardner,Margaret Elaine Gardner,Margaret Gardner
How quick was the effect of Luther's preaching?,"['immediate', 'immediate', 'immediate']",Within a year,two weeks,Quick,two weeks
How many interceptions did Aqib Talib have for the regular season?,"['three.', 'three', 'three']",35,35,35,35
What did John Dobson describe Newcastle as?,"[""England's best-looking city"", ""England's best-looking city"", ""England's best-looking city""]",Neoclassical,an American astronomer,Neoclassical style,an American astronomer
Tumors that are able to evade the body's immune response can become what?,"['cancers', 'cancers', 'cancers']",Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer
Which sitcom produced a spinoff for ABC after ending its run in 1984?,"[""Three's Company"", ""Three's Company"", ""Three's Company""]",Three's Company,Three's Company,Three's Company,Three's Company
"Normally silver, what color was used for the number 50?","['gold', 'gold', 'gold']",Gold,Gold,Gold,Gold
When did Kibaki and Odinga sing an agreement on the formation of government?,"['28 February 2008', '28 February 2008', '28 February 2008']",2008,February 28,2008,"February 28, 2008"
What radio station did the Doctor Who theme reach the charts on in 2011?,"[""Classic FM's Hall of Fame"", 'Classic FM', ""Classic FM's Hall of Fame""]",UK Singles Chart,Classic FM,BBC Top 75,Classic FM
How many quadrangles does the Main Quadrangles have?,"['six', 'six quadrangles', 'six', 'six']",One,Seven,One,Seven
How much of the population in the Middle East died of the plague?,"['about a third.', 'about a third', 'about a third']",Approximately 33%,Approximately 33%,Approximately 33%,Approximately 33%
What did Charles Parsons invent?,"['the steam turbine', 'the steam turbine', 'the steam turbine']",Multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine
In what year was the Alan Turing's definitional model of a computing device received?,"['1936', '1936', '1936']",1936,1936,1936,1936
How many research institutes does the university run on campus?,"['12', '12', '12']",Over 60,Over 60,Over 60,Over 70
When did Henry issue the Edict of Nantes?,"['1598', '1598', '1598']","April 13, 1598",April 1598,"April 13, 1598",April 1598
What was the age difference between Newton and Manning in Super Bowl 50?,"['13 years and 48 days', '13 years and 48 days', '13 years and 48 days']",13 years,13 years and 48 days,13 years,13 years and 48 days
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"['The Broncos', 'Denver', 'Denver']",Denver,Denver Broncos,Denver,Denver Broncos
What was the Henry Cole Wing previously called?,"['School for Naval Architects', 'the science schools', 'School for Naval Architects']",Huxley Building,Huxley Building,Henry Cole Building,Huxley Building
Which company has been able to air multiple ads at a steep discount?,"['Anheuser-Busch InBev', 'Anheuser-Busch InBev', 'Anheuser-Busch InBev']",Twitter,AB InBev,Twitter,AB InBev
What did Gasquet think the plague was?,"['some form of the ordinary Eastern or bubonic plague', 'bubonic plague', 'ordinary Eastern or bubonic plague']",some form of the ordinary Eastern or bubonic plague,Anthrax,some form of the ordinary Eastern or bubonic plague,some form of the ordinary Eastern or bubonic plague
Who created the code that governed military and civilian conduct in the Mongol Empire?,"['Genghis Khan', 'Genghis Khan', 'Genghis Khan']",Genghis Khan,Genghis Khan,Genghis Khan,Genghis Khan
Why was the Rhine regulated? ,"['constant flooding', 'constant flooding and strong sedimentation', 'to counteract the constant flooding and strong sedimentation in the western Rhine Delta', 'to counteract the constant flooding and strong sedimentation']",prevent flood disasters,To prevent flood disasters and meet human demands.,prevent flood disasters,To prevent flood disasters and meet human demands.
What was the population of the Dutch Republic before this emigration?,"['ca. 2 million', '2 million', '2 million']",1.5 million,1.5 million,1.5 million,1.5 million
How many customaries does Norman customary law have?,"['two', 'two', 'two']",Two customaries,Two,Two customaries,Two
