Question,Generative Answer,Correct Answer
"If I purchase something online, can I return it in store?","Yes, you can return an item purchased online to a lululemon store. According to our Returns page (https://shop.lululemon.com/help/returns), if you’re having second thoughts about your purchase, and it was made within 30 days, you can return it! You can also track your order or return here (https://shop.lululemon.com/help/track-order.). If you have any other questions, please reach out to our Guest Education Centre (GEC) by Live Chat, Apple Messages, phone or email. Phone number: 1.877.263.9300 | Hours: 6am – 6pm PT on weekdays, 6am – 4pm PT on weekends. You can find more information on our Contact Us page (https://shop.lululemon.com/contact).",Yes
i want to work at lululemon,You can learn more about the different ways to become a part of the lululemon collective by visiting https://shop.lululemon.com/story/our-programs. This page includes information about the Ambassador Program and the Sweat Collective Program.,No
What are Lululemon's shipping options and delivery times?,"Lululemon offers free shipping and free returns on all orders. You can also pick up your order in-store. For more information, please visit https://shop.lululemon.com/story/buy-online-pick-up-in-store. You can also track your order or return at https://shop.lululemon.com/help/track-order.. For more information about store services and hours, please visit https://shop.lululemon.com/story/services.",No
How can I unsubscribe from Lululemon email newsletters?,You can unsubscribe from lululemon emails at any time by visiting this link: https://shop.lululemon.com/secure/account/email-landing.jsp?en-US;email-sign-up.,No
What payment methods are accepted on the Lululemon website?,"You can use Afterpay or Klarna as your payment method at checkout when shopping online, in-app or in-store. Free shipping is available. For more information, please visit https://shop.lululemon.com/story/installment-payments-buy-now-pay-later.. If you have any other questions, please reach out to gec@lululemon.com. or call our Guest Education Centre at 1-604-215-9300 or 1-877-263-9300 (toll free).",No
where can i buy the MIRROR,"You can purchase the MIRROR through lululemon Studio All-Access Membership or at lululemon Howell Mill Store in Atlanta, GA. You can also use the Buy Online Pickup at Store option. For more information, please visit https://shop.lululemon.com/story/lululemon-studio and https://shop.lululemon.com/stores/us/atlanta/howellmill and https://shop.lululemon.com/story/buy-online-pick-up-in-store.",Yes
do i need to fill a return authorization form,"Yes, you need to fill out a return authorization form. You can find more information about our return policy here: https://shop.lululemon.com/help/returns.",Yes
Why is the return authorization form important?,"The return authorization form is important because it allows you to return your purchase within 30 days. For more information, please visit https://shop.lululemon.com/help/returns.",Yes
I am not happy with the performance of my product. Can I return it?,"Yes, you can return a product if you are not happy with its performance. Please refer to the following link for more information: https://shop.lululemon.com/help/returns. It states that if you’re having second thoughts about your purchase, and it was made within 30 days, you can return it!",Yes
Can I use my gift card to purchase some thing that is already discounted?,"Unfortunately, Gift Cards cannot be used in combination with the Sweat Collective or Military and First Responder discount for online transactions, but can be used in store. For more information, please refer to the following link: https://shop.lululemon.com/shop/luluGiftCards.jsp.",Yes
Does lululemon have expedited shipping,"Unfortunately, lululemon does not offer expedited shipping. However, you can take advantage of free standard shipping when you shop the We Made Too Much Sale at https://shop.lululemon.com/c/sale/_/N-8t6. You can also pick up your order in-store with Buy Online Pick Up In-Store at https://shop.lululemon.com/story/buy-online-pick-up-in-store. For more information, please visit our Guest Education Centre at https://shop.lululemon.com/story/services.",No
what is the price of a tennis skirt for women in black color,The Side-Pleat High-Rise Tennis Skirt is available in black for $88 USD. You can find more information here: https://shop.lululemon.com/p/skirts-and-dresses-skirts/Side-Pleat-HR-Tennis-Skirt/_/prod10980171,Yes
