Question,Answer,Question Length
Where do green turtles live?,['amidst tall sea grasses'],6
What is also a fruit?,['pipa'],6
What was Maysum's religion?,['Christian'],6
Which Antarctic explorer attended Eton?,['Lawrence Oates'],6
How can associationism be defined?,['the notion that the mind associates or dissociates ideas through repeated routines'],6
What is the Manueline style?,"['a sumptuous, composite Portuguese style of architectural ornamentation of the first decades of the 16th century']",6
What cyclone badly damaged Funafuti?,['Cyclone Bebe'],6
Afonso heard Jesus promising what?,"[""victories for the coming battles, as well as God's wish to act through Afonso""]",6
Which University offers conventional degrees? ,['Open University in the United Kingdom'],6
What else does Savin-Williams suggest?,['researchers should forsake the general notion of sexual orientation altogether'],6
Which contestant won the season?,['Jordin Sparks'],6
When was ISO/IEC 646 published?,['1972'],6
Which system uses higher voltages?,['overhead wires'],6
How tall was Queen Victoria?,['no more than five feet tall'],6
Which countries owned Mexican debt?,"['Spain, England, and France']",6
When does Fastelavn occur?,['Shrove Tuesday'],5
What are inside male testes?,['sperm tubes'],6
What group did Tito found?,['Cominform'],6
What did Scientific Revolution form?,['several modern scientific fields.'],6
When did Cassander die?,['298 BCE'],5
When did De Braose die?,['1211'],6
What member ratified in 1970?,['the United Kingdom'],6
Who reclaimed the Seoul?,['South Korean forces.'],5
What passenger airport serves Melbourne?,['Melbourne Airport (also called Tullamarine Airport)'],6
What does FDNY stand for?,['New York City Fire Department'],6
Where are Istrijani located?,['westernmost Croatia'],5
What was Gaddafi's nationality?,['Libyan'],6
Where did Shuhda attend school?,['Baghdad'],6
What do anaerobic bacteria consume?,['butyric acid or propionic acid'],6
When did Prince Albert die?,['1861'],6
How are allopatric populations separated? ,['geographically'],6
What is Irish Free State?,['eventually evolved into the modern day Republic of Ireland'],6
When did Tuvalu acquire independence?,['October 1978'],6
How large is the Alvorada?,"['7,000 m2']",6
Who did the Tories oppose?,['Whigs'],6
When did Antipater die?,['319 BC'],5
What did China export?,"['tea, silk and manufactures']",5
What energy center is downtown?,['Duke'],6
When did Sybaris offer patents?,['500 BCE'],6
What philosophy influenced the RCC?,['Arab nationalism'],6
Who protected airfields in WWII?,['RAF Regiment'],6
What does abv stand for?,['alcohol by volume'],6
Where is Oro Valley?,['in the western foothills of the Santa Catalina Mountains'],5
What did renaissance writers question?,['the medieval and classical understanding of knowledge acquisition'],6
What company produces American idol?,['19 Entertainment'],6
What level where they? ,['playing at Level 8 of English football'],5
What sciences use bacteria?,"['molecular biology, genetics and biochemistry']",5
What coup happened in 1884?,['Gapsin Coup'],6
Who were MBE'S?,['The members of The Beatles'],5
Where were Swallows seen flying?,['between the islands of Minorca and Majorca'],6
Who raised Victoria?,['mother Princess Victoria of Saxe-Coburg-Saalfeld'],4
"What does ""Meija era""",['Enlightened Rule'],6
What act defines the CAF?,['the National Defence Act'],6
Where did the attack occur?,"[""in front of Lviv's Druzhba Stadium""]",6
Who denounced ISIS?,"[""Al Qaeda's core organization""]",4
What region was seized ,['The Veluwe region was seized by Guelders'],4
Who were the Cathians?,['the people of Multan'],5
When does incubation begin?,['after the last egg has been laid'],5
What is the third element?,['social health'],6
What benefits does this serve?,"['allows an elevator to be installed where a traditional elevator may not fit, and simplifies installation']",6
What do some dictionaries have?,['sub-index'],6
When was West Farms created?,['1846'],6
How is data accessed?,"['by a ""database management system"" (DBMS)']",5
What is Kullu famous for?,['shawls with striking patterns and vibrant colours'],6
What is guano?,['bird excrement'],4
What condition did Droney have?,['amyotrophic lateral sclerosis'],6
When were sensors initially developed?,['during the First World War'],6
What does Ban Bossy encourage?,['leadership in girls'],6
What is the highest tier?,['Supreme Court'],6
What is IMAP?,['Internet Message Access Protocol'],4
How is hunting regulated?,['by state law'],5
is the Fa cup sponsered? ,"['Since the start of the 1994–95 season, the FA Cup has been sponsored.']",6
What did Renaissance Humanism emphasize?,['role of the individual'],6
What are Moraines?,['piles of rock picked up during the movement of the glacier'],4
What are castros?,['hill forts'],4
How long was the war?,['a decade'],6
Who appoints new elders?,['a traveling overseer'],5
Many researchers prefer what term?,['Canis familiaris.'],6
What ended Somersets cottage industry ,"[""The Industrial Revolution in the Midlands and Northern England spelled the end for most of Somerset's cottage industries""]",5
Where does 27th Street start?,['Second Avenue'],6
What year did Positivism end?,['1880'],6
What ocean surrounds Antarctica?,['Southern Ocean'],5
What transformed Arabic languages?,['movement to translate English and European texts'],5
What does REL stand for?,['recommended exposure limit'],6
When did Columbanus die?,['615'],5
What does Mahayana mean?,['the Great Vehicle'],5
What do ethnic festivals depict?,['cultural heritage or traditions'],6
Who designed Branch House?,['John Russell Pope'],5
How many homes were rebuilt?,"['200,000']",6
Which party was anti-slavery?,['Democratic Party'],5
Did they need parental consent?,"[""this is only allowed as part of specialized occupational training and with the students' and parents' permission""]",6
Whos power was curbed?,['magnates'],5
What is an opera buffa?,['a form of comic opera'],6
What was Mandela's nationality?,['South African'],6
Where does Tio Ellinas race?,['GP3 Series for Marussia Manor Motorsport'],6
What is the noise-based speed?,['the exposure that will lead to a given signal-to-noise ratio on individual pixels'],6
What causes genetic pollution?,['either a numerical and/or fitness advantage of an introduced species'],5
What route parallels the Rhine? ,['A35 autoroute'],6
What mall was constructed ,['the shopping mall Hoog Catharijne'],4
Where are eggs usually laid?,['nest'],6
What was Schleiden's profession?,['microscopist'],6
How are LED filaments used?,['a low cost decorative alternative for traditional light bulbs'],6
Who owns The Daily Northwestern?,['the Students Publishing Company'],6
Theravada escapes what cycle?,['suffering and rebirth'],5
What is the somerset climate like ,['a temperate climate which is generally wetter and milder than the rest of the country'],6
When did the Revolution begin?,['1789'],6
Wha still calls Christians Notzrim?,['modern Israeli Hebrew'],6
WHat does NSTEMI stand for?,['non-ST elevation myocardial infarction'],6
Where was the Inner Court?,['Forbidden City'],6
How is COPD differentiated?,"['by increased airway neutrophils, abnormally increased wall thickness, and increased smooth muscle in the bronchi']",5
When did Wembly stadium open? ,['1922–23'],6
What institution controls BYU?,['Church Educational System'],5
What law constitutes the CAF?,['the National Defence Act'],6
Where did they migrate from?,['Ethiopia.'],6
Who did Victoria marry?,['Prince Albert'],5
Where does water splitting occur?,['in the light reactions in all photosynthetic organisms'],6
"Define ""lectio brevior""",['shorter reading'],5
How many Salvadorans immigrated?,"[""20–30% of El Salvador's population emigrated. About 50%, or up to 500,000 of those who escaped headed to the United States,""]",5
What was censored?,['drinking scenes from old movies'],4
Who was Edward the Confessor?,['a royal saint'],6
Who described Tharapita?,['Henry of Latvia'],4
Who succeeded Nasser?,['Anwar Sadat'],4
What is q-glass?,['an isotropic non-crystalline metallic phase'],4
What is bariis in English?,['rice'],6
Who directed 'Armageddon'?,['Michael Bay'],5
Who were Magisterial reformers?,"['Martin Luther, John Calvin, and Huldrych Zwingli']",5
What is a pharynx?,['throat'],5
STC stands for what?,['Somali Telecommunication Company'],5
What does a DCT do?,['spatial redundancy reduction'],6
How did Gaddafi die?,"['Retreating to Sirte, Gaddafi was captured and killed by NTC militants.']",5
When was the Classical era?,['1750 to 1820'],6
What did the earthquake allow?,['opportunities for researchers to retrofit data in order to model future earthquake predictions'],6
Who ruled Egypt in 1952?,['Gamal Abdul Nasser'],6
Where do the cardinals work?,['a church in the city of Rome or one of the suburbicarian sees'],6
What shape Spirochaetes are?,['tightly coiled'],5
What city adopted the Bells?,['Baddeck'],6
Who won the game?,['West Germany'],5
When are the transfer windows?,['The two transfer windows run from the last day of the season to 31 August and from 31 December to 31 January.'],6
When was Victoria's coronation?,['28 June 1838'],6
What are in the area?,['large shopping areas.'],6
Who released the audio player?,['Nullsoft'],6
What has the grant enabled ,['this foundation helps move public libraries into the digital age.'],5
What vegetation helped populations expand?,['African oil palm'],6
What Egyptian leader impressed Gaddafi?,"['his hero, President Gamal Abdel Nasser']",6
Who founded Motown records?,"['Berry Gordy, Jr.']",5
What does MYS stand for?,['Mean years of schooling'],6
What score was added?,['difficulty score'],5
What is not often aspirated?,['Voiced consonants'],6
Several manufacturers offer what?,['external portable USB hard disk drives'],5
Who passed the Osborne judgment?,['Trade Disputes Act'],6
Why do birds primarily migrate?,['availability of food'],6
What is hyle?,['matter'],4
Where do the Kpelle reside?,['mostly in Bong County and adjacent areas in central Liberia.'],6
When did Bluey die?,['1939'],5
What is Michael Nikoletseas profession?,['Neuroscientist'],6
What bakery did Kerry co-found?,['Kilvert & Forbes Ltd.'],6
What is a variorum?,['The collation of all known variants of a text'],5
What is shariah?,['Islamic law'],4
Where is the L'Americain hotel?,['Tangier.'],6
What Mexican president attended Yale?,['Ernesto Zedillo'],6
Who denounced many nobles?,['Hieronim Nekanda Trepka'],5
What was his second proposition?,['Antichristians converted are to be admitted into the true Church by baptism'],6
Where did Henry travel to?,['Paris'],6
What are the qualifications offered?,"['GCSE, A/S and A2, to Level 3 Diplomas and VRQ qualifications']",6
What do oversea operations require?,['coordination'],6
What happened in 1900?,['the state legislature passed a new constitution'],5
What drug effectively treated Tuberculosis?,['Streptomycin'],6
How deep did Gabr dive?,"['1,066 feet down']",6
What does ACL stand for?,['access control lists'],6
When did Chopin die?,['17 October 1849'],5
Who show the 2011 final? ,['The 2011 final was also shown live on Sky 3D in addition to ESPN'],6
Where is Allen's Landing?,['Buffalo Bayou'],6
When were two missionaries killed?,"['November 1, 1897,']",6
What influences richness of biodiversity?,['the climatic conditions and area of the region'],6
Who manages each FBI branch?,['An executive assistant director'],6
Who were the likely heirs?,"[""Hong Taiji's oldest son Hooge and Hong Taiji' half brother Dorgon""]",6
What is Laurisilva?,['a unique type of subtropical rainforest'],4
How do regulatory regions act?,['by binding to transcription factors'],6
What was Conrads deal with?,['encoding of written text;'],6
What did Utrecht host in 1713 ,"['In 1713, Utrecht hosted one of the first international peace negotiations when the Treaty of Utrecht settled the War of the Spanish Succession']",6
What year was Capuano elected?,['1998'],6
Druze makes up what percent?,['1.5%'],6
What does an optoisolator do?,['allows information to be transferred between circuits not sharing a common ground potential'],6
How are ogives formed?,"['when ice from an icefall is severely broken up, increasing ablation surface area during summer']",5
Where is Heller Theatre?,['Tulsa'],5
The military relies on what?,['high-tech weapons systems'],6
Which Eclogues discusses homosexual love?,['Ecl. 2'],6
Which airport was shut down?,['Chengdu Shuangliu International Airport'],6
Where did Victoria isolate herself?,['in her royal residences'],6
Who runs the Welsh Assembly?,['Carwyn Jones'],6
Which actor portrayed Marco Sciarra?,['Alessandro Cremona'],6
What is the CAP?,['Central Arizona Project Aqueduct'],5
What do degrees Scheiner indicate?,['the speed of a plate'],6
Who was Mellitus?,['a Bishop of London'],4
When were anti-miscegenation laws passed?,"['Anti-miscegenation laws were passed in most states during the 18th, 19th and early 20th centuries']",6
What religion was Kino?,['Jesuit'],5
What does wood consist of?,['cells'],6
What was reported in Chengdu?,['cracks on walls'],6
What vowel stays distinct?,['/i/'],5
What is Geimsa stain?,['a dye'],5
Who led the Hashimiyya movement?,['Abbasid family'],6
Who was forced to resign?,['Prime Minister Golda Meir'],6
How do animals use plants?,['in the construction of cells and tissues'],6
How are digimon born?,['Digimon hatch from types of eggs which are called Digi-Eggs'],5
Why is Brazil an exception?,['because the 1988 Constitution included the municipalities as autonomous political entities making the federation tripartite'],6
What was chapter VII entitled?,['Miscellaneous objections'],6
What does autarky mean?,['self-sufficiency'],5
How does Madonna influence her?,['to take control of her own career'],6
What bodies govern Greater London?,['the Mayor of London and the London Assembly'],6
What do lithotrophs use ?,['inorganic electron donors'],5
Who has invaded Punjab?,"['Greeks, Kushans, Scythians, Turks, and Afghans']",5
What are mushairas?,['poetic symposia'],4
Who was appointed interim president?,['Raimundo Pereira'],6
What does 24p mean?,['24 progressive scan frames per second'],5
Who was Charles Evans Hughes?,['a Chief Justice of the United States'],6
What loyalists did Nasser target?,['figures loyal to Amer'],6
What was the earthquake named?,['the Great Sichuan earthquake'],6
Who was Victorias mothers comptroller?,['Sir John Conroy'],6
For whom was Houston named?,['Sam Houston'],6
Where did the Gorals reside?,['southern Poland and northern Slovakia'],6
Who won at Balakot?,['the professional Sikh Army'],5
Who discovered Triton? ,['William Lassell'],4
Who killed Brazelton?,"[""Charles A. Shibell and his citizen's posse""]",4
What does EYS stand for?,['Expected years of schooling'],6
What is Obsidian used for?,['jewellery and ornamental objects'],6
Where are Janjevci located?,['Kosovo'],5
Where did Enlightenment gain momentum?,['Europe and America'],6
Who wrote Parerga and Paralipomena?,['Schopenhauer'],6
When did these communities begin?,['some dating from prehistoric communities.'],6
What is von Neumann algebra?,['algebra of bounded operators on a Hilbert space that is closed in the weak operator topology and contains the identity operator'],6
Who developed Steam?,['Gabe Newell'],4
Where are most transistors found?,['embedded in integrated circuits'],6
What does Theotokos mean?,['Mother of God'],5
