Question,Answer,Question Length
Where was Nanak born?,['Nankana Sahib'],5
What is Gaejang-guk?,['a spicy stew'],4
What does Bushido mean?,"['the ""way of the warrior""']",5
Who named the Anabaptists?,['their persecutors'],5
Who married Stratonice?,['Ariarathes III'],4
Who discovered bacteria?,['Dutch microscopist Antonie van Leeuwenhoek'],4
When did Herter die?,['1917'],5
Who developed the HDI?,['Mahbub ul Haq'],5
Who built Westminster Hall?,['William II'],5
What are CDPs?,['census-designated places'],4
Who was Johann Herder?,['German philosopher'],5
What nationality wears kilts?,['Scottish'],5
When is Carnival celebrated? ,['before Lent'],5
Who was Mellitus?,['a Bishop of London'],4
What is avidya?,['ignorance'],4
When did Peirce die?,['1914'],5
What collapsed during the tornado ,['The halt to building before construction of flying buttresses in the 15th century now proved to be the undoing of the central section of the cathedral'],5
Who was Moses?,['a great-great grandson of Jacob'],4
What company developed Prontosil?,['IG Farben'],5
Describe the Popular Revolution.,"[""formation of General People's Committees (GPCs), purported to be a system of direct democracy, but retained personal control over major decisions""]",5
How long were canals used ,"['usefulness of the canals was short-lived, though some have now been restored for recreation']",5
When was Boombots released?,['1999'],5
Who sang Medieval plainchant?,['monks'],5
When did Rukn-e-Alam die?,['1320 AD'],5
Where are Janjevci located?,['Kosovo'],5
What are vishapagorgs?,['dragon-carpets'],4
What is retroactive interference?,['when learning new information makes it harder to recall old information'],5
What is SMTP?,['Simple Mail Transfer Protocol'],4
What followed Jesus around?,['crowd of mourners'],5
What is lactase?,['an enzyme that breaks down the disaccharide lactose to its component parts'],4
Who did Kangxi fight?,['Dzungars'],5
What population has extirpated?,['red brocket deer'],5
What is Pandeism?,['why God would create a universe and then abandon it'],4
What are lophophores?,['fan-like feeding structures'],4
What is WINEP?,['The Washington Institute for Near East Policy'],4
What are pneumatic cavities?,['large air-filled cavities'],5
Where was Malacca?,['Malaysia'],4
Why was COBOL created?,['Interest in a standard'],5
Who created Minecraft?,"['Markus ""Notch"" Persson']",4
Are basic antennas expensive?,['relatively inexpensive'],5
What is a SSBI?,['Single Scope Background Investigations'],5
Where was the epicenter?,"['Wenchuan County, Ngawa Tibetan and Qiang Autonomous Prefecture']",5
Who developed EMALS?,['General Atomics'],4
What does Preto mean?,['(black)'],5
Which letters remain distinct?,['/a u i/'],5
What is Kinect?,['motion capture camera'],4
Who won season two?,['Ruben Studdard'],5
Who created American Idol? ,['Simon Fuller'],5
What is chemical digestion?,['enzymes break down food into the small molecules the body can use'],5
What is Chrysomelidae?,['leaf beetles'],4
Where is Summerhaven?,['Near the top of Mt. Lemmon'],4
Who wrote Argonautica?,['Apollonius of Rhodes'],4
Friday is considered what?,['short day'],5
How was Neptune found? ,['mathematical prediction'],5
Who conducts SSBIs?,['Office of Personnel Management'],4
What is the Rodoviária?,['bus station'],5
Name a parasitic ectosymbiont.,['lice'],5
When is ghosting reduced?,['horizontal polarization'],5
What is transpiration?,['the transport of water within plant tissues'],4
What states border Florida ,"['to the west by the Gulf of Mexico, to the north by Alabama and Georgia, to the east by the Atlantic Ocean, and to the south by the Straits of Florida']",4
Who is Rachel Cain?,['co-founder of an influential Trax Records'],5
What treaty was signed?,['Guadalupe Hidalgo'],5
Where are Boduli located?,['Adriatic islands'],5
What does autarky mean?,['self-sufficiency'],5
What is pterylae?,['specific tracts of skin'],4
What does Ganondorf crush?,"[""Midna's helmet""]",5
What league can compete?,['Premier League and Football League'],5
What contributes to endangerment?,['excessive hunting'],5
When did Napoleon graduate?,['September 1785'],5
Who surpassed ASCII?,['UTF-8'],4
Where is CESLA located?,['Neuilly-sur-Seine'],5
What is NESA?,['an educational institution of the United States Department of Defense'],4
When did Tito die?,['1980'],5
What is paraplegia?,['loss of sensation and voluntary motor control'],4
And its southernmost?,['Baixa Limia-Serra do Xurés'],4
What is KFOR?,['a NATO-led international force in Kosovo'],4
Who was the mountain-god?,['Tmolus'],5
Who died in 1870?,['Melville'],5
Who designed MP3?,['Moving Picture Experts Group'],4
What are fermatas?,['held notes'],4
What were stronghold called?,['grόd'],5
What diminished after 1980?,['anti-Catholic sentiment'],5
What are private affiliates?,['stations which are owned by commercial broadcasters but predominantly incorporate CBC programming within their schedules'],5
Where are opto-isolators found?,['medical equipment'],5
Who wrote the Brihat-Samhita?,['Varahamihira'],5
What is a genotype?,['particular set of genes'],5
Who directed 'Batman'?,['Tim Burton'],5
Who won the election?,['João Bernardo Vieira'],5
Who released Mosaic?,['Marc Andreessen'],4
Who discovered X-Rays?,['Wilhelm Conrad Röntgen'],4
When was MASHAV established?,['1958'],5
When was Epistolae published?,['1470'],5
What particularly interested Broca?,['the pathology of speech'],5
Where did Seminole Indians raid ,['Seminole Indians based in East Florida began raiding Georgia settlements'],5
Which army withdrew?,['the Russians withdrew'],4
Who created the CTAG?,"['Linards Grantiņš, Raimonds Bitenieks, and Mārtiņš Bariss.']",5
When was Hyderabad founded?,['1591'],5
What religion was Kino?,['Jesuit'],5
What culture annexed Egypt?,['Rome'],5
Why are assistants used?,['help load shotguns'],5
When was MDNA released?,['March 2012'],5
What does Trimountaine mean?,['three mountains'],5
Where are Vlaji located?,['hinterland of Dalmatia'],5
Who discovered nuclear fission?,['Otto Hahn and Fritz Strassmann'],5
Who owns Paramount?,['Viacom'],4
When was the shooting?,['2 March 1882'],5
Which vowel remains distinct?,['/i/'],5
Who founded Ann Arbor?,['John Allen and Elisha Walker Rumsey'],5
Who saves Midna?,['Zelda'],4
Where is Dushanbe located?,['on the southern slopes above the Kofarnihon valley'],5
Who was Saint Nicholas?,['the Greek Christian Bishop of Myra'],5
What is evapotranspiration?,['net loss of water'],4
What is an ogonek? ,['a dot above'],5
What is digestion?,['the breakdown of large insoluble food molecules into small water-soluble food molecules so that they can be absorbed into the watery blood plasma'],4
 What is Standard A17.1?,['Safety Code for Elevators and Escalators'],5
Who killed the Shakyas?,['Virudhaka'],5
What are Parskahay?,['Armenians who originate from Iran'],4
When was Heine born?,['1797'],5
When did Nasser die?,['28 September 1970'],5
What mostly affects polarization?,['Reflections'],5
What are cadre parties?,['political elites that were concerned with contesting elections and restricted the influence of outsiders'],5
Who founded algebraic topology?,['Henri Poincaré'],5
Who crowned Napoleon Emperor?,['Pope Pius VII'],5
What is hawala?,['money transfer services'],4
What is diarrhea?,['the condition of having at least three loose or liquid bowel movements each day'],4
Who produced American Idol?,['19 Entertainment'],5
What is proactive interference?,['where prior learning disrupts recall of new information'],5
What party was Hillquit?,['Socialist'],5
What is shariah?,['Islamic law'],4
What did many investigate ,['many of them investigated resource recovery or processing technologies for excreta or fecal sludge.'],4
Where is Saaremaa located?,['the Baltic Sea'],5
What happened to airfields?,['Airfields became water-logged'],5
When were nociceptors discovered?,['2003'],5
What are middle powers?,"['those nations which exercise a degree of global influence, but are insufficient to be decisive on international affairs']",5
Who pioneered parsimony?,['William of Ockham'],4
What compliments the challenge ,['This challenge is being complemented by another investment program to develop new technologies for improved pit latrine emptying'],4
"What supports 48,027 characters?",['the official national encoding standard'],5
Who confirmed the dpon-chen?,['Mongol emperor'],5
What is reverse migration?,['where the genetic programming of young birds fails to work properly'],5
Who advanced Greek Science?,['the mathematician Euclid and the polymath Archimedes'],5
What did hatamoto mean?,['bannerman'],5
Where is Glatz,"['Glatz (now Kłodzko, Poland) in Silesia']",3
What groups remain today? ,"['Royal Estudiantina la Napolitaine (founded in 1904) in Antwerp, Brasschaats mandoline orkest in Brasschaat and an orchestra in Mons (Bergen).']",5
k,['ks'],1
Who ruled Kashgaria?,['Yaqub Beg'],4
Who created OpenType?,['Adobe and Microsoft'],4
When was Kingsbridge built?,['1693'],5
What do POTS do?,['convert the digital pulses to/from analog waves'],5
When did Poitou depart?,['1206'],5
STC stands for what?,['Somali Telecommunication Company'],5
When was Elio killed?,['1822'],5
Who was his deputy?,['P. J. Escalante'],5
Who argeed with Dershowitz?,['Irwin Cotler'],5
What does Tajikistan mean?,"['""Land of the Tajiks""']",5
What is an Etsudiantinas? ,['mandolin orchestras'],5
What are oxidizers?,['acceptors of electrons'],4
Which continent contains Tibet?,['Asia'],5
renovations are causing what changes ,"[""large scale renovation and construction works at the railway station, the station's bus stops are changing frequently""]",5
What are areoles?,['pad-like structures'],4
Who was Saint Valentine?,['a Roman Catholic Bishop or priest'],5
What did the Colonist cultivate ,"['the cultivation of sugar cane, indigo and fruits as well the export of lumber']",5
Is Canada bilingual?,['United States never developed bilingualism as Canada did.'],4
When did Gaillard fall?,['March 1204'],5
Who defines informal learning?,['Organisation for Economic Co-operation and Development (OECD)'],5
Who settled near the fort ,"[""Near the fort settlements would grow housing artisans, traders and soldiers' wives and children""]",5
Who starred in 'Savage'/,['Martin Landau'],4
What protected the abbey?,['ties to the state during the Commonwealth'],5
What airport serves Melbourne?,['Melbourne Airport (also called Tullamarine Airport)'],5
When was Boston founded?,['1630'],5
Who sets database access?,['special authorized (by the database owner) personnel'],5
what does vipaka mean?,['result'],5
What is Portuguese pavement?,['two-tone stone mosaic paving'],5
"Define ""lectio brevior""",['shorter reading'],5
What is post-punk?,['heterogeneous type of rock music'],4
Who published Systema Naturae?,['Linnaeus'],5
When was Cilicia founded?,['6 January 1198'],5
Name a Jewish newspaper?,['The Jewish Exponent'],5
Where is Heller Theatre?,['Tulsa'],5
Who wrote Carmen?,"[""Georges Bizet's""]",4
What is La Encantada?,['upscale outdoor shopping mall'],5
Who is Jensen Harris?,['Microsoft developer'],5
When did Cassander die?,['298 BCE'],5
Who was a doctor?,['Charles Eastman'],5
Who married Sacagewea?,['French trapper Toussaint Charbonneau'],4
What is secretory diarrhea?,"['an increase in the active secretion, or there is an inhibition of absorption']",5
Who captured Atlanta?,['William T. Sherman'],4
What is intrastate federalism?,['is to directly represent the governments of component states in federal political institutions'],5
Why do humans hunt?,"['food, recreation, to remove predators']",5
What are Hamshenis?,['ethnic Armenian Muslims'],4
Who supported Beg?,['British'],4
What does Theotokos mean?,['Mother of God'],5
What are parapodia?,['unjointed paired extensions of the body wall'],4
What promotes stereotypes?,['use of racial categories'],4
What causes genetic pollution?,['either a numerical and/or fitness advantage of an introduced species'],5
What was superfluous ,"['As with other counties not ending in ""shire,"" the suffix was superfluous, as there was no need to differentiate between the county and a town']",3
What country initiated conflict?,['the French opened the campaign against the British by an attack on Minorca'],5
Who was Josiah Wedgewood?,['entrepreneurs'],5
What is not required?,['strict regularity'],5
Who launched  Sputnik 1?,['the Soviet Union.'],5
When was JFK shot?,['1963'],5
Why is glass annealed?,['to prevent breakage'],5
What did NADGE become?,['the NATO Integrated Air Defence System'],5
Who can veto Parliament?,['The Guardian Council'],5
When was Peirce born?,['1839'],5
Where was John Rolfe?,['Colonial America'],5
How is Selenizza shipped?,['bags'],5
What doe nidana mean?,"['cause, foundation, source or origin']",5
When was Brasilia inaugurated?,"['April 21, 1960']",5
What does Polyphonic mean? ,['multi-voiced'],5
What ultimately determined nobility?,['hereditary juridical status'],5
What are immunoassays?,['Complex serological techniques'],4
What is anting?,['bird encourages ants to run through their plumage'],4
Why did Morse retire?,['to become Under-Secretary-General for Political and General Assembly Affairs at the United Nations'],5
What does mulatto mean?,['visible European ancestry in addition to African'],5
Who captured Richard?,['Duke of Austria'],4
Where was Calvin criticized?,['Geneva'],5
What language is parl?,['Balearic'],5
When did Bluey die?,['1939'],5
What is 'haecceity'?,"['unique individuality or ""thisness""']",5
What happened to Idris?,['Idris was sentenced to execution in absentia.'],5
What are free ISPs?,['Internet service providers that provide service free of charge'],5
What is phenomenalism?,"['physical objects, properties, events (whatever is physical) are reducible to mental objects, properties, events']",4
What does mauron mean?,['black'],5
Who vanquished Bagratid Armenia?,['the Byzantine Empire'],5
Who establishes leadership PACs?,['Minority leaders'],5
What is charms?,['A vertical toolbar'],4
German name for knight?,['Ritter'],5
How are ogives formed?,"['when ice from an icefall is severely broken up, increasing ablation surface area during summer']",5
What did Montgelas study?,['law'],5
Who discovered Neptune? ,['Alexis Bouvard'],4
Who does Midna teleport?,['Link and Zelda'],5
Who captured Demetrius?,['Seleucus'],4
What is the STA?,['Somali Telecommunication Association'],5
When did Salvadorans flee ,['Salvadorans fled their country and came to the United States. Between 1980 and 1990'],4
What releases estrogen?,['the ovaries'],4
What varies greatly?,['The use of traditional Chinese characters versus simplified Chinese characters'],4
When was Lancashire established?,['1182'],5
Who was Dionysus?,['a mystical theologian'],4
What is magnetoception?,['the ability to detect magnetic fields'],4
Where is tritium produced?,['nuclear reactors'],5
What does WHO recommend?,['a child with diarrhea continue to be fed'],5
Who succeeded Sam Nujoma?,['Hifikepunye Pohamba'],5
What is 238U?,['Depleted uranium'],4
Which body regulated communications?,['Ministère des Postes and Télécommunications et des Nouvelles Technologies'],5
What family was Charles ,"['Charles ""Lucky"" Luciano and former Chicago South Side Gang boss Johnny ""the Fox"" Torrio']",4
Who found mass graves?,['Zianon Pazniak'],5
What book discusses bardo?,['Samyutta Nikaya'],5
What do paleopathologists study?,['occurrences of injuries and illness in extinct life forms'],5
Why was he investigated?,['crime of inciting subversion'],5
What does Alfranj mean?,['European Christian Crusaders'],5
What is Doordarshan?,['state-owned television broadcaster'],4
Who wrote Robinson Crusoe?,['Daniel Defoe'],5
What tempers the Florida Climate ,['somewhat by the fact that no part of the state is distant from the ocean'],5
Who wrote Epistolae?,['Gasparinus de Bergamo'],4
Who ruled Nri?,['the Eze Nri'],4
What does Darwinism promote?,['the theory of natural selection.'],5
When does infection begin?,"['when an organism successfully enters the body, grows and multiplies.']",5
Who succeeded Antimachus II?,['Menander I'],5
Why is peering used? ,"['data that would otherwise have passed through a third upstream ISP, incurring charges from the upstream ISP']",5
What is the Siddur?,['prayer book'],5
What is Numaish?,['annual exhibition of local and national consumer products'],4
When did Aryabhata live?,['476-550'],5
When was NESticle released?,"['April 3, 1997']",5
Who tried to convert Frisians,['English and Irish missionaries set out to convert the Frisians'],5
Where are Emus from?,['Australia'],5
Where is chattista performed?,['traditional feasts and celebrations'],5
What makes Neptune blue? ,['methane'],5
Who controlled the government?,['Sudanese Arabs'],5
What area is PDO ,['Cheddar cheese—some of which has the West Country Farmhouse Cheddar Protected Designation of Origin (PDO).'],4
When did Gorbachev resign?,"['December 25, 1991']",5
How accountable is Interpol?,['22%'],5
Where was Polybius from?,['Megalopolis'],5
What is tremolo?,['rapid picking of one or more pairs of strings'],4
Have the policies been criticized ,['but some studies indicate they have not improved educational outcomes and may have caused harm'],5
When was Nanjing extended?,['211 AD'],5
What region was seized ,['The Veluwe region was seized by Guelders'],4
Who marketed epinephrine?,['Parke Davis'],4
Who were spiritual intermediates? ,['Religious officials'],5
What are child creuseurs?,"['they dig the ore by hand, carry sacks of ores on their backs']",5
Who has invaded Punjab?,"['Greeks, Kushans, Scythians, Turks, and Afghans']",5
When was Brasilia founded?,"['April 21, 1960']",5
What was signed in 1579 ,"['the northern seven provinces signed the Union of Utrecht, in which they decided to join forces against Spanish rule']",5
Where is Guinea-Bissau located?,['West Africa'],5
Did that ever happen? ,['inaugural winners Wanderers achieved this feat by the 1876 final'],5
Who is Jim Walter?,['director of threat intelligence operations at security technology company McAfee'],5
What is highly labile?,['Migration in birds'],5
What is solar power?,['conversion of sunlight into electricity'],5
Who did Victoria marry?,['Prince Albert'],5
Where was Spielberg born?,"['Cincinnati, Ohio']",5
When is Guinea-Bissau warm?,['all year around'],5
What is SNR?,['signal to noise ratio'],4
Where did it open?,['Walt Disney World'],5
Who is Irene?,['scanning machine for disc records'],4
What are gendarmerie?,['military units charged with civil policing'],4
Who co-hosted American Idol?,['Ryan Seacrest and Brian Dunkleman'],5
Why did Rice withdraw?,['a politicized confirmation process following criticism of her response to the 2012 Benghazi attack'],5
What is Ciudad Satelite?,['a vast middle to upper-middle-class residential and business area.'],5
Who administers formal discipline?,['congregation elders'],5
Who produced Fantasia?,['Walt Disney'],4
What is pollarding ,"['The willow was harvested using a traditional method of pollarding, where a tree would be cut back to the main stem']",3
Where is Emosson located?,"['Valais, Switzerland']",5
When was Pyongyang captured?,['October 1950'],5
Name its political capital.,['Santiago de Compostela'],5
What industry was targeted ,['Medical/Bio-Sciences'],4
What percentage read it?,['68'],5
What accompanies a transient?,['quantization noise'],5
What does schlacht mean?,['battle'],5
When did Russell die?,"['October 31, 1916']",5
What does China mean?,['Middle Kingdom'],5
Who commanded the army?,['the stadtholder'],5
Where did Yueju originate?,['Shengzhou'],5
Where were hospices established? ,['the summits of many of the main passes'],5
Who discovered Mevastatin?,['Akira Endo'],4
When was secretprojectrevolution released?,"['September 24, 2013']",5
Who questioned Nasser?,['Prime Minister Ibrahim Abdel'],4
What classification are given?,['socio-political constructs'],5
who provides cloud services?,['Internet hosting services'],5
What is kampong ,"['Kampong, the largest (amateur) sportsclub in the Netherlands (4,500 members)']",3
What does federalism allow?,['it allows certain groups to legislate at the subnational level'],5
Who proposed this theory?,['Fresnel coefficients'],5
What is the IST?,['Information Support Team'],5
When was Euclid born?,['325'],5
What style is Gothic?,['pan-European'],5
What did okugatasama mean?,['one who remains in the home'],5
What is lountza?,['smoked pork loin'],4
Where did Buddhism spread?,['Asia'],5
When was Nanking captured?,['December 1937'],5
What does Ghode mean?,['horse'],5
What do metanephridia remove?,['soluble waste products'],5
Did Athanasius speak Greek?,['knew Greek'],5
Who bought FleetBoston Financial?,['Bank of America'],5
Who dismissed the allegations?,['European Cocoa Association'],5
What compound is UF6?,['uranium hexafluoride'],5
What must be decompressed? ,['compressed data'],5
How was Elio executed?,['by garroting'],5
Who replaced President Trochu?,['Favre'],5
What does this eliminate?,['bacterial infection'],5
What is materialism?,['a form of philosophical monism'],4
Who wrote The  Prince?,['Niccolò Machiavelli'],5
Who controls Wake Island?,['the United States'],5
Where is Saalbach located? ,['Austria'],5
What has many homophones?,['Modern Chinese'],5
Whos power was curbed?,['magnates'],5
What can devices request?,['higher currents and supply voltages from compliant hosts'],5
Where was Napoleon born?,['Corsica'],5
Who makes party policy?,"[""almost entirely by the parliamentary parties, not by the party's rank-and-file members""]",5
Who killed Ali?,['Kharijite partisan'],4
Where was Leto worshipped?,['Asia Minor'],5
Name a biotrophic organism.,['a tick'],5
Who organized the flotilla?,['IHH'],5
What does 50i mean?,['25 interlaced frames per second'],5
What does NESA Teach?,['It teaches courses and holds seminars and workshops'],5
What was MAD?,['mutual assured destruction'],4
Who is Tony Mangefeste?,['Microsoft developer'],5
What was reinstated in 1853 ,"['the Dutch government allowed the bishopric of Utrecht to be reinstated by Rome, and Utrecht became the centre of Dutch Catholicism']",5
Street lights help reduce?,['urban crime.'],5
When did Japan surrender?,['2 September 1945'],5
When did Derby resign?,['1868'],5
When was Mercy adopted?,['June 2009'],5
Who uses the NIBRS?,['the United States'],5
When did Dewey die?,['1952'],5
FLNG technology faciliates what?,['the exploitation of untapped natural gas reserves located in remote areas'],5
What models have been delivered,"['delivery models at scale, urban sanitation markets, building demand for sanitation, measurement and evaluation as well as policy, advocacy and communications']",5
What eliminated comparability?,['modified semi-Scheiner-based systems'],4
Who bought RCA?,['Ge'],4
What are phrynges?,['throats'],4
How does bacteria reproduce?,['through binary fission'],5
What is the UNSCOP?,['United Nations Special Committee on Palestine'],5
Who are the Siddi?,['an ethnic group inhabiting India and Pakistan'],5
When was Mario born?,['1968'],5
What are the pathogenes?,['bacteria form a parasitic association with other organisms'],5
Who demoted Emperor Shao?,['Dong Zhuo'],5
How are oaths taken?,['on a Volume of Sacred Law'],5
Who created Graphite? ,['SIL International'],4
What is pantheism?,['God is the universe'],4
When was Chrome released?,['September 2008'],5
What does anthophyta mean?,['flowering plants'],5
When was Bushido formalized?,['before the Edo Period'],5
What releases testosterone?,['The testes'],4
dd,['Buddhism'],1
Who were the rioters?,['young men'],5
What is the Sangha?,['the Buddhist community'],5
What predicts glass-forming ability?,['rigidity theory'],5
What was considered unreliable?,['Airborne Interception radar'],5
What is lavash?,['Armenian flat bread'],4
What is the IrDA?,['the Infrared Data Association'],5
What was Izvestiya?,['Russian newspaper'],4
Where did Hokkein originate?,['Quanzhou'],5
Who was appointed justiciar?,['Peter des Roches'],5
What is Vernissage?,['arts and crafts market'],4
Where is tracheae located?,['the body cavity'],5
What does tars mean?,"['fear, respect']",5
What was project Lantern exploring ,['the IJM was exploring opportunities to replicate the model in other regions.'],5
Who is Charles-Louis Clerisseau?,"['Capitol building, was designed by']",5
What is BRT?,['the Turkish Cypriot equivalent to the Cyprus Broadcasting Corporation'],4
What ocean surrounds Antarctica?,['Southern Ocean'],5
What does peering allow? ,"['routing of data between each network, without charging one another for the data transmitted']",5
Who conquered Kangara?,['Mahmud Ghaznavi'],4
What are pili?,['cellular appendages'],4
Who replaced Liniers?,['Baltasar Hidalgo de Cisneros'],4
Which individual commissioned Chaminar?,['Muhammad Quli Qutb'],5
What is redlining?,['a reduction in the real-estate listings and property-related financial services (such as mortgage loans or insurance policies) offered in some areas'],4
What did Nachmanides write?,"['""If the gentiles wish to make peace, we shall make peace and leave them on clear terms']",5
Where did Hokkien originate?,['southern Fujian.'],5
"Define ""lectio difficilior""",['more difficult reading'],5
What limits excessive torque?,['magnetic core saturation or safe operating temperature rise and voltage'],5
Which birds drum territorially?,['woodpeckers'],5
Where have moraines accumulated?,"['at edges, center and the terminus of glaciers.']",5
What distinguishes Russian dialects?,"['non-standard features of pronunciation and intonation, vocabulary and grammar']",5
What are roche moutonnee?,"['elongated, rounded, and asymmetrical bedrock knobs that can be produced by glacier erosion']",5
What does dharmas mean?,['phenomena'],5
What is Norbulingka?,['former summer residence of the Dalai Lama'],4
Which party was anti-slavery?,['Democratic Party'],5
Aristotle introduced what theory?,['empiricism'],5
