Question,GT Answer,"qrecc-long_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","qrecc-long_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",qrecc-long_vanilla_gpt-3.5-turbo-1106_google,qrecc-long_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,qrecc-long_multihop_gpt-3.5-turbo-1106_google,qrecc-long_dsp+sample_gpt-3.5-turbo-1106_google,qrecc-long_dsp+knn_gpt-3.5-turbo-1106_google
What did the victims have to say about Rothstein fleeing to Casablanca and wiring $16 million to an individual in Casablanca?,"['On November 3, 2009, after many texts by Stuart Rosenfeldt, urging him to choose life, Rothstein returned to Fort Lauderdale on a chartered jet, from Casablanca.']",The victims were shocked and dismayed.,Victims did not get complete financial restitution.,The victims were not happy.,The victims were likely shocked and dismayed by Rothstein's actions.,The victims were outraged and felt betrayed.,The victims were involved in this situation and may have some insight into Rothstein's actions.,The victims may have some insight into Rothstein's actions.
Did Larry Kudlow have other jobs in the government besides being associate director for economics and planning in the Office of Management and Budget?,"['In March 2018, Donald Trump appointed Kudlow to be Director of the National Economic Council, succeeding Gary Cohn.']",Yes.,No.,Kudlow served as the associate director for economics and planning in the Office of Management and Budget under President Ronald Reagan.,"Yes, Director of the National Economic Council.","Yes, Director of the National Economic Council.",Yes.,Yes.
"What did you find interesting about this article on Pelé besides his style of play, playing position and moves?","[""Averaging almost a goal per game throughout his career, Pelé was adept at striking the ball with either foot in addition to anticipating his opponents' movements on the field.""]",Pelé frequently played barefoot.,Pelé led Brazil to three World Cup football (soccer) championships.,Pelé scored 1281 goals in 1363 games.,Pelé was possibly the most famous and best-paid athlete in the world during his time.,Global impact and role in Brazil.,Pelé is known for his philanthropic work.,Pelé is known for his philanthropic work.
Did the band Rogue Traders have any more albums after the addition of new members besides Here Come the Drums?,['Better in the Dark is the third studio album by Rogue Traders.'],"Yes, Night of the Living Drums",Yes,"Yes, they released the album Better in the Dark in 2007.","Yes, they released three more studio albums.","Yes, ""Better in the Dark"" and ""Night of the Living Drums""","Yes, the band Rogue Traders released albums after the addition of new members.","Yes, the band released two albums after the addition of new members."
What was the result of the The People of the State of California v. Michael Joseph Jackson trial and investigation?,"['On June 13, 2005, they returned a verdict of not guilty on all charges.']",Michael Jackson was acquitted on all counts.,Jackson was acquitted of all charges.,Jackson was acquitted on all counts.,Acquitted on all counts,Michael Jackson was acquitted on all counts.,Michael Jackson was acquitted on all counts,Jackson was acquitted on all counts
What did Michael Jackson say about The People of the State of California v. Michael Joseph Jackson trial and investigation?,"['He never returned to Neverland Ranch, saying it had been despoiled by police searches.']",He complained of police mistreatment and a dislocated shoulder.,Jackson denied the charges.,"Michael Jackson said that the trial was a ""big lie"" and that the allegations were motivated by money.",Michael Jackson consistently maintained his innocence.,Michael Jackson was found not guilty on all counts in The People v. Jackson trial.,"""Justice is done. The man's innocent. He always was.""","""Thank God Michael is vindicated for all time."""
Did The Living End's Chris Cheney die as a result of his car accident on the Great Ocean Road?,"['After the car accident, Chris Cheney of The Living End was hospitalized for two months and was unable to play for a significant period of time']",No.,No,"No, he survived the accident.",No.,No.,No,No.
"In Fiddler on the Roof, what was the reaction of Golde to Hodel and Perchik telling Hodel's parents that they're married?","[""Tevye explains Perchik and Hodel's marriage to an astonished Golde in Fiddler on the Roof.""]",Golde's reaction is not mentioned.,"Chava elopes with Fyedka, a Christian man after Tevye refuses to allow her to marry outside of her faith.",Golde is shocked and upset.,Tevye says he will not give his permission.,"Initially shocked and upset, but ultimately accepted.",Initially resistant,Initially resistant
Why was David M. Shoup relieved by Colonel Merritt A. Edson instead of waiting at the Battle of Tarawa?,['David M. Shoup was struck by shrapnel in the legs and received a grazing wound from a bullet in the neck during the Battle of Tarawa.'],He was wounded and exhausted.,He was commanded to.,Shoup was relieved due to exhaustion and illness.,Wounded and exhausted.,Wounded and exhausted,The reason for David M. Shoup's relief at the Battle of Tarawa is not clear.,Misunderstanding about the situation on the beach
"When did Jack Abramoffdo the political alliances that hold key roles in state and national politics and business, and some would later interact with Abramoff in his role as a lobbyist?",['In 1983'],1981 to 1985,During his time at the CRNC.,"Abramoff's lobbying and the surrounding scandals were the subject of a 2010 film, Casino Jack, which was based on Abramoff's work.",From 1994 through early 2004,During his time as a lobbyist.,From 1981 to 1985,From 1981 to 1985
"Did the ack Abramoff, Norquist and Reed formed what was known as the Abramoff-Norquist-Reed triumvirate work together on anything?","[""the trio purged dissidents and re-wrote the CRNC's bylaws to consolidate their control over the organization.""]",Yes,Yes,The three worked together to lobby for the interests of Native American tribes.,Yes.,"Yes, they worked together on lobbying efforts and remaking the CRNC.","Yes, they worked together on lobbying activities, particularly related to Native American tribes and casino gambling.","Yes, they worked together on lobbying activities related to Native American tribes and casino gambling."
What did Harry McVeigh the member of the white lies band  say in the interview with the BBC's Newsbeat programme?,"[""Harry McVeigh stated that due to the nature of the band's songwriting techniques clashing with their difficult touring schedules, there will be no new White Lies material until 2010""]",He stated that due to the nature of the band's songwriting techniques clashing with their difficult...,McVeigh stated that due to the nature of the band's songwriting techniques clashing with their difficult.,"Harry McVeigh said that the band's music is ""very honest and very real.""",No new White Lies material until 2010.,"White Lies' Harry McVeigh stated that due to the nature of the band's songwriting techniques clashing with their difficult financial situation, they don't earn any money doing anything else.",Songwriting techniques and touring schedules.,He discussed the band's songwriting techniques and their touring schedules.
"What was the good news Harry McVeigh white lies band member shared after he stated that due to the nature of the band's songwriting techniques clashing with their difficult touring schedules, there will be no new White Lies material until 2010?",['Harry McVeigh mentioned that the ambitious recording of Nothing to Give and The Price of Love act as a taster of the different sound to come on their sophomore release.'],There was no good news.,The band would release new material in 2010.,"The band's debut album, To Lose My Life..., was released in January 2009.",No new White Lies material until 2010,White Lies to release new album in January,New material in 2010,The band signed a new record deal.
What was announced next after the album's first single Bigger than Us was released on 3 January 2011?,['An eleven date tour of the United Kingdom was also announced for February 2011.'],An eleven date tour of the United Kingdom was also announced,The album Ritual was released on 17 January 2011,"The album's second single, ""I Won't Let You Go,"" was released on 13 March 2011.",An eleven date tour of the United Kingdom was announced.,An eleven date tour of the United Kingdom was announced for February 2011.,"The album Ritual was released on January 17, 2011.","The album ""Ritual"" was released on January 17, 2011."
What new recording style did Jimmy Page come up with in the recorminf of the album led zeppelin by led zeppelin?,"[""Jimmy Page played the Telecaster through a Supro amplifier, and used a Gibson J-200, for the album's acoustic tracks""]",Placing an additional microphone some distance from the amplifier,Placing an additional microphone some distance from the amplifier.,"Page used a recording technique called ""backward echo"" on the album.",Distance miking,Distance miking,Placing an additional microphone some distance from the amplifier and recording the balance between the two,Placing an additional microphone some distance from the amplifier
"How did the album No Name face by the band Lifehouse sell after it was released on October 31, 2000?","['the album No name face has sold over four million copies worldwide, with 2,670,000 copies sold in the US alone']","It has sold over four million copies worldwide, with 2,670,000 copies sold in the US alone.",Over four million copies worldwide,The album sold over 2.5 million copies in the US alone.,Over four million copies worldwide,"Over four million copies worldwide, with 2,670,000 copies sold in the US alone.","It has sold over four million copies worldwide, with 2,670,000 copies sold in the US alone.","Over four million copies worldwide, with 2,670,000 copies sold in the US alone."
What position did Ken Strong play with the New York Giants from 1933 to 1935; 1939 and 1944 to 1947?,['fullback'],Placekicker,Placekicking specialist,Halfback,Kicker,Halfback,Kicking specialist,Running back
Was there a left and right in Georg Wilhelm Friedrich Hegel's influence as represented by two opposing camps?,['The Right Hegelians and The Left Hegelians'],Yes,Yes,Hegel's influence was divided into a left and right camp.,Yes.,"Yes, there were Left Hegelians and Right Hegelians.",Yes.,Yes.
"Did Arundhati Roy write any other novels, besides The God of Small Things and The Ministry of Utmost Happiness?",['No.'],"Yes, Roy wrote The Ministry of Utmost Happiness.",My Seditious Heart,Arundhati Roy has also written several non-fiction books and essays.,"Yes, ""The Ministry of Utmost Happiness.""","Yes, she has written other novels.","Yes. Arundhati Roy wrote two novels, ""The God of Small Things"" and ""The Ministry of Utmost Happiness.""",No.
What other stylistic changes were there between Jon Stewart's version of The Daily Show and Trevor Noah's version?,"['an updated set, new graphics and his monologue sometimes taking place while standing in front of a screen as opposed to sitting at the desk.']",Changes in the tone of the show,Changes in the tone of the show and stylistic changes.,Trevor Noah's version of The Daily Show has a more international focus.,"Updated set, new graphics","Updated set, new graphics, standing monologue.","Updated set, new graphics, and changes in the format of the monologue.","Updated set, new graphics, and changes in the format of the monologue."
"Is there anything interesting in the article besides the start of Heifetz's career, whether or not he released music, and what he did after retirement?","['Jascha Heifetz (February 2 1901 – December 10, 1987) was a Russian-American violinist. Many consider him to be the greatest violinist of all time.']",Heifetz was a composer himself.,Heifetz redefined the art of violin playing.,The article also discusses Heifetz's teaching career and his influence on violin playing.,"Yes, the articles discuss Heifetz's impact on musical performance and his decision to stop performing.","Yes, Heifetz's vast recorded legacy is still influential today.","Yes, the article discusses Heifetz's impact on the history of musical performance and his contributions to the violin.","Heifetz transcribed works of Johann Sebastian Bach, Antonio Vivaldi, and the 20th-century French composer Francis Poulenc for the violin."
"Anything interesting you can tell me about Frank Turner besides releasing Tape Deck Heart, Tape Deck Heart's singles, Turner and Mongol Horde's sixth album, and Turner and Mongol Horde's seventh album?","[""On 3 January 2014, Turner appeared on the BBC's Celebrity Mastermind answering questions on Iron Maiden, scoring 20 points in total, and coming first.""]",Frank Turner taught himself to play the guitar at the age of 11 after seeing an Iron Maiden poster.,"Frank Turner's real name is Francis Edward Turner, and he started his music career as the lead singer of the band Million Dead.","Turner's seventh album, Be More Kind, was released in May 2018.","Punk-folk style, previous band.","Nine solo studio albums, seven live albums, thirteen EPs, and six compilation albums.",Frank Turner has released a total of nine solo studio albums.,Frank Turner has released a total of nine solo studio albums.
Did John Cena have any other matches in the OVW after after the unoffical debut for World Wrestling Federation?,"['After his main roster call up in 2002, Cena would continue on OVW until the September 25 taping, where he lost to Kenny Brolin in a Loser Leaves OVW match.']",Yes.,Yes.,"Yes, he had a match against Randy Orton.",No.,"Yes, John Cena had several matches in OVW after his unofficial debut for World Wrestling Federation.",Yes.,Yes.
"Was there any reason for Ashkenazi Jews moving from southern European and Middle Eastern centers to settle in the north, especially along the Rhine?",['often in response to new economic opportunities and at the invitation of local Christian rulers'],"Yes, due to persecution.","Yes, due to persecution, wars, unrest, and for opportunities in trade and commerce.",The Ashkenazi Jews moved to the north due to persecution and economic opportunities.,Persecution,Persecution and migration.,Persecution and migration.,Persecution
"Is there anything information about William S. Burroughs during the Harvard years besides study, and the St. Louis Post-Dispatch?","['They would drive from Boston to New York in a reckless fashion. Once, Stern scared Burroughs so badly that he asked to be let out of the vehicle.']",He made trips to New York City and was introduced to the gay subculture there.,Burroughs studied English and Anthropology at Harvard University.,Burroughs was a member of the Harvard Glee Club.,"Yes, Burroughs was part of Adams House and studied English at Harvard.","Burroughs attended Harvard University and studied English, anthropology as a postgraduate, and attended medical school in Vienna.",No.,"Yes, Burroughs made trips to New York City, moved there in 1943, and began giving readings of his work and getting involved in experimental film projects."
"Did the 1955 single A Church, A Courtroom and Then Goodbye by Patsy Cline have any big hits?",['Although Patsy Cline promoted it with an appearance on the Grand Ole Opry the song was not successful.'],No,No,"Yes, it reached #7 on the Billboard country music chart.",No,Yes.,No,No.
What does the other account besides the one in the Anglo-Saxon Chronicle say about who shot William II of England?,"['Later chroniclers added the name of the killer, although the description of events was later embroidered with other details that may or may not be true.']",Rufus was already dead as he hit the ground,Rufus was already dead as he hit the ground.,The other account says that it was an accident.,By one of his own men,One of his own men shot William II of England.,Shot by an arrow by one of his own men.,William II of England was shot by an arrow by one of his own men.
"Was Katherine Harris claiming that a Middle Eastern man was arrested for attempting to blow up the power grid in Carmel, Indiana, in a 2004 speech in Venice, Florida, true?",['Carmel Mayor James Brainard and a spokesman for Indiana Gov. Joe Kernan said they had no knowledge of such a plot. Brainard said he had never spoken to Katherine Harris.'],No.,No.,"No, the claim was false.",No.,No,No.,No.
"What year did Carmel Mayor James Brainard and a spokesman for Indiana Gov. Joe Kernan say they had no knowledge of such a plot to blow up a the power gride in Carmel, Indiana?","['In a 2004 speech in Venice, Florida, Katherine Harris claimed that a Middle Eastern man was arrested for attempting to blow up the power grid in Carmel, Indiana.']",Unspecified,2003,2005,2004,"There is no information or mention of a plot to blow up the power grid in Carmel, Indiana in the provided sources.",2004,There is no evidence to support such a plot being real.
Was there a fact that stood out to you about Christopher Hitchen's critiques besides whom he wrote about?,"[""Writers Nancy Gibbs and Michael Duffy published an article in Time Magazine in which, among other things, they refuted Hitchens's suggestion that Graham went into ministry to make money.""]","Hitchens was an anti-theist and saw all religions as false, harmful, and authoritarian.",Hitchens was critical of American foreign policy and was an anti-theist.,Hitchens was known for his scathing critiques of public figures and his atheism.,Aggressive and insulting tactics.,Hitchens was an anti-theist.,"Hitchens posited that organized religion is ""violent, irrational, intolerant, allied to racism, tribalism, and bigotry, invested in ignorance and hostile to free inquiry, contemptuous of women and coercive toward children.""",Hitchens was critical of American foreign policy.
"In what year did the calbe-laying expedition of the SS Great Eastern with William Thomson, 1st Baron Kelvin being abandoned happen?",['1865'],1865,1865,1865,July 1865,July 1865,1865,1865
"What happened after the cable-laying expedition of the SS Great Eastern with William Thomson, 1st Baron Kelvin was abandoned?","['A further attempt in 1866 laid a new cable in two weeks , and the recover and complete the 1865 cable.']",A new cable was laid.,The project was abandoned after the cable was lost.,The ship was sold for scrap.,A new cable was laid in two weeks.,A new cable was laid in 1866.,A new cable was laid in two weeks.,A new cable was laid in two weeks.
"What was the triumph for William Thomson, 1st Baron Kelvin after new cable was laid in 1866 and the recovery and completition of the 1865 cable?","['The enterprise was feted as a triumph and Thomson enjoyed a share of the adulation. Thomson, along with the other principals of the project, was knighted on 10 November 1866.']",The enterprise was now feted as a triumph by the public and Thomson enjoyed a large share of the adulation.,Thomson was knighted and became known as Lord Kelvin.,"The successful laying of the 1866 cable was a triumph for William Thomson, 1st Baron Kelvin.",Knighted,Successful completion of the new cable and recovery of the 1865 cable.,Knighted,He was knighted and enjoyed a large share of the adulation from the public.
What did the Women's Social and Political Union do in particular that afforded them those rights of political prisoners?,"[""Women's Social and Political Union demanded to be treated as a political prisoner upon arrest.""]",The Women's Social and Political Union went on hunger strikes.,They went on hunger strikes when arrested or imprisoned.,The Women's Social and Political Union went on hunger strikes and endured force-feeding.,Hunger striking,Hunger strikes and disruptive protests.,Hunger strikes and imprisonment.,Hunger strikes and imprisonment
"Why did Roger Clemens appear unexpectedly in the owner's box at Yankee Stadium on May 6, 2007, during the seventh-inning stretch of a game against the Seattle Mariners?","[""Roger Clemens unexpectedly appeared in the owner's box at Yankee Stadium on May 6, 2007 and made a brief statement.""]",Clemens made a dramatic announcement to fans.,To announce his return to the New York Yankees,Clemens announced that he would be returning to the Yankees for the remainder of the 2007 season.,To make a dramatic announcement to fans.,To thank the fans.,To announce his return to the New York Yankees.,"Roger Clemens appeared unexpectedly in the owner's box at Yankee Stadium on May 6, 2007, to announce his return to pitch for the Yankees."
"What was Clemens's statement when he unexpectedly appeared in the owner's box at Yankee Stadium on May 6, 2007, during the seventh-inning stretch of a game against the Seattle Mariners?","[""Roger Clemens: Thank y'all. Well they came and got me out of Texas, and uhh, I can tell you it's a privilege to be back. I'll be talkin' to y'all soon.“""]","""Thank y'all. Well they came and got me out of Texas, and uhh, I can tell you it's a privilege to be back.""","""Thank y'all. Well they came and got me out of Texas, and uhh, I can tell you it's a privilege to be back""",Clemens announced that he would be returning to the Yankees for the 2007 season.,"""Thank y'all. Well they came and got me out of Texas, and uhh, I can tell you it's a privilege to be back.""",Clemens returned to the New York Yankees.,"""Thank y'all. Well they came and got me out of Texas, and uhh, I can tell you it's a privilege to be back.""","""Thank y'all. Well they came and got me out of Texas, and uhh, I can tell you it's a privilege to be back."""
what is the name of the song by Jesse Big Tiny Kennedy that was a rip-off of Hound Dog by Big Mama Thornton,"[""Jesse Big 'Tiny' Kennedy recorded Country Boy""]",Hound Dog,"""Hound Dog Blues""","Mama, He Treats Your Daughter Mean","""Real Ugly Woman""","""Country Boy""","There is no song by Jesse Big Tiny Kennedy that was a rip-off of ""Hound Dog"" by Big Mama Thornton.",There is no song by Jesse Big Tiny Kennedy that was a rip-off of Hound Dog by Big Mama Thornton.
what was the next rip-off of Hound Dog by Big Mama Thornton made after Jesse Big 'Tiny' Kennedy recorded Country Boy,"[""In the early 1970s, Robert Loers, owner of Dutch label Redita Records, found a song with the same melody as Hound Dog called (You Ain't Nuttin' But a) Juicehead“.""]","Recorded by Billy Ed Wheeler, Cab Calloway, Johnny Cash","Country Boy recorded by Jesse ""Big 'Tiny'"" Kennedy","Elvis Presley recorded a version of ""Hound Dog"" in 1956.",Elvis Presley,"""I Smell a Rat""",Elvis Presley,"Peacock re-released Willa Mae Thornton's original by August 18, 1956, backing it with Rock-a-Bye Baby."
"Were Steven Seagal's first movies - Above the Law, Hard to Kill, Marked for Death, and Out for Justice - successful?","[""Following Above the Law's success, Steven Seagal's subsequent movies were Hard to Kill, Marked for Death, and Out for Justice; all were box office hits, making him an action hero.""]",Yes.,Yes.,"Yes, they were all box office hits.",Yes.,Yes.,Yes.,Yes.
"What other activities was Julian Huxley involved in during his mid-career besides traveling widely, visiting the USSR, take part in the Political and Economic Planning think tank, and visit Kenya with wife?",['In 1943 Julian Huxley was asked by the British government to join the Colonial Commission on Higher Education'],Secretary to the Zoological Society of London,Secretary of the Zoological Society of London and the first Director of UNESCO,Huxley was a founding member of the World Wildlife Fund.,Conservation work and the creation of national parks in East African countries.,Julian Huxley got involved in the creation of UNESCO.,Creation of UNESCO,Huxley was involved in the creation of UNESCO.
"What did the Doors and Morrison do after taking the stage an hour late due to Jim's recovery from being sprayed by an officer at New Haven Arena, December 9, 1967?","['Halfway through the first set, Morrison proceeded to create an improvised song about his experience with the little men in blue.']","Morrison went onstage and launched into an obscenity-filled rant about the incident backstage, repeatedly disparaging the police. He was dragged off the stage, which resulted in a riot and charges for Morrison and several others.",They performed onstage at the New Haven Arena,The Doors were banned from the New Haven Arena after Jim Morrison was arrested on stage.,They performed their concert.,They performed a shortened set.,"Morrison simulated a sexual act with the microphone, leading to his arrest.",The Doors and Morrison performed a short set.
What was first single released on Chevelle's album This Type of Thinking (Could Do Us In)?,['The song Vitamin R (Leading Us Along) was released as the first single from the album and reached the No. 1 position on the Mainstream Rock chart.'],"""Vitamin R (Leading Us Along)""","""Vitamin R (Leading Us Along)""",The first single released was Vitamin R (Leading Us Along).,"""Vitamin R (Leading Us Along)""",“Vitamin R (Leading Us Along)”,"""Vitamin R (Leading Us Along)""","""Vitamin R (Leading Us Along)"""
What kind of fur or products did Cartier attempt to trade in the origins of the North American fur trade?,['Cartier concentrated on trading for furs used as trimming and adornment in the origins of the North American fur trade'],Beaver furs,"Beaver furs, axes, cloth, and glass beads","Cartier attempted to trade in furs such as beaver, mink, and otter.",Beaver furs,Beaver furs,Beaver furs,Beaver furs
What other items did Cartier concentrate on trading aside from trading for furs used as trimming and adornment in the origins of the North American fur trade?,"['In the origins of the North American fur trade, Cartier overlooked the fur that would become the driving force of the fur trade in the north, the beaver pelt, which would become fashionable in Europe.']","axes, cloth, and glass beads","Cloth, blankets, firearms and ammunition, metal tools, and brass kettles","Cartier also traded for gold, copper, and other goods.",Fish,Beaver furs,"European-manufactured goods such as guns, metal cooking utensils, and cloth.","Guns, metal cooking utensils, and cloth"
"What other things was unique about the North American fur trade origin besides that explorer Cartier overlooked the fur that would become the driving force of the fur trade in the north, the beaver pelt, which would become fashionable in Europe?","['In the origins of the North American fur trade, The earliest European trading for beaver pelts dated to the growing cod fishing industry that spread to the North Atlantic']",The fur trade began as an exchange between Indians and Europeans,The fur trade built relationships between Europeans and Indigenous peoples.,The North American fur trade was unique in that it was based on a partnership between European traders and indigenous peoples.,Widespread effects on the landscape and people.,Exchange of manufactured goods for furs,The North American fur trade was unique in that it involved the exchange of manufactured goods for valuable furs with Native people.,"The North American fur trade involved the exchange of manufactured goods for valuable furs with Native people, with a great demand for fur in Europe."
What other roles was included in the North American fur trade besides the fisherman who sought suitable harbors with ample lumber to dry large quantities of cod?,"['The fisherman sought suitable harbors which generated their earliest contact with local Aboriginal peoples, with whom the fisherman began simple trading in the origins of North American fur trade']","Native Americans, fur trading companies, and the US government.",Voyageurs were hired to transport trade goods.,"The North American fur trade also included traders, trappers, and Native American hunters.","French, British, and US traders provided goods such as blankets, firearms and ammunition, cloth, metal tools, and brass kettles.","Native Americans, fur trading companies, and the US government.",Fur trading companies and European traders,"French, British, and US traders provided goods such as blankets, firearms and ammunition, cloth, metal tools, and brass kettles."
Was there any other significant details back to the beginning of fur trade aside from the fisherman who sought suitable harbors which generated their earliest contact with local Aboriginal peoples?,"['The fishermen of the North American fur trade traded metal items for beaver robes made of sewn-together, native-tanned, beaver pelts.']",No.,No.,The fur trade was a major part of the early Canadian economy and helped shape the country's development.,"Yes, European American traders exchanged manufactured goods with Native people for valuable furs.","French explorers and fishermen arrived in what is now Eastern Canada during the early 1500's. Trade started after the French offered the Indians kettles, knives, and other gifts as a means to establish friendly relations.",No.,No.
