Question,GT Answer,hotpotqa-medium_react_text-davinci-002_google,"hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",hotpotqa-medium_vanilla_gpt-3.5-turbo-1106_google,hotpotqa-medium_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,hotpotqa-medium_multihop_gpt-3.5-turbo-1106_google,hotpotqa-medium_dsp+sample_gpt-3.5-turbo-1106_google,hotpotqa-medium_dsp+knn_gpt-3.5-turbo-1106_google
Who died in the battle located near the River Boyne in Ireland?,['Eochaid or Eochu Étgudach'],William,The Duke of Schomberg and George Walker,Jacobites,King James II,Duke of Schomberg and George Walker,King James II,the Duke of Schomberg and George Walker,The Duke of Schomberg and George Walker
What part of Australia is Alice River and Rupertswood in?,['Victoria'],"Queensland, Australia","Queensland, Australia","Victoria, Australia",Queensland,"Queensland, Australia","Queensland, Australia","Queensland, Australia","Queensland, Australia"
"Who wrote the book that inspired the name of the CD/DVD ""Here at the End of All Things""?",['J. R. R. Tolkien'],J. R. R. Tolkien,J.R.R. Tolkien,The Lord of the Rings: The Return of the King,David Foster Wallace,J.R.R. Tolkien,J.R.R. Tolkien,The Lord of the Rings,J.R.R. Tolkien
What was Todd Boehly's former position at the firm where Mark Walter is the CEO?,['president'],"co-founder, chairman, chief executive officer, and controlling member",President,President,President,CEO,CEO of Eldridge Industries,president,President
What British novelist born in November 1898 wrote Surprised by Joy: The Shape of My Early Life?,['Clive Staples Lewis'],C. S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C. S. Lewis,C. S. Lewis
"The actress that plays Charity in the drama series ""Greenleaf"" is a member of a musical family from what city and state?","['Detroit, Michigan']","Silverdale, Lancashire, England","Detroit, Michigan","Detroit, Michigan","Memphis, Tennessee","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan"
What is the population of the province Herald Provincial Park is in?,['more than four and a half million people'],over 5.5 million,5.5 million,"British Columbia, Canada",Unknown,British Columbia,over 5.5 million,over 5.5 million,about 5.5 million
Are Eve Beglarian and Zach Bogosian both of Armenian descent?,['yes'],Eve Beglarian,Yes,Yes,Yes,Yes,Yes,Yes,yes
"In what year year was the believed subject of the Lenny Kravitz song ""Lady"" born?",['1967'],1967,1967,1967,1970,Before 2004,Before 2006,1967,1964
The Cinematic Orchestra was signed to the record label based in what city?,['London'],London,"Nashville, Tennessee",London,London,London,London,London,London
What is the name of shipping magnate Mærsk Mc-Kinney Møller' father?,['A.P. Møller'],Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller
"What Pakistani actor and writer from Islamabad helped write for the 2012 Pakistani comedy drama sitcom, ""Coke Kahani""?",['Yasir Hussain'],Janaan,Syed Mohammad Ahmed,Osman Khalid Butt,Faisal Rehman,Yasir Hussain,Yasir Hussain,Yasir Hussain,Syed Mohammad Ahmed
How to Irritate People was a broadcast written by an English actor who got his start on what television program?,['The Frost Report'],Fawlty Towers,Spooks,The Frost Report,Monty Python's Flying Circus,The Dick Emery Show,The Frost Report,The Dick Emery Show,The Dick Emery Show
Which band was formed earlier: Marianas Trench or Tse Tse Fly?,['Tse Tse Fly'],Tse Tse Fly,Marianas Trench,The Mariana Trench,Tse Tse Fly,Marianas Trench,Marianas Trench,Tse Tse Fly,Tse Tse Fly
" The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles which is a Eurpean dynasty resulting in what family?",['Mountbatten family'],British monarchy,Mountbatten family,Mountbatten family,Windsor family,British royal family,House of Windsor,Mountbatten-Windsor,Mountbatten
The physicist who is responsible for identifying the Rabi cycle won what award?,['Nobel Prize'],Isidor Isaac Rabi,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize
"Who is older, Thomas Friedman or English author David Lodge?",['David John Lodge CBE'],Thomas Friedman,Thomas Friedman,Thomas Friedman,Thomas Friedman,David Lodge,David Lodge,David Lodge,David Lodge
Where is the origin of Tie Domi who was a player for the Maple Leafs?,['Albanian origin'],"Windsor, Ontario","Windsor, Ontario","Windsor, Ontario, Canada","Winnipeg, Manitoba, Canada","Windsor, Ontario",Albania,"Windsor, Ontario","Windsor, Ontario"
What type of media do Peter Filkins and The New Criterion have in common?,['journal'],literary magazine,Print media,Print media,poetry,literary and cultural media,written content,publication,poetry
When was the album released for which Lady Gaga used for material for her Super Bowl LI halftime show?,"['October 21, 2016']","October 21, 2016","October 21, 2016","October 21, 2016","October 21, 2016","October 21, 2016","October 21, 2016","October 21, 2016","October 21, 2016"
"How long did The Shire of Flinders, which encompassed the extremity of the Mornington Peninsula located south-east of Melbourne, Australia, exist?",['1874 until 1994'],46 years,1874 until 1994,1874 until 1994,1994-1994,1874 until 1994,20 years,from 1874 until 1994,1874 until 1994
Giovanna d'Arco is an opera that was created by the composer of what nationality?,['Italian'],Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian
British Airways and EasyJet are both based out of where?,['London'],"London, England","London, England",United Kingdom,United Kingdom,"London, England",United Kingdom,London Luton Airport,"London, England"
Victor Koman's Ph.D.  in Information Technology was conferred by a university located in which city ?,['Minneapolis'],"Minneapolis, Minnesota",Capella University,"Minneapolis, Minnesota",Los Angeles,Capella University,Minneapolis,Capella University,"Minneapolis, Minnesota"
"What was the name of the fanzine that interviewed the Sex Pistols bassist when he was in the band ""The Flowers of Romance?""",['SKUM'],Sniffin' Glue,Skum fanzine,Skum Fanzine,Sniffin' Glue,Skum fanzine,SKUM Fanzine,Skum Fanzine,SKUM
What was the nationality of the composer of Chaconne in F minor?,['German'],German,German,German,Italian,German,German,German,German
What is the birthday of the man who played Lex Luthor in Superman IV: The Quest for Peace?,"['January 30, 1930']","July 11, 1972","April 16, 1965","April 16, 1965","October 17, 1949","April 16, 1965","January 30, 1930","April 16, 1965","April 16, 1965"
John Alexander and Trent Alexander-Arnold are professional footballers from which country?,['England'],England,England,England,England,England,England,England,England
What production company was co-created by the lead singer of the band Poison?,['Sheen Michaels Entertainment'],Bret Michaels Productions,B*M*B Productions,B*M*B Productions,Brett Michaels Productions,Sheen/Michaels Entertainment,Sheen/Michaels Entertainment,Sheen/Michaels Entertainment,Sheen Michaels Entertainment
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,['no'],No,No,No,No.,No,No,No,no
"Which man, Ibn Tufail or Ali Qushji, is best known for the development of astronomical physics independent from natural philosophy?",['Ali Qushji'],Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji,Ali Qushji
What was the breakthrough role of the actor starring in Good Boy! and was a native of Atlanta?,"['Tai Frasier in ""Clueless""']",No,"Alfred ""Paper Boi"" Miles","Alfred ""Paper Boi"" Miles",Liam Aiken,John Boyega,Liam Aiken,Room,"Alfred ""Paper Boi"" Miles"
Boggle is a word game originally distributed by a toy and game manufacturer that published more than how many games?,"['1,800']","1,800",1,"1,800",1000,more than 1,"1,500","more than 1,800",Many
What role did Julianne Moore play in the 2002 Oscar winning movie?,['emotionally troubled women'],,Cathy Whitaker,Sarah Miles,Cathy Whitaker,Virginia Woolf,Laura Brown,Laura Brown,Far from Heaven
What type of activity does Owner earnings and Warren Buffett have in common?,['business'],valuation method,Investing,Measure of a company's ability to generate cash over a period of time,investing,Intrinsic value calculations,Investment,cash flow,investing
What was the rank of the leader of the army defeated by West Saxon forces?,['commanders of the Great Army'],king,Beornwulf,Dane,King,Viking leader,King,Viking leader,Commander
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",['Roberta Vinci'],Roberta Vinci,Jorge Lozano,Roberta Vinci,Roberta Vinci,Roberta Vinci,Roberta Vinci,Roberta Vinci,Roberta Vinci
"What three time Tony nominee composed ""Ghost Quartet""?",['Dave Malloy'],Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy,Dave Malloy
"When did the tour begin for the album Taylor Swift released on October 22, 2012?","['March 13, 2013']","October 24, 2006","March 17, 2023","March 13, 2013","March 13, 2013","March 17, 2023","March 13, 2013","March 13, 2013","March 13, 2013"
Roxie Hart starred the entertainer and comedic actor who had what nickname?,['The King of Chutzpah'],Mr. Broadway,"""The Great Profile""","""The Great Profile""",Bob Fosse,Gwen Verdon,Renée Zellweger,Blondie,Gwen Verdon
Are Guildford Cathedral and St Paul's Cathedral both located in England?,['yes'],yes,Yes,Yes,Yes,Yes.,Yes,Yes,yes
Who had a perfect game against The Ignitor's team in 1998?,['David Wells'],Jalen Green,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells,David Wells
Kevin Yorn an American entertainment attorney who represents an Australian actor who  played the role of Josh Taylor in what soap opera?,['Neighbours'],,Days of Our Lives,Neighbours,Neighbours,Neighbours,Neighbours,Neighbours,Neighbours
Who played the role of Nettie Harris in the 1985 film directed by Steven Spielberg?,['Akosua Gyamama Busia'],Whoopi Goldberg,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Busia,Akosua Gyamama Busia,Akosua Busia,Akosua Gyamama Busia
"How many rooms are in the building built in 1883 at Garden City in Nassau County, New York?",['500-room'],"23,272",Sixteen rooms,50 rooms,65 rooms,500 rooms,500 rooms,500 rooms,16 rooms
What do the Church of St. Mary of the Spring and Hagia Irene have in common?,['Greek Eastern Orthodox church'],"Istanbul, Turkey",Three naves divided by columns,They are both located in Istanbul.,both are churches in Istanbul,churches,historic churches,They are both churches.,Byzantine religious architecture
Who does the current PFA Young Player of the Year currently play for?,['Premier League club'],Arsenal,Arsenal,Arsenal,Phil Foden plays for Manchester City.,Arsenal,Arsenal,Arsenal,Arsenal
"Who was Germany's large-scale, low strength fortification unit, disbanded in 1919, named after? ",['Menges'],,Paul von Hindenburg,Paul von Hindenburg,Kaiser Wilhelm II,André Maginot,Freikorps,Paul von Hindenburg,Freikorps
"József Viola's association was most prominent with which professional Italian football club in Turin, Piedmont?",['Juventus Football Club'],Juventus,Juventus,Juventus FC,Juventus,Juventus,Juventus,Juventus,Juventus Football Club
Were both Prince and Patty Jenkins have been inducted into the Rock and Roll Hall of Fame?,['no'],no,No,No,No.,No,No,No,no
"Are the bands ""Black Grape"" and ""Balance and Composure"" from the same country?",['no'],no,No,No,No.,No,No,No,no
are Tinto Brass and Baltasar Kormákur both from the same country ?,['no'],no,No,No,No.,No,No,No,no
which university was founded first Duke University or Tufts University?,['Duke University'],Duke University,Duke University,Duke University,Tufts University,Duke University,Duke University,Duke University,Duke University
What is the current position held by the Nathan Sharansky's co-author of the book The Case for Democracy?,['Israeli Ambassador'],Israeli Minister of Strategic Affairs,Former Israeli Member of the Knesset,Former Israeli Member of the Knesset,Chairman of the Jewish Agency,Israeli Ambassador to the United States,Israeli Minister of Strategic Affairs,Minister of Strategic Affairs of Israel,Israeli Minister of Strategic Affairs
What was the nickname of the player who played his final season for the 2016 Miami Dolphins before dying in an accident?,['Niño'],,Niño,Jose Fernandez,RIP 6,Nick Buoniconti,Niño,José Fernández,José Fernández
Is Velvetpark or Shape magazine written more for a lesbian and queer-identified female readership?,['Velvetpark'],Velvetpark,Velvetpark,Velvetpark Magazine,Velvetpark,Velvetpark,Velvetpark,Velvetpark,Velvetpark
Why is Serena Williams more accomplished than Mariaan de Swardt in her tennis career?,['the world No. 1 for the first time'],Serena Williams has more Grand Slam titles.,More Grand Slam titles,23 Grand Slam singles titles,23 Grand Slam singles titles,Exceptional skill and numerous Grand Slam titles.,More career finals and higher win rate,Serena Williams has won more Grand Slam singles titles.,Serena Williams has a more accomplished tennis career than Mariaan de Swardt
"On what album is Samuel ""Sam"" Ervin Beam's cover of ""Such Great Heights"" featured?","['""Give Up""']",,The Postal Service's album,"""Such Great Heights""",Around the Well,Around the Well,Our Endless Numbered Days,Such Great Heights EP,Such Great Heights EP
What race track in the midwest hosts a 500 mile race eavery May?,['Indianapolis Motor Speedway'],Indianapolis Motor Speedway,The Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis Motor Speedway,Indianapolis,Indianapolis Motor Speedway
What does the organization associated with Carl Wieland believe about anything other than the young earth view? ,['a compromise on biblical inerrancy'],no,it is a compromise,It is a compromise on the principle of the Bible.,Old Earth Creationism,incompatible with the Bible,Young earth view,it is a compromise on the principle,compromise
"What type of place does Regency Road, Adelaide and Klemzig, South Australia have in common?",['city'],suburb,Suburbs,Suburbs,They are both suburbs.,locations,restaurants and shopping places,road,Inner northern suburbs of Adelaide
The owner of radio station KWPW has the same name as an American character actor. What is it?,['Bill McCutcheon'],James William McCutcheon,Bill McCutcheon,Bill McCutcheon,Tom Hanks,Kenneth E. Lynch,Bill McCutcheon,Ken Lynch,Bill McCutcheon
In what city can a person find both the Nusretiye Clock Tower and the Eski Imaret Mosque be found?,"['Istanbul, Turkey']","Istanbul, Turkey",Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul,Istanbul
What is the name of the independent candidate in Maine's 2010 gubernatorial race who finished ahead of Libby Mitchell?,['Eliot Cutler'],Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Eliot Cutler,Alan Caron,Eliot Cutler
"What Province in Sicily, founded in the eighth century B.C., was the birthplace of the famous historical mathematician Archimedes?",['Province of Syracuse'],Syracuse,Syracuse,Syracuse,Syracuse,Siracusa,Syracuse,Syracuse,Syracuse
What is the name of second extended play by the artists of the mini-abum Code#01?,['Code#02 Pretty Pretty'],,2NE1,2NE1,Code#02,2nd EP Album,Code#01,2NE1,Code#02
What publisher published Anthony Doerr's Pulitzer Prize fiction novel?,['Scribner'],Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner,Scribner
The design team for role playing game Black Crusade featured the work of this designer who was the lead developer for what game?,['Dark Heresy'],,Dark Heresy,Dark Heresy,"John French, Warhammer 40,000: Horus Heresy",Ross Watson,Sam Stewart,Dark Heresy,Dark Heresy
What midfielder for West Bromwich Albion is Michael John Standing an agent for?,['Gareth Barry'],Michael Standing (footballer),Gareth Barry,Gareth Barry,Conor Gallagher,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry
What do Woodstock and American Dream have in common?,['documentary film'],no,Unity and peace,Unity and peace,They are both music festivals.,"Both represent ideals of love, happiness, and peace.",Cultural and social movements,idealism,lofty ideals
Are both Adolfo Bioy Casares and James Norman Hall Argentinian authors?,['no'],Adolfo Bioy Casares,No,No,No.,No.,No,No,No
"Which item spanned farther distances regarding sales, Interact Home Computer or Sord M5?",['Sord M5'],Sord M5,Sord M5,The Sord M5,Interact Home Computer,Interact Home Computer,Interact Home Computer,Sord M5,Interact Home Computer
The King of Hollywood starred in what 1932 American pre-Code dram film?,['Strange Interlude'],,No Man of Her Own,The King Murder,Clark Gable,Red Dust,Strange Interlude,Strange Interlude,Red Dust
Which university did the third pick by the Philadelphia 76ers in the 2014 NBA draft attend before he was drafted?,['University of Kansas'],University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas,University of Kansas
"Between two scientists Ernst Messerschmid and Philippe Perrin, who is older?",['Ernst Willi Messerschmid'],Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid,Ernst Messerschmid
"What former city, now the fourth-largest Russian city, was the Belarusian State Technological University evacuated to in 1941?",['Sverdlovsk'],Sverdlovsk,Yekaterinburg,"Sverdlovsk, now Yekaterinburg",Minsk,Yekaterinburg,Yekaterinburg,"Sverdlovsk, now Yekaterinburg",Yekaterinburg
Shirley Breeden won her first Senate term in a narrow upset over the politician who was a member of what branch of the armed forces?,['U.S. Army'],United States Army,United States Army,United States Navy,Air Force,unknown,army,Air Force,United States Army Reserve
The Governor of Santiago del Estero is a citizen of the province that is neighbored by which province on the north?,['Salta'],Formosa Province,Salta,Salta,Salta,Salta,Salta,Salta,Salta
"In the Library with the Lead Pipe, an academic journal on topics about libraries, is abstracted and indexed by this third largest private company in Birmingham, Alabama? ",['EBSCO Information Services'],EBSCO Information Services,No,,EBSCO Information Services,EBSCO Industries,Birmingham Collecting Institutions,a large private company,EBSCO Information Services
In what city did Charlie Spiller play college football?,['Lorman'],Alcorn State,"Lorman, Mississippi",Alcorn State,New Orleans,Alcorn State,Alcorn State,Lorman,Lorman
"Which musician was born first, Constantine Orbelian or Lili Chookasian?",['Lili Chookasian'],Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Constantine Orbelian,Lili Chookasian,Lili Chookasian,Constantine Orbelian
"What is the birthday of the author of ""She Walks These Hills""?","['February 26, 1948']","February 26, 1948","February 26, 1948","February 26, 1948","September 5, 1943","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948"
How far from Buenos Aires is the birthplace of Ezequiel Lazaro? ,['about 700 km'],0,432 miles or 695 km,432 miles or 695 km,"Rosario, Argentina","Córdoba, Argentina",695 km,432 miles or 695 km,695 km
"How many laps did Harry Prowell run during the 10,000 metres race at the 1967 Pan American Games?",['25 laps'],I cannot find the answer.,25 laps,25 laps,25 laps,25 laps,25 laps,25 laps,25
"Who has a wider scope of profession, Pete Dexter or Elie Wiesel?","['Eliezer ""Elie"" Wiesel KBE']",Elie Wiesel,Elie Wiesel,Pete Dexter,Elie Wiesel,Pete Dexter,Elie Wiesel,Pete Dexter,Elie Wiesel
When was the king that started coin production in Copenhagen born?,['2 February 1455'],before the early 15th century,"February 2, 1455",1455,1518,995,1739,"February 2, 1455","February 2, 1455"
"Of the retired tennis players Ross Case and Slobodan Živojinović, which player reached a higher career-high singles ranking?",['Ross Case'],Slobodan Živojinović,Ross Case,Ross Case,Slobodan Živojinović,Slobodan Živojinović,Ross Case,Ross Case,Slobodan Živojinović
"How many episodes were in the season of ""Rick and Morty"" that featured an episode called ""The Ricks Must Be Crazy""?",['ten'],,10 episodes,10 episodes,6 episodes,second season,10 episodes,ten episodes,10 episodes
"Iola is a city along the Neosho River in a region of Kansas that can be defined by Woddson County in the northwest, and what county in the northeast?",['Bourbon County'],Allen County,Allen County,Allen County,Allen County,Allen County,Woodson County,Bourbon County,Allen County
"David Sinclair is a fictional character in ""Numb3rs"", a crime drama produced by what company headquartered in New York City and Los Angeles?",['CBS Corporation'],Scott Free Productions and CBS Television Studios,Scott Free Productions,CBS Studios,CBS Paramount Network Television,CBS,Scott Free Productions,Scott Free Productions,Scott Free Productions
"Where was the film set in which the daughter of Shashi Kapoor, along side Sarat Pujari and Navni Parihar, set?",['Orissa'],,rural Odisha,rural Odisha,"Orissa, India",India,In a jungle,rural Odisha,rural Odisha
Georges-Henri Bousquet translated the work of a historian who is of what heritage?,['North African Arab'],Muslim,Tunisian,Tunisian,French heritage,Muslim,Tunisian,Arab,Tunisian
"Which film was created more recently, Koyaanisqatsi or Mad Hot Ballroom?",['Mad Hot Ballroom'],Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom
How many novels are there in series of novels which were adapted for a 2015 BBC TV  series in which Ruby Bentall plays a character called Verity ?,['12'],,Twelve novels,Two,12,twelve,Twelve novels,twelve novels,Twelve novels
An Cat Dubh / Into the Heart is a song from the U2 album released on what date?,['20 October 1980'],20 October 1980,"October 20, 1980","October 20, 1980","October 20, 1980",1980,"October 20, 1980","October 20, 1980","October 20, 1980"
Are Horace Ové and A. Edward Sutherland both photographers?,['no'],no,No.,No,No.,No,No,No,no
Did Nicholas Hytner and Maya Deren work in the same role in the film industry?,['no'],no,No,Yes,No.,No,directors,Yes,yes
What band did Gator Country guitarist that co-wrote Bloody Reunion come from?,['Molly Hatchet'],Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet
"What is the main industry of this town with a population of around 2,600 as of 2010 that has Mountain Valley High School attendees as residents?",['papermaking industry'],agriculture,Educational Services,Health Care & Social Assistance,paper manufacturing,Manufacturing,The main industry is Health Care & Social Assistance.,Manufacturing,Papermaking
" ""Coming Over"" is the second Japanese single album by a boy group that debuted in what year?",['2012'],2016,2012,2012,2019,2016,2015,2012,2012
"Where was the Danish colony, in which the Scandinavian Collectors Club claims as part of their region and includes the islands of Saint Thomas, located?",['Caribbean'],Africa,Caribbean,Caribbean,Caribbean Sea,Caribbean,Caribbean,Caribbean,Caribbean
What award did the actor in Tales from the Crypt win?,['BAFTA TV Award Best Actor'],Daytime Emmy Award for Outstanding Performer in an Animated Program,1990 Emmy Award,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,Emmy Award,Outstanding Guest Actor in a Drama Series,Primetime Emmy,Primetime Emmy Award,Primetime Emmy Award
Who played a more important role in the church George Albert Smith or Wong Jing?,['George Albert Smith'],George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith
"What memorial park located at John J. Pershing Drive in North Omaha has, among other amenities, a baseball park?",['Dodge Memorial Park'],Hummel Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,Pershing Center,Dodge Memorial Park,Dodge Memorial Park,N.P. Dodge Memorial Park,NP Dodge Memorial Park
"The Bart the Fink episode of The Simpsons aired in February of 1996, and involves the host of which kiddie show?",['The Itchy & Scratchy Show'],Krusty the Clown,Krusty the Klown,The Krusty the Clown Show,Krusty the Clown,Krusty the Clown,Bob Newhart,Krusty the Clown,Krusty the Clown
"Between the two film makers Fabián Bielinsky and Murdock MacQuarrie, who was born earlier?",['Murdock MacQuarrie'],Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie
Which Prince of Bismarcks EMS dispatch incited France to declare the Franco-Prussian War in July 1870,['Otto Eduard Leopold'],The Ems Dispatch,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Otto von Bismarck,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen
What genre does Orkworld and John Wick have in common?,['role-playing'],no,Fantasy,Action,role-playing games,fantasy,fantasy role-playing games,fantasy role-playing,fantasy
"Who was born first, Ana Kasparian or Andre Agassi?",['Andre Kirk Agassi'],Ana Kasparian,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi
"Which of these artist lives closer to Canada, Koshi Inaba or Jonathan Davis?",['Jonathan Howsmon Davis'],Jonathan Davis,Koshi Inaba,Koshi Inaba,Koshi Inaba,Koshi Inaba,Koshi Inaba,Jonathan Davis,Jonathan Davis
Who directed the nuclear war drama where Rita May played Jimmy Kemp's mother?,['Mick Jackson'],Mick Jackson,Mick Jackson,Mick Jackson,Sidney Lumet,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson
Did Billy Corgan's band The Smashing Pumpkins or Greek Fire originate in a more southern location?,['Greek Fire'],Greek Fire,No,No,The Smashing Pumpkins,The Smashing Pumpkins,"Chicago, Illinois",The Smashing Pumpkins,The Smashing Pumpkins
Who has the highest scope in profession in  Rob Thomas or  James Dean Bradfield,['James Dean Bradfield'],yes,James Dean Bradfield,James Dean Bradfield,Rob Thomas,James Dean Bradfield,James Dean Bradfield,James Dean Bradfield,James Dean Bradfield
"Which species is the most numerous, Podocarpus or Osmunda? ",['Podocarpus'],Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus
"Charles Hurt is currently the opinion editor of ""The Washington Times"", Fox News contributor, Breitbart News contributor, and editor of which politically conservative American news aggregation website?",['Drudge Report'],The Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report
"Which British music producer and engineer is notable for working wih an English electronic band having the founders: Dave Gahan, Martin Gore, and Andy Fletcher?",['Gareth Jones'],,Depeche Mode,Alan Wilder,Daniel Miller,Flood,Gareth Jones,Gareth Jones,Gareth Jones
Jesús Dautt is a Mexican professional footballer who is on loan from a club founded on what date?,['28 June 1945'],2007,"July 20, 2019","April 18, 1916","April 1, 1916",Unknown,2022,"January 1, 2020",Without Club
In what year was the soft drink that the Coca-Cola Company designed Red Flash to compete against created?,['1937'],1937,2000,1937,1930,1937,1937,1937,1937
