Question,GT Answer,"qrecc-short_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","qrecc-short_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",qrecc-short_vanilla_gpt-3.5-turbo-1106_google,qrecc-short_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,qrecc-short_multihop_gpt-3.5-turbo-1106_google,qrecc-short_dsp+sample_gpt-3.5-turbo-1106_google,qrecc-short_dsp+knn_gpt-3.5-turbo-1106_google
was Hollywood Babylon successful?,"['The NYT said, If a book such as Hollywood Babylon can be said to have charm, it lies in the fact that the book is without one single redeeming merit.“']",Hollywood Babylon was successful.,No,Hollywood Babylon was a best-selling book by Kenneth Anger.,"Yes, Hollywood Babylon was successful.","No, Babylon was not successful.",No.,No.
what were the oligarchs,['Business oligarchs of the former Soviet republics.'],The oligarchs were prominent Russian businessmen.,A small group of people holding political power,The oligarchs were a small group of businessmen who acquired great wealth and political power in Russia after the collapse of the Soviet Union.,Wealthy business entrepreneurs.,Wealthy individuals,Russian business entrepreneurs,Russian oligarchs were business entrepreneurs who rapidly accumulated wealth in the 1990s via the Russian privatization that followed the dissolution of the Soviet Union.
Who started Cheap Trick?,"['In 1967, Rick Nielsen formed Fuse with Tom Peterson and Bun E. Carlos joining on drums. the band adopted the name Cheap Trick on August 25, 1973.']","Rick Nielsen, Tom Petersson, Robin Zander, and Bun E. Carlos","Rick Nielsen, Tom Petersson, Robin Zander, and Bun E. Carlos.",Cheap Trick was formed in 1973 by guitarist Rick Nielsen and bassist Tom Petersson.,Rick Nielsen,"Rick Nielsen, Tom Petersson, Robin Zander, and Bun E. Carlos",Rick Nielsen,Rick Nielsen
who is skip james,"['Nehemiah Curtis Skip James was an American Delta blues singer, guitarist, pianist and songwriter.']","Skip James was an American Delta blues singer, guitarist, pianist, and songwriter.","American Delta blues singer, guitarist, pianist, and songwriter","Skip James was an American Delta blues singer, guitarist, pianist and songwriter.",Skip James was a Delta blues musician.,Skip James was a blues musician.,"Skip James was an American Delta blues singer, guitarist, pianist, and songwriter.","Skip James was an American Delta blues singer, guitarist, pianist, and songwriter."
when was graham windham founded,['Graham Windham was founded in 1806.'],1806,1806,Graham Windham was founded in 1806.,1806,1806,1806,1806
what is The Bridge?,"[""The Bridge is Ace of Base's second album""]",The Bridge is a six-lane reinforced concrete arch bridge.,A TV show,The Bridge is a crime drama television series that aired on FX from 2013 to 2014.,"The Bridge can refer to a physical structure, a musical passage, or an open area on a ship.","The Bridge can refer to different things, such as a specific type of bridge, a TV show, a book, or a metaphorical concept.","A bridge in music refers to the section of music used to build tension, function as a transition, and add variety.",The Bridge is a structure carrying a pathway or roadway over a depression or obstacle.
is kevin malone a gambler,"['Kevin Malone is the resident gambler, partaking or initiating various bets throughout the office with other co-workers, and shows a fairly sharp talent for monitoring games fairly.']","Yes, Kevin Malone was a gambler.",Yes,"Kevin Malone from The Office is known for his love of gambling, particularly poker.",Yes,"Yes, Kevin Malone is a gambler.",Yes.,Yes.
where was percy grainger from,"['Percy Grainger was born in Brighton, a suburb of Melbourne, Australia.']","Percy Grainger was from Brighton, Victoria, Australia.","Melbourne, Victoria, Australia","Percy Grainger was born in Brighton, Victoria, Australia.","Melbourne, Australia","Melbourne, Victoria, Australia","Melbourne, Australia","Brighton, Victoria, Australia"
how does edf work,['Whenever a scheduling event occurs the queue will be searched for the process closest to its deadline. This process is the next to be scheduled for execution.'],By offering solutions to save on energy consumption.,By finding practical and lasting solutions to environmental problems,"EDF (Electricité de France) is a French electric utility company, largely owned by the French state.",EDF works by delivering bold solutions to cut climate pollution and strengthen the ability of people and nature to thrive.,"EDF delivers bold, game-changing solutions to help people facing climate threats today while curbing climate change for the future.","EDF works by delivering bold, game-changing solutions to help people facing climate threats and curbing climate change.","EDF works by delivering bold, game-changing solutions to help people facing climate threats today while curbing climate change."
Can turkeys fly?,"['While the turkey you cook for Thanksgiving has never been airborne, wild turkeys can fly.']","Yes, turkeys can fly.",Yes,Wild turkeys are able to fly short distances at speeds up to 55 miles per hour.,"Yes, turkeys can fly.","Yes, turkeys can fly for short distances.","Yes, turkeys can fly.","Yes, turkeys can fly."
Was he married?,"['Coogan was married four times, and had four children.']","No, he was not married.",Yes,"Yes, he was married.",Yes.,Check for marriage records in Los Angeles County.,"The poem ""Was He Married?"" by Stevie Smith suggests that the subject may have been married.",Possibly.
how old is Davy Russell,['Davy Russell is 40 years old.'],44 years old,44 years old,"Davy Russell was born on June 27, 1979, making him 42 years old.",44 years,44 years,44 years old,Davy Russell is 44 years old.
what is the kon-yiki expedition,"['The Kon-Tiki expedition was inspired by old reports and drawings made by the Spanish Conquistadors of Inca rafts, and by native legends.']","A 1947 journey by raft across the Pacific Ocean from South America to the Polynesian islands, led by Norwegian explorer Thor Heyerdahl.",a 1947 journey by raft across the Pacific Ocean from South America to the Polynesian islands,"The Kon-Tiki expedition was a 1947 journey by raft across the Pacific Ocean from South America to the Polynesian islands, led by Norwegian explorer Thor Heyerdahl.",A 1947 journey by raft across the Pacific Ocean led by Thor Heyerdahl.,A 1947 journey by raft across the Pacific Ocean led by Thor Heyerdahl.,"A 1947 journey by raft across the Pacific Ocean from South America to the Polynesian islands, led by Norwegian explorer Thor Heyerdahl.",A 1947 journey by raft across the Pacific Ocean led by Thor Heyerdahl.
What does Peter mean?,"['The precise meaning of the Aramaic word is disputed, some saying that its usual meaning is rock or crag']","Peter means ""rock"" or ""stone.""",Rock; Stone,"The name Peter means ""rock"" or ""stone.""","""rock"" or ""stone""","""Rock"" or ""stone""","""rock"" or ""stone""","""Rock"" or ""stone"""
how big is target,['Target is the 8th-largest retailer in the United States.'],"Target operates 1,948 stores throughout the United States.","1,948 stores","Target operates over 1,900 stores in the United States.","About 125,000 square feet.","125,000 to 135,000 square feet","Around 125,000 to 150,000 square feet","The average size of a typical Target store is around 125,000 to 130,000 square feet."
who founded the Edmonton Oilers,['The Oilers were officially foundedby W. D. Wild Bill Hunter and Dr. Chuck Allard.'],"W. D. ""Wild Bill"" Hunter and Dr. Chuck Allard","W. D. ""Wild Bill"" Hunter and Dr. Chuck Allard",The Edmonton Oilers were founded by Bill Hunter.,"W. D. ""Wild Bill"" Hunter and Dr. Chuck Allard",Bill Hunter,"W. D. ""Wild Bill"" Hunter and Dr. Chuck Allard","W. D. ""Wild Bill"" Hunter and Dr. Chuck Allard"
What is blockchain?,"['A blockchain, originally block chain, is a growing list of records, called blocks, that are linked using cryptography. Each block contains a cryptographic hash of the previous block, a timestamp, and transaction data.']",Blocks of data linked into an uneditable digital chain,A type of shared database,"Blockchain is a decentralized, distributed ledger technology that records the provenance of a digital asset.","A digitally distributed, decentralized, public ledger.",A type of distributed ledger technology.,"A shared, immutable ledger.","A shared, immutable ledger."
Are alcoholics generally depressed?,"['Nearly one-third of people with major depression also have an alcohol problem. Often, the depression comes first.']","Yes, alcoholics frequently experience depression.",Yes,Alcoholics are more likely to suffer from depression than non-alcoholics.,Yes.,"Yes, alcoholics are generally more likely to be depressed.","Yes, alcoholics are generally depressed.","Yes, alcoholics are generally depressed"
What are Cubesats?,"['A CubeSat is a type of miniaturized satellite for space research that is made up of multiples of 10 cm × 10 cm × 11.35 cm cubic units. CubeSats have a mass of no more than 1.33 kilograms per unit, and often use commercial off-the-shelf components for their electronics and structure.']",Square-shaped miniature satellites that can be used alone or in groups of multiple units.,A class of nanosatellites,CubeSats are a type of miniaturized satellite for space research.,Small box-shaped satellites.,"Small satellites with a standard size and form factor, providing affordable access to space for small companies, research institutes, and universities.","Small, square-shaped miniature satellites.",Cubesats are a class of nanosatellites that use a standard size and form factor.
who developed linux distribution,['Linus Torvalds developed the Linux kernel'],Linus Torvalds,Linus Torvalds,Linus Torvalds developed the Linux distribution.,Linus Torvalds,Various organizations and communities develop Linux distributions.,Linus Torvalds,Linus Torvalds
What is dramatism?,"['Dramatism, an interpretive communication studies theory, was developed by Kenneth Burke as a tool for analyzing human relationships.']",Dramatism is a communication studies theory.,A communication studies theory.,Dramatism is a method of analysis developed by Kenneth Burke.,A communication theory developed by Kenneth Burke.,A communication theory developed by Kenneth Burke.,Communication theory analyzing human relationships.,A communication studies theory developed by Kenneth Burke.
when was probability theory developed,['The first recorded evidence of probability theory can be found as early as 1550 in the work of Cardan.'],Probability theory was developed as early as 1550.,1550,Probability theory was developed in the late 17th century.,16th century,Sixteenth and seventeenth centuries,16th century,16th century
where was yasir shah born,['Yasir Shah was born in Swabi in Khyber Pakhtunkhwa in 1986.'],"Swabi, Khyber Pakhtunkhwa, Pakistan","Swabi, Khyber Pakhtunkhwa, Pakistan","Yasir Shah was born in Swabi, Khyber Pakhtunkhwa, Pakistan.","Swabi, Khyber Pakhtunkhwa","Swabi, Khyber Pakhtunkhwa, Pakistan","Swabi, Khyber Pakhtunkhwa, Pakistan","Swabi, Khyber Pakhtunkhwa, Pakistan"
is vikings on netflix,"[""The mothership Vikings series currently is not available on Netflix; it's streaming on Hulu and Amazon Prime Video.""]","Yes, Vikings is available on Netflix.",No,"Yes, Vikings is available to stream on Netflix.","Yes, Vikings is available on Netflix.","Yes, Vikings is available on Netflix in certain countries.","Vikings is available on Netflix in some countries, but not in the US or UK.","Vikings is available on Netflix in some countries, but not in the US or UK."
when was Tim Minchin born,['He was born on 7 October 1975'],"Tim Minchin was born on October 7, 1975.","October 7, 1975","Tim Minchin was born on October 7, 1975.","October 7, 1975","October 7, 1975","October 7, 1975","Tim Minchin was born on October 7, 1975."
what makes guinness stout dark,['A portion of the barley is roasted to give Guinness stout its dark colour and characteristic taste.'],Roasted unmalted barley,Roasted unmalted barley,Guinness stout is dark because it is made with roasted barley.,Roasted barley,Roasted barley gives Guinness stout its distinctive dark color.,Roasted barley,Roasted barley
when was Robbie Montgomery born,"['Robbie Marie Montgomery was born on June 16, 1940.']","Robbie Montgomery was born on June 16, 1940.","June 16, 1940","Robbie Montgomery was born on June 16, 1940.","June 16, 1940","June 16, 1940","June 16, 1940","Robbie Montgomery was born on June 16, 1940"
Who was Noah Webster,"['Noah Webster Jr.  born in West Hartford, Connecticut on October 16, 1758, was an American lexicographer, textbook pioneer, English-language spelling reformer, political writer, editor, and prolific author.']",An American lexicographer.,American lexicographer,"Noah Webster was an American lexicographer, textbook pioneer, English-language spelling reformer, political writer, editor, and prolific author.",American lexicographer and educator,"American lexicographer, educator, and lobbyist",American lexicographer and educator.,"Noah Webster was an American lexicographer, educator, and language reformer."
What are the Meshuggah,['A Swedish extreme metal band from Umeå'],a Swedish extreme metal band,Extreme metal band,Meshuggah is a Swedish extreme metal band formed in 1987.,Swedish extreme metal band,Swedish extreme metal band,Swedish extreme metal band,Meshuggah is a Swedish extreme metal band formed in 1987.
Tell me about lipids.,"['Lipids are molecules that contain hydrocarbons and make up the building blocks of the structure and function of living cells. Examples of lipids include fats, oils, waxes, certain vitamins (such as A, D, E and K), hormones and most of the cell membrane that is not made up of protein.']","Lipids help with moving and storing energy, absorbing vitamins, and making hormones.",Fatty compounds with various functions,"Lipids are a diverse group of organic compounds that include fats, oils, and waxes.","Lipids are fatty, waxy, or oily compounds that are soluble in organic solvents and insoluble in polar solvents such as water.",Lipids are fatty compounds that perform various functions in the body.,Lipids are fatty compounds that perform a variety of functions in the body.,"Lipids are fatty compounds that perform a variety of functions in the body, including being part of cell membranes and helping control what goes in and out of cells."
Who developed Happy Tree Friends,"['Happy Tree Friends is developed by Aubrey Ankrum, Rhode Montijo, Kenn Navarro and Warren Graff for Mondo Media.']","Aubrey Ankrum, Rhode Montijo, and Kenn Navarro.","Aubrey Ankrum, Rhode Montijo, Kenn Navarro, and Warren Graff","Happy Tree Friends was created by Aubrey Ankrum, Rhode Montijo, Kenn Navarro, and Warren Graff.","Kenn Navarro, Rhode Montijo, and Aubrey Ankrum","Kenn Navarro, Rhode Montijo, Aubrey Ankrum, and Warren Graff",Kenn Navarro and Warren Graff.,"Kenn Navarro, Rhode Montijo, Aubrey Ankrum, and Warren Graff."
Who is James Fauntleroy?,"['James Edward Fauntleroy II is an American singer, songwriter and record producer from Inglewood, California.']","James Fauntleroy is an American singer, songwriter, and record producer.","American singer, songwriter, and record producer","James Fauntleroy is an American singer, songwriter, and record producer.","American singer, songwriter, and record producer","James Fauntleroy is an American singer, songwriter, and record producer.","James Fauntleroy is a Grammy-winning songwriter, producer, and recording artist known for collaborations with high-profile artists in R&B and pop music.","James Fauntleroy is a Grammy-winning songwriter, producer, and recording artist known for collaborations with high-profile artists in R&B and pop music."
What is PewDiePie's nationality,"['PewDiePie was born as Felix Arvid Ulf Kjellberg in Gothenburg, Sweden. His nationality is Swedish and his ethnicity is also Swedish.']",Swedish,Swedish,PewDiePie is Swedish.,Swedish,Swedish,Swedish,Swedish
who invented the cheesesteak,['Philadelphians Pat and Harry Olivieri are often credited with inventing the cheesesteak by serving chopped steak on an Italian roll in the early 1930s.'],Pat and Harry Olivieri,Pat and Harry Olivieri,"Pat Olivieri, a hot dog vendor, is often credited with inventing the cheesesteak in the early 1930s.",Pat and Harry Olivieri,Pat and Harry Olivieri,Pat and Harry Olivieri,Pat and Harry Olivieri
What is taurine?,['Taurine is a type of amino acid found in many foods and often added to energy drinks'],Taurine is a type of chemical called an amino sulfonic acid.,C2H7NO3S,Taurine is an organic compound that is widely distributed in animal tissues.,"Taurine is an amino sulfonic acid found in meat, fish, and eggs.","Taurine is an organic compound found in animal tissues and in some foods, especially in meat, dairy, and fish.",Taurine is an amino acid.,"Taurine is an amino acid found in meat, fish, and shellfish, and is essential for skeletal muscle functioning."
Who is Dian Belmont?,"['Aa fictional DC Comics character, associated with the golden age Sandman, a socialite and amateur detective, she assisted Sandman on most of his adventures as his aide and confidant.']",Dian Belmont was the lifelong companion of Sandman and an amateur detective.,Fictional DC Comics character,Dian Belmont is a fictional character in the DC Comics universe.,"Dian Belmont is a fictional character and the lifelong companion of Sandman, Wesley Dodds.",Dian Belmont is a fictional DC Comics character.,"Dian Belmont is a fictional DC Comics character associated with the golden age Sandman, described as a socialite, amateur detective, and the lifelong lover of Sandman/Wesley Bernard Dodds.",A fictional DC Comics character
when was heraclitus born,['heraclitus was born in 535 BCE'],around 540 BCE,around 540 BCE,Heraclitus was born in 535 BC.,c. 540 BCE,c. 540 BCE,c. 540 BCE,Heraclitus was born around 540 BCE.
how are catfish raised,"['The U.S. Farm Raised Catfish is raised in environmentally controlled, clay based ponds, filled with fresh water pumped from underground wells and filtered by alluvial aquifers']","In environmentally controlled, clay-based ponds filled with fresh water pumped from underground wells","In environmentally controlled, clay-based ponds filled with fresh water pumped from underground wells",Catfish are raised in ponds or tanks on fish farms.,In environmentally controlled ponds and harvested at about 18 months old.,In split-pond or high-aeration grow-out systems.,In hatcheries and nursery ponds.,In multiple-batch production with fingerlings stocked each spring.
where was Nicky Jam born,"['Nicky Jam was born in Lawrence, Massachusetts, U.S.']","Nicky Jam was born in Lawrence, Massachusetts.","Lawrence, Massachusetts","Nicky Jam was born in Boston, Massachusetts.","Lawrence, Massachusetts","Lawrence, Massachusetts","Lawrence, Massachusetts","Nicky Jam was born in Lawrence, Massachusetts."
What came before toilets?,"['In 1596 Sir John Harrington invented a flushing lavatory with a cistern. However the idea failed to catch on. People continued to use chamber pots or cess pits, which were cleaned by men called gong farmers. (In the 16th century a toilet was called a jakes).']","Holes in the ground, potties, and chamber pots",Roman baths,"Before toilets, people used chamber pots or simply went to the bathroom outside.","Holes in the ground, potties, chamber pots, and garderobes.","Pail closets, outhouses, and cesspits","Latrine systems, pail closets, and chamber pots","Chamber pots, latrine systems, and basic sewer systems"
what does interstitial fluid contain,"['Interstitial fluid consists of a water solvent containing sugars, salts, fatty acids, amino acids, coenzymes, hormones, neurotransmitters, white blood cells and cell waste-products.']","Interstitial fluid contains water and solutes, including electrolytes, sugars, salts, acids, hormones, neurotransmitters, and cell wastes.","water and solutes, including electrolytes, sugars, salts, acids, hormones, neurotransmitters, and cell wastes","Interstitial fluid contains water, ions, nutrients, gases, and waste products.","water, electrolytes, sugars, salts, acids, hormones, neurotransmitters, and cell wastes","water, electrolytes, sugars, salts, acids, hormones, neurotransmitters, and cell wastes","water, electrolytes, sugars, salts, fatty acids, amino acids, coenzymes, hormones, neurotransmitters, white blood cells, and cell waste-products","water, sugars, salts, fatty acids, amino acids, coenzymes, hormones, neurotransmitters, white blood cells, and cell waste-products"
was the movie Tombstone successful,"['The film Tombstone was a financial success, and for the Western genre, it ranks number 16 in the list of highest-grossing films since 1979.']","Yes, Tombstone was successful.",Yes,"Tombstone was a commercial success, grossing over $56 million at the box office.","Yes, Tombstone was successful.","Yes, Tombstone was successful.",Yes,Yes.
What is weathering?,"[""Weathering is the breaking down of rocks, soil, and minerals as well as wood and artificial materials through contact with the Earth's atmosphere, water, and biological organisms.""]","Weathering is the process that causes the disintegration of rocks, mineral, and soils without chemical change.",Breaking down or dissolving of rocks and minerals on the surface of the Earth.,"Weathering is the breaking down of rocks, soil, and minerals as well as artificial materials through contact with the Earth's atmosphere, biota, and waters.",Breakdown of rocks and minerals on the Earth's surface.,Breaking down of rocks.,Weathering is the breaking down or dissolving of rocks and minerals on the surface of the Earth.,Weathering is the breaking down or dissolving of rocks and minerals on the surface of the Earth.
Describe Uranus.,['Uranus (from the Latin name Ūranus for the Greek god Οὐρανός) is the seventh planet from the Sun. It has the third-largest planetary radius and fourth-largest planetary mass in the Solar System.'],"Uranus is the seventh planet from the Sun with the third largest diameter in our solar system, and it is very cold and windy.","Cold, windy, with rings and moons.",Uranus is the seventh planet from the sun and is the third-largest in the solar system.,Uranus is a gaseous cyan-colored ice giant.,"Uranus is the third-largest planet in our solar system, with a diameter about four times that of Earth. It is a very cold and windy planet, surrounded by faint rings and more than two dozen small moons. Uranus rotates at a nearly 90-degree angle from the plane of its orbit.",Uranus is a gaseous ice giant with an average temperature of minus 320 degrees Fahrenheit (-195 degrees Celsius).,"Uranus is a gaseous cyan-colored ice giant made up of water, ammonia, and methane."
Did Chris Barber tour?,"['The Big Chris Barber Band 2019 line up is: Chris Barber, Bob Hunt; Mike Henry, Gabriel Garrick, Bert Brandsma, Nick White and Ian Killoran. John Watson, John Day, Joe Farler']",Yes.,Yes.,Chris Barber and his band toured extensively in the United States and Europe.,Yes.,"Yes, Chris Barber has toured.","Yes, Chris Barber toured extensively throughout his career.",Yes
