When did Sunday Night Football premiere on NBC?,"['2006', '2006', '2006']","August 6, 2006","August 6, 2006",2006,"August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006"
What river did Genghis Khan cross before defeating the main Tangut army?,"['the Yellow River', 'Yellow River', 'Yellow River']",Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River
Who is the founder of the Salvation Army?,"['William Booth', 'William Booth', 'William Booth']",William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth
Who commissioned the Gateshead Milennium Bridge?,"['Gateshead Council', 'Gateshead Council', 'Gateshead Council']",WilkinsonEyre and Gifford,WilkinsonEyre and Gifford,Gateshead Council,Gateshead Council,Gateshead Council,Gateshead Council,Gateshead Council
How long has the Doctor Who Magazine been in circulation?,"['since 1979', '1979', 'since 1979']",Every four weeks,596 issues,42 years,Since 1979,Since October 1979,42 years,Since 1979
Other theories of the word's origin can be generally classed as what?,"['double or triple non-French linguistic origins', 'non-French linguistic origins']","language change, borrowing, word formation, onomatopoeia and sound symbolism",Semasiology,folk etymology,false etymology,Three theories,False etymology,"language change, borrowing, word formation, and onomatopoeia and sound symbolism"
"What additional srevice did BSkyB offer besides HD channels that they claimed offered ""substantially more value""?","['Video On Demand', 'Video On Demand content', 'HD channels and Video On Demand']",On Demand service,Video On Demand,video on demand service,Video On Demand,Video On Demand,Video On Demand,Video On Demand
What is it called when the tax rate and base amount increase simultaneously?,"['progressive tax', 'progressive tax', 'progressive']",Progressive tax,Progressive tax,proportional tax,Progressive tax,progressive tax,Progressive tax,Progressive tax
What additional benefits are there to surrounding community of expansion?,"['enhanced transit infrastructure, possible shuttles open to the public, and park space which will also be publicly accessible.', 'enhanced transit infrastructure, possible shuttles open to the public, and park space which will also be publicly accessible', 'enhanced transit infrastructure, possible shuttles open to the public, and park space']",Job creation,"New or retained jobs, affordable housing, new retail and other services, assets built for lower-income residents, and places to start and grow new businesses.","job creation, economic growth","Increase in trade, competitiveness, financial support, volunteers, space, and in-kind donations.","Job creation, environmental practices, economic boost, cultural preservation",Job creation,"job creation, increased tax revenue, improved infrastructure, community well-being"
Which network broadcast the game in Spanish?,"['ESPN Deportes', 'ESPN Deportes', 'ESPN Deportes']",Telemundo Deportes,Univision,Univision,CBS,Telemundo,Telemundo,Telemundo
What has technological innovation and automation replaced low-skilled jobs with?,"['machine labor', 'machine labor', 'machine labor']",Non-routine high-skilled jobs and low-skilled jobs,High-skilled and low-skilled jobs,high-skilled jobs,high-skilled and low-skilled jobs,"New, specialized positions",non-routine high-skilled jobs and low-skilled jobs,higher-skilled and technical jobs
Who caused the dissolution of the Holy Roman Empire?,"['Napoleon', 'Napoleon', 'the defeat of Napoleon', 'Napoleon', 'defeat of Napoleon']",Napoleon and the French,No one caused the dissolution of the Holy Roman Empire.,Napoleon Bonaparte,Napoleon and the French,Napoleon,Napoleon Bonaparte,Napoleon
Older people get less sun and produce less of what chemical via UVB radiation?,"['cholecalciferol', 'cholecalciferol', 'cholecalciferol']",Vitamin D,Previtamin D3,Vitamin D,Vitamin D,Vitamin D,Melanin,Vitamin D
What social construct did Huguenot refugees in Canterbury practice?,"['economic separation', 'economic separation', 'worked as weavers']",worship,"economic separation, worked as weavers",religious tolerance,weaving,"economic separation, worked as weavers",variety of professions,weaving
What society founded the University of Chicago?,"['the American Baptist Education Society', 'American Baptist Education Society', 'American Baptist Education Society', 'American Baptist Education Society']",American Baptist Education Society,American Baptist Education Society,Baptist Society,American Baptist Education Society,American Baptist Education Society,the American Baptist Education Society,American Baptist Education Society
What ruined Richard's plans to reach Acre?,"['a storm', 'a storm', 'a storm']",Adverse winds,Conflict with King Richard and succession disputes,a storm,Insulting Leopold V and quarreling with Philip II,"Insulting Leopold V, duke of Austria",a storm,Execution of the civilian population
Who is known as the first Keeper of Fine Art Collection at the V&A?,"['George Wallis', 'George Wallis', 'George Wallis']",George Wallis,George Wallis,John Charles Robinson,George Wallis,George Wallis,George Wallis,George Wallis
"In what year of 20th century, did Harvard release an important document about education in America?","['1945', '1945', '1945']",1945,1945,1983,1945,1945,1945,1945
What is set aside for question periods in the debating chamber?,"['Parliamentary time', 'Parliamentary time', 'Parliamentary time']",45 minutes,45 minutes,Question Time,Time,Question and answer period,45 minutes,45 minutes
How old was tesla when he became a US citizen?,"['35', '35', '35']",35,35,35,35,35,35,35
When did England formally declare war on France?,"['May 18, 1756', 'May 18, 1756', 'May 18, 1756', 'May 18, 1756', 'May 18, 1756']",20 May 1756,20 May 1756,"June 22, 1940","May 18, 1756",May 17,"May 18, 1756",20 May 1756
What is the name for a response of the immune system that damages the body's native tissues?,"['Hypersensitivity', 'Hypersensitivity', 'Hypersensitivity']",Autoantibodies,Autoimmunity,autoimmune response,Autoimmune response,Autoimmune response,Autoimmune response,Autoimmune reaction
For what purpose do organisms make peroxide and superoxide?,"['destroy invading microbes', 'to destroy invading microbes', 'destroy invading microbes', 'to destroy invading microbes', 'destroy invading microbes']",Cell signaling and disease,Cell signaling and disease,to kill pathogens,Defense and cell signaling,Defense against oxidative stress,"To maintain vascular function, structure, and angiogenesis",cell signaling and disease
A strike by what entity resulted in a halt to production for network programs in the 2007-2008 season?,"['Writers Guild of America', 'The Writers Guild of America', 'Writers Guild of America']",Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,Writers Guild of America,The Writers Guild of America,Writers Guild of America
What did Tesla work on in 1888?,"[""system to power the city's streetcars"", 'alternating current system', ""an alternating current system to power the city's streetcars""]",Electric transmission of power,Electric transmission of power and alternating current electricity,alternating current (AC) induction motor,"dynamos, transformers, and motors","dynamos, transformers, and motors","electric oscillators, meters, improved lights, and the high-voltage transformer known as the Tesla coil",AC induction motor and related polyphase AC patents
To which year is the Gloucester Candlestick dated?,"['c1110', 'c1110', 'c1110']",between 1104 and 1113,1104-1113,1104 AD,1104-1113,1104-1113,1104 and 1113,between 1104 and 1113
What molecules act as defense signals?,"['salicylic acid, jasmonic acid, nitric oxide and reactive oxygen species', 'salicylic acid, jasmonic acid, nitric oxide and reactive oxygen species', 'reactive oxygen species']",Cytokines,Proteoglycans,phytohormones,Oligosaccharins and extracellular ATP,Plant phenols,"Flavonoids, calcium ions, reactive oxygen species, nitric oxide, salicylic acid, jasmonic acid, ethylene, phenols","calcium ions, reactive oxygen species, nitric oxide, salicylic acid, jasmonic acid, ethylene, cGMP, and cyclic ADP ribose"
When did the Egyptian Islamic Jihad assassinate Anwar Sadat?,"['1981', '1981', '1981']","October 6, 1981","October 6, 1981",1981,"October 6, 1981","October 6, 1981","October 6, 1981","October 6, 1981"
What was the score for the 2015 NFC championship game?,"['49–15', '49–15', '49–15,']",28-22,28-22,28-22,28-22,28-22,28-22,28-22
In what episode did Dudley Simpson play a music conductor?,"['The Talons of Weng-Chiang', 'The Talons of Weng-Chiang', 'The Talons of Weng-Chiang']",The Talons of Weng-Chiang,The Talons of Weng-Chiang,"""The Talons of Weng-Chiang""",The Talons of Weng-Chiang,"""The Talons of Weng-Chiang""",The Talons of Weng-Chiang,"""The Talons of Weng-Chiang"""
Which parts of the Earth are included in the lithosphere? ,"['the crust and rigid uppermost portion of the upper mantle', 'crust and rigid uppermost portion of the upper mantle', 'crust and rigid uppermost portion of the upper mantle', 'crust and rigid uppermost portion of the upper mantle']",the brittle upper portion of the mantle and the crust,The brittle upper portion of the mantle and the crust,crust and upper mantle,crust and upper mantle,crust and upper part of the mantle,crust and upper mantle,crust and upper mantle
Photosynthesis uses which energy to for oxygen from water?,"['sunlight', 'sunlight', 'sunlight', 'the energy of sunlight', 'sunlight']",Light energy,Sunlight,solar energy,Sunlight,light energy,Light energy,solar energy
In Latin America what is the most revered skin color?,"['whiteness', 'whiteness', 'whiteness', 'whiteness', 'whiteness']",White,White skin,Mestizo,Olive or tan,Darker skin tones,Olive or tan,Olive or tan
What is the name of the latest epoch?,"['The Holocene', 'Holocene', 'The Holocene', 'Holocene']",The Anthropocene Epoch,The Anthropocene Epoch,Holocene,Anthropocene,Anthropocene,Holocene,Anthropocene
Who may introduce new laws or amendments to laws already on the books as a bill?,"['the Scottish Government', 'Scottish Government', 'the Scottish Government']",A senator or representative,Any member in the House of Representatives or the Senate,a member of Congress,Senator or representative,Members of Congress,A representative,members of Congress
How long did it take Johnson to respond to Kennedy?,"['approximately one week', 'one week', 'one week', 'one week', 'one week']",2 hours and 8 minutes,1 hour and 38 minutes,2 days,2 hours and 8 minutes,Five days,Five days,about two hours
How many tons does the Hereford Screen weigh?,"['8', '8 tonnes', 'nearly 8']",8 tons,8 tons,5 tons,8 tons,8 tons,7.25 tons,8 tons
What kind of cell identifies pathogens when the antibodies on its surface complex with a specific foreign antigen?,"['B cell', 'B', 'A B cell']",B cell,B cell,B cell,B cells,B cell,B cells,B cells
How large are Cytoplasmic ribosomes?,"['25 nm', '25 nm', '25 nm']",25-30 nm,20 to 30 nm,20 nanometers,20 to 30 nm in diameter,20 to 30 nm,25 × 20 nm,20 to 30 nm
Who are likely participants in creating an overall plan for the financial management of the building construction project?,"['Mortgage bankers, accountants, and cost engineers', 'Mortgage bankers, accountants, and cost engineers', 'Mortgage bankers, accountants, and cost engineers']","Financial institutions, developers, contractors, project managers","Contractors, project managers, lenders, and other stakeholders","architect, engineer, and contractor","Mortgage bankers, accountants, and cost engineers","Owner or general manager, estimators, superintendents, project managers","Project managers, contractors, suppliers, mortgage bankers, accountants, and cost engineers","project managers, contractors, suppliers, and clients"
Who was this season's NFL MVP?,"['Cam Newton', 'Cam Newton', 'Cam Newton']",Patrick Mahomes,Patrick Mahomes,Aaron Rodgers,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes,Patrick Mahomes
What type of discipline do critics want to see?,"['a more assertive and confrontational style', 'strict discipline', 'more assertive and confrontational']",Art history,Art history,disciplinary action,Art criticism,Less harsh discipline,Interpretive discipline,discipline-based
How many teachers are usually involved when co-teaching?,"['two or more', 'two or more', 'two or more']",Two,Two teachers,Two teachers,Two,More than one,Two teachers,two
On which date was Genghis Khan's palace rediscovered by archeaologists?,"['October 6, 2004', 'October 6, 2004', 'October 6, 2004']",13th century,around 1200,2004,6 October 2004,"October 6, 2004",6 October 2004,"October 6, 2004"
What Newcastle radio station is based at the Great North Children's Hospital?,"['Radio Lollipop', 'Radio Lollipop', 'Radio Lollipop']",Radio Lollipop (Newcastle),Radio Lollipop,Radio Lollipop,Radio Lollipop,Radio Lollipop,Radio Lollipop,Radio Lollipop
European imperialism was focused on what?,"['economic growth', 'economic growth', 'economic growth', 'economic growth', 'economic growth']",economic growth and political control,Economic growth and political control,economic exploitation and political control,economic growth and political control,"economic, political, racial, and religious motives",economic growth,"economic growth, political control, racial and moral superiority"
What percentage of Australia's dairy cattle are found in Victoria?,"['60%', '60%', '60%']",61 percent,62%,66%,61%,61%,61 percent,61-63%
Survival needs such as income for food and shelter motivates what type of entrepreneurship? ,"['Necessity-based', 'Necessity-based entrepreneurship', 'Necessity-based']",Survival Entrepreneurship,Necessity entrepreneurship,necessity entrepreneurship,necessity entrepreneurship,Necessity entrepreneurship,Necessity entrepreneurship,Social entrepreneurship
What type of festival is The Northern Rock Cyclone?,"['a cycling festival', 'a cycling festival', 'cycling festival,']",Cycling,Festival of cycling,cycling festival,Cycling festival,Cycling festival,Cycling festival,festival of cycling
What coalition rose up to oppose Louis XIV's France?,"['League of Augsburg', 'League of Augsburg', 'League of Augsburg']","England, the Dutch Republic, Austria, and the Holy Roman Empire","England, Sweden, and the Dutch Republic",Grand Alliance,Grand Alliance,The Grand Alliance,The Grand Alliance,The Grand Alliance
In what year did the film also mention the number of regenerations?,"['1996', '1996', '1996']",1996,1976,2013,1976,1974,1976,1996
What kind of memory was Tesla thought to have?,"['photographic memory', 'photographic', 'photographic']",Eidetic,Eidetic memory,photographic memory,Eidetic memory,Eidetic memory,eidetic memory,photographic and eidetic memory
What band headlined half-time during Super Bowl 50?,"['Coldplay', 'Coldplay', 'Coldplay']",Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay
How many homes had BSkyB's direct-to-home satellite service available to them in 2010?,"['10 million', '10 million', '10 million']",10 million,10 million,10 million homes,10 million,10 million homes,10 million homes,10 million
What applies to equally to constant velocity motion as it does to rest.,"['Inertia', 'Inertia', 'Inertia', 'Inertia', 'Inertia']",Newton's first law,Inertia,Newton's first law,Newton's First Law of Motion,Inertia,Newton's first law,Newton's first law of motion
How much can Ctenophores eat in one day?,"['ten times their own weight', 'ten times their own weight', 'ten times their own weight']",Ten times their own weight,Up to 10 times its weight per day,10-15% of their body weight,up to 10 times their weight,Up to 30 ctenophores per m3,ten times their own weight,up to 10 times their own weight
Which two leading roles did Audra McDonald perform when she was in high school?,"['Evita and The Wiz', 'Evita and The Wiz', 'Evita and The Wiz']","A Moon for the Misbegotten, 110 in the Shade",Several musicals,"Maria in ""The Sound of Music"" and Carrie in ""Carousel""",Bess in Porgy and Bess,A Moon for the Misbegotten and 110 in the Shade,Carousel and Master Class,Several musicals
When was the Britain Can Make It exhibition held?,"['between September and November 1946', 'between September and November 1946,', 'between September and November 1946']",1946,1946,1946,autumn of 1946,September to December 1946,September to December 1946,1946
Why has the corruption not be in the public view?,"['Because the operations of the armed forces have been traditionally cloaked by the ubiquitous blanket of “state security”', 'state security', 'state security']",It measures perceived levels of public sector corruption.,It is determined by expert assessments and opinion surveys.,lack of transparency,Lack of public awareness and media coverage.,"Lack of public disclosure and reporting, insecure property rights, and erosion of institutional trust.",Lack of trust in government,acts of corruption do not take place in broad daylight
In lands attributed to what tribe are found remains of large settlements?,"['Xingu tribe', 'Xingu', 'Xingu']",Mississippian,Mississippian culture,Mississippian tribe,Mississippian culture,Great Basin,"Adena, Hopewell, and Fort Ancient Native American cultures",Mississippian culture
How many Victorians are non-religious?,"['20%', '20%', '20%']",38.9%,42%,1 in 3,38.9%,39.3%,39.1%,39.3%
What did the increase in skilled workers lead to?,"['a decrease in the price of skilled labor', 'decrease in the price of skilled labor', 'decrease in the price of skilled labor']",Rising demand and increased wages,Higher wages,the Industrial Revolution,Rising wages and increased global demand,Economic growth and productivity,increase in wages and GDP growth,higher salaries
When was the last episode of the original series?,"['6 December 1989', '6 December 1989', '6 December 1989']","June 3, 1969","June 3, 1969",1969,"June 3, 1969","August 1, 2018","June 3, 1969",1969
"In a progressive tax, what increases as the taxable base amount increases?","['the tax rate', 'tax rate', 'tax rate']",tax rate and amount paid,Tax rate and amount paid,tax rate,tax rate,tax rates,The tax rate and amount paid,The tax rate and amount paid.
What is a recent civil disobedience done in a group form?,"['refuse to sign bail', 'collectively refuse to sign bail until certain demands are met', 'some activists who commit civil disobedience as a group collectively refuse to sign bail until certain demands are met', 'jail solidarity']",Extinction Rebellion,Dousing the Wall Street bull statue with fake blood,Extinction Rebellion protests,Climate change awareness protest,Large-scale protests,Protests,"""Derniere Renovation"" (Last Renovation)"
What experiences acceleration when external force is applied to a system?,"['center of mass', 'center of mass', 'the center of mass', 'the center of mass', 'the center of mass']",An object,an object,mass,the object within the system,The object within the system,The object,something within the system
"New cameras were introduced for the game, what degree of view do they provide viewers?","['360-degree', '360', '360']",Side-to-side view,69° and 108°,180-degree view,360-degree view,40 degrees,40 degrees,42 degrees
What is usual form of oxygen bound compounds?,"['oxides', 'oxides', 'oxides', 'oxides', 'oxides']",Octahedral iron complex,Oxyhemoglobin,oxide,Oxyhemoglobin,Oxyhemoglobin,Covalently bonded compounds,Oxyhemoglobin
What actually causes rigidity in matter?,"['the Pauli exclusion principle', 'the Pauli exclusion principle', 'Pauli exclusion principle', 'Pauli exclusion principle']",Tightly packed molecules,Tightly packed molecules,quantum mechanics,Strong force of attraction between particles,Atomic and molecular structures,Strong intermolecular forces,Strong intermolecular force
What titles are the President given?,"['the head of state and head of government', 'head of state and head of government', 'head of state and head of government']","""Mr. President"" and ""Madam President""","""Mr. President"" and Madam President",Mr. President or Madam President,"Chief of State, Chief Executive, Chief Administrator, Chief Diplomat, Commander-in-Chief, Chief Legislator, Chief of Party","Mr. President, leader of the free world, Commander in Chief","POTUS, Mr. President, Madam President","""Mr. President"" and ""Madam President"""
Why were Johann Esch and Heinrich Voes executed by the Catholic Church?,"['for Lutheran views', 'Lutheran views', 'Lutheran views,']",Adhering to Reformation doctrine,Adherence to Reformation doctrine,For heresy,Lutheran beliefs,Lutheran beliefs,Lutheran beliefs,Holding Lutheran beliefs
What did Gano hit on his 44-yard field goal attempt?,"['the uprights', 'the uprights', 'uprights']",Right post,Upright,the left upright,upright,right post,the right upright,right post
What did Luther think that faith could not be understood by?,"['reason', 'reason', 'human reason']",Unconverted reason,Good works,reason or logic,reason,reason or good works,The hiddenness of God,human reasoning or contemplation
When did the Channel 4 documentary Undercover Mosque air?,"['2007', '2007', '2007']","January 15, 2007","January 15, 2007",2007,January 2007,15 January 2007,"January 15, 2007","January 15, 2007"
Which Super Bowl did Roger Goodell speak about?,"['the 50th Super Bowl', 'the 50th', '50th']",Super Bowl LVI,Super Bowl LVI,Super Bowl 55,Super Bowl LVI,Super Bowl,Super Bowl LVI,Super Bowl 57
In what year did ABC stylize it's logo as abc?,"['1957', '1957', '1957']",1962,1962,1962,1962,1962,1962,1962
Who was responsible for the glass balustrade on the staircase and mezzanine in the main gallery?,"['Danny Lane', 'Danny Lane,', 'Danny Lane']",Danny Lane,Danny Lane,René Lalique,Danny Lane,Sté Art de fer,Danny Lane,Danny Lane
The Brotherhood's members are against consuming what beverage?,"['alcohol', 'alcohol', 'alcohol']",Alcohol,Alcohol,alcohol,Alcohol,Hard alcohol,Alcohol,alcohol
What pope as a native of Poland?,"['John Paul II', 'John Paul II', 'John Paul II']",John Paul II,Saint John Paul II,Pope John Paul II,Pope John Paul II,Pope John Paul II,Pope John Paul II,Pope John Paul II
When large groups of people all boycott a system or don't pay taxes it can be considered?,"['coercive', 'civil disobedience', 'coercive', 'coercive', 'civil disobedience']",a group boycott,Civil disobedience,Civil disobedience,tax resistance,protest or resistance,Tax resistance,tax resistance
Why is the collection dominated by fashionable clothes made for special occasions?,"['Because everyday clothing from previous eras has not generally survived', 'Because everyday clothing from previous eras has not generally survived', 'everyday clothing from previous eras has not generally survived', 'everyday clothing from previous eras has not generally survived']",to experiment with new concepts and styles,Influenced by cultural and social factors.,High demand,Brand image and aesthetic.,Current fashion trends and event attire.,Influenced by significant historical events,To build brand image and generate media coverage
What right do private schools have that public schools don't?,"['to select their students', 'select their students', 'select their students']",Curriculum freedom,Curriculum freedom,The right to select students,Not required to meet state testing requirements,Choose their own assessments and tests,Greater freedom in curriculum and electives,Academic freedom
How many major bus stations are in the city of Newcastle?,"['two', 'two', 'two']",Four,Four,2,Four,2,Four,Four
What part of the Earth is composed of mostly of silicates of iron and magnesium?,"[""Earth's mantle"", ""The Earth's mantle"", 'mantle', ""The Earth's mantle"", 'mantle']",lower mantle,The lower mantle,mantle,The mantle.,The Earth's mantle,The mantle,The Earth's mantle.
How did Natives in Logstown take Celeron's information?,"['informed Céloron that they owned the Ohio Country and that they would trade with the British regardless of the French', 'informed Céloron that they owned the Ohio Country and that they would trade with the British', 'they owned the Ohio Country', 'they owned the Ohio Country and that they would trade with the British regardless of the French']","They assured him that the Indians and the English ""were brothers.""",informed Céloron that they owned the Ohio Country and that they would trade,with skepticism,informed Céloron that they owned the Ohio Country and that they would trade with whomever they pleased,Trading with the English,They were likely influenced by the French.,Negatively
What rift system developed in the Alpine orogeny?,"['N–S', 'N–S', 'N–S rift system']",European Cenozoic Rift System,European Cenozoic Rift System,Rhine Rift Valley,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System
What day of the week was Media Day held on for Super Bowl 50?,"['Monday', 'Monday', 'Monday']",Monday,Monday,Monday,Monday,Monday,Monday,Monday
What entity did Tesla believe would not be able to solve the problems of the time?,"['League of Nations', 'the League of Nations', 'League of Nations']",Direct current,Destroying,government,Machine,AC or alternating current,destroying,machine
"What is the theory that this King's name is the origin of ""Huguenot"" called?","['The ""Hugues hypothesis""', '""Hugues hypothesis""', 'Hugues hypothesis']",Hugues hypothesis,Hugues hypothesis,Hugues theory,Hugues hypothesis,Besançon Hugues,Hugues hypothesis,Hugues hypothesis
How many species of trees can be found in the Amazon rainforest?,"['16,000', '16,000', '16,000']","Approximately 12,500","16,000",390 billion,"Approximately 12,500 tree species","Approximately 12,500","Approximately 12,500 tree species","12,500 to 16,000 species"
What is the southern region where protestants are concentrated?,"['Cévennes', 'Cévennes', 'Cévennes mountain region']",The Bible Belt,The Bible Belt,Bible Belt,South,The southern region where protestants are concentrated is the Bible Belt.,The Bible Belt,Southern United States
When did the attack occur in which the Normans impressed Prince Guaimar III occur?,"['999', 'In 999', '999']",summer 1076,13 December 1076,1053,During an attack by Saracen pirates.,999,999,around 1041
Which theory states that Earth's features remained unchanged after forming in one single catastrophic event?,"['catastrophism', 'catastrophism', 'catastrophism']",Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Uniformitarianism,Catastrophism
What can result in more equal distribution of income?,"['steeper tax', 'social spending', 'steeper tax progressivity']",Tax relief and income support or transfers,Progressive fiscal policies,progressive taxation,"progressive taxes, welfare systems, education, healthcare","Policies such as increasing the minimum wage, expanding the Earned Income Tax Credit, building assets for working families, investing in education, and making the tax system more progressive can result in a more equal distribution of income.",Government policies,"Various policies, redistribution of income, universal health care, and better access to education opportunities."
The Center in Paris is located near what river?,"['Seine', 'Seine', 'the Seine']",River Seine,Seine River,Seine River,River Seine,River Seine,Seine River,River Seine
Whose theory was the theory of continental drift?,"['Alfred Wegener', 'Alfred Wegener', 'Alfred Wegener', 'Alfred Wegener']",Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener
What could inverted repeats help do?,"['stabilize the rest of the chloroplast genome', 'stabilize the rest of the chloroplast', 'help stabilize the rest of the chloroplast genome']","Define boundaries, indicate self-complementary regions",Indicate regions capable of self-complementary base pairing,Regulate gene expression,Define boundaries and indicate self-complementary base pairing.,"mediate genome instability, control gene expression, prevent degradation of damaged DNA, promote DNA rearrangement","Mediate genome instability, control gene expression","Promote genome instability, gene amplification, and self-complementary base pairing."
What are incompetent government's commitment to social justice limited to?,"['rhetoric', 'rhetoric', 'rhetoric']",Inadequate social safety nets,Regulating mechanisms,rhetoric,addressing concerns for the poor and social justice,Specific measures and reforms within various departments,Limited commitment,Generalized subsidies or transfers to large sections of the population
What is the grace that we receive by faith and trust in God?,"['Justifying Grace or Accepting Grace', 'Justifying Grace or Accepting Grace', 'Justifying Grace']",God's grace,Salvation,justification,Salvation,Undeserved favor,Undeserved favor,undeserved favor
In what year was the ordination order of transitional deacon abolished?,"['1996', '1996', '1996']",1996,1996,1967,1996,1996,1996,1996
