Question,GT Answer,"hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google"
What part of Australia is Alice River and Rupertswood in?,['Victoria'],"Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia.","Alice River is in Queensland, and Rupertswood is in Victoria, Australia."
"Who wrote the book that inspired the name of the CD/DVD ""Here at the End of All Things""?",['J. R. R. Tolkien'],The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,"""The Lord of the Rings: The Return of the King""","""The Lord of the Rings: The Return of the King""","""The Lord of the Rings: The Return of the King""",The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,"""The Lord of the Rings: The Return of the King""","""The Lord of the Rings: The Return of the King""",The Lord of the Rings: The Return of the King,"""The Lord of the Rings: The Return of the King""","""The Lord of the Rings: The Return of the King""",The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,"""The Lord of the Rings: The Return of the King""","""The Lord of the Rings: The Return of the King""",The Lord of the Rings: The Return of the King,"""The Lord of the Rings: The Return of the King""","""The Lord of the Rings: The Return of the King""","""The Lord of the Rings: The Return of the King""","""The Lord of the Rings: The Return of the King""","""The Lord of the Rings: The Return of the King"""
What was Todd Boehly's former position at the firm where Mark Walter is the CEO?,['president'],President,President,President,President,President,CEO,CEO,CEO,CEO,CEO,CEO,CEO,CEO,CEO,CEO,CEO,CEO,CEO,CEO,CEO,"Co-founder, Chairman, and Chief Executive Officer","Co-founder, Chairman, and Chief Executive Officer","Co-founder, Chairman, and Chief Executive Officer","Co-founder, Chairman, and Chief Executive Officer","Co-founder, Chairman, and Chief Executive Officer"
What British novelist born in November 1898 wrote Surprised by Joy: The Shape of My Early Life?,['Clive Staples Lewis'],C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C. S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C.S. Lewis,C. S. Lewis,C. S. Lewis,C. S. Lewis,C. S. Lewis,C. S. Lewis
"The actress that plays Charity in the drama series ""Greenleaf"" is a member of a musical family from what city and state?","['Detroit, Michigan']","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan"
What is the population of the province Herald Provincial Park is in?,['more than four and a half million people'],Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Over 5.5 million,Approximately 5.1 million,Approximately 5.1 million,Approximately 5.1 million,Approximately 5.1 million,Approximately 5.1 million
Are Eve Beglarian and Zach Bogosian both of Armenian descent?,['yes'],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"In what year year was the believed subject of the Lenny Kravitz song ""Lady"" born?",['1967'],1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967
The Cinematic Orchestra was signed to the record label based in what city?,['London'],London,Motion Audio Records,Motion Audio Records,Motion Audio Records,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,Motion Audio Records,UK,UK,UK,UK,Ninja Tune,Ninja Tune,Ninja Tune,Ninja Tune,Ninja Tune
What is the name of shipping magnate Mærsk Mc-Kinney Møller' father?,['A.P. Møller'],Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller,Arnold Peter Møller
"What Pakistani actor and writer from Islamabad helped write for the 2012 Pakistani comedy drama sitcom, ""Coke Kahani""?",['Yasir Hussain'],Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed,Syed Mohammad Ahmed
How to Irritate People was a broadcast written by an English actor who got his start on what television program?,['The Frost Report'],Boyz Unlimited,Boyz Unlimited,How to Irritate People,How to Irritate People,How to Irritate People,"""How to Irritate People""",How to Irritate People,How to Irritate People,How to Irritate People,Boyz Unlimited,The Frost Report,The Frost Report,The Frost Report,The Frost Report,The Frost Report,The Frost Report,The Frost Report,The Frost Report,The Frost Report,How to Irritate People,The Frost Report,The Frost Report,The Frost Report,The Frost Report,The Frost Report
Which band was formed earlier: Marianas Trench or Tse Tse Fly?,['Tse Tse Fly'],Tse Tse Fly,Tse Tse Fly,Tse Tse Fly,Tse Tse Fly,Tse Tse Fly,Tse Tse Fly,Tse Tse Fly,Tse Tse Fly,Tse Tse Fly,Tse Tse Fly,Tsetse fly,Tsetse fly,Tsetse fly,Tsetse fly,Tsetse Fly,Tse Tse Fly,Tse Tse Fly,Tse Tse Fly,Tse Tse Fly,Tse Tse Fly,Mariana Trench,Mariana Trench,Mariana Trench,Mariana Trench,Mariana Trench
" The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles which is a Eurpean dynasty resulting in what family?",['Mountbatten family'],Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,Mountbatten family,House of Windsor,House of Windsor,House of Windsor,House of Windsor,House of Windsor
The physicist who is responsible for identifying the Rabi cycle won what award?,['Nobel Prize'],Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics,Nobel Prize in Physics
"Who is older, Thomas Friedman or English author David Lodge?",['David John Lodge CBE'],David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge,David Lodge
Where is the origin of Tie Domi who was a player for the Maple Leafs?,['Albanian origin'],"Windsor, Ontario, Canada","Windsor, Ontario, Canada","Windsor, Ontario, Canada","Windsor, Ontario, Canada","Windsor, Ontario, Canada","Windsor, Ontario","Windsor, Ontario","Windsor, Ontario","Windsor, Ontario","Windsor, Ontario","Windsor, Ontario, Canada","Windsor, Ontario, Canada","Windsor, Ontario, Canada","Windsor, Ontario, Canada","Windsor, Ontario, Canada","Windsor, Ontario","Windsor, Ontario","Windsor, Ontario","Windsor, Ontario","Windsor, Ontario","Windsor, Ontario, Canada","Windsor, Ontario, Canada","Windsor, Ontario, Canada","Windsor, Ontario, Canada","Windsor, Ontario, Canada"
What type of media do Peter Filkins and The New Criterion have in common?,['journal'],Literary media.,Literary media.,Literary media.,Literary media.,"Both have published poems, essays, and reviews.","Both have published poems, essays, and reviews.","Both have published poems, essays, and reviews.","Both have published poems, essays, and reviews.","Both have published poems, essays, and reviews.","Both have published poems, essays, and reviews.","Poems, essays, reviews, and translations","Poems, essays, reviews, and translations","Poems, essays, reviews, and translations","Poems, essays, reviews, and translations","Poems, essays, reviews, and translations",Poetry and essays,Poetry and essays,Poetry and essays,Poetry and essays,"Poems, essays, reviews, and translations",Literary criticism and poetry.,Literary criticism and poetry.,Literary criticism and poetry.,Literary criticism and poetry.,Literary criticism and poetry.
When was the album released for which Lady Gaga used for material for her Super Bowl LI halftime show?,"['October 21, 2016']","October 21, 2016","October 21, 2016","October 21, 2016","October 21, 2016","October 21, 2016",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"How long did The Shire of Flinders, which encompassed the extremity of the Mornington Peninsula located south-east of Melbourne, Australia, exist?",['1874 until 1994'],1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994,1874 until 1994
Giovanna d'Arco is an opera that was created by the composer of what nationality?,['Italian'],Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian,Italian
British Airways and EasyJet are both based out of where?,['London'],"London, England","London, England","London, England","London, England","London, England",London,"London, England","London, England","London, England","London, England",London,London,London,London,"London, England",London,London,London,London,London,"London, England","London, England","London, England","London, England","London, England"
Victor Koman's Ph.D.  in Information Technology was conferred by a university located in which city ?,['Minneapolis'],Minneapolis,"Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota","Minneapolis, Minnesota"
"What was the name of the fanzine that interviewed the Sex Pistols bassist when he was in the band ""The Flowers of Romance?""",['SKUM'],Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum fanzine,Skum Fanzine,Skum Fanzine,Skum Fanzine,Skum Fanzine,Skum Fanzine
What was the nationality of the composer of Chaconne in F minor?,['German'],German,German,German,German,German,German,German,German,German,German,German,German,German,German,German,German,German,German,German,German,German,German,German,German,German
What is the birthday of the man who played Lex Luthor in Superman IV: The Quest for Peace?,"['January 30, 1930']","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930","January 30, 1930"
