Question,GT Answer,hotpotqa-long_react_text-davinci-002_google,"hotpotqa-long_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-long_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",hotpotqa-long_vanilla_gpt-3.5-turbo-1106_google,hotpotqa-long_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,hotpotqa-long_multihop_gpt-3.5-turbo-1106_google,hotpotqa-long_dsp+sample_gpt-3.5-turbo-1106_google,hotpotqa-long_dsp+knn_gpt-3.5-turbo-1106_google
"Fantasy Records is know for recordings of comedian Lenny Bruce, Creedence Clearwater Revival, and what American jazz pianist who composed the music for the animated television adaptations of the ""Peanuts"" comic strip?",['Vincent Anthony Guaraldi'],,Vince Guaraldi,Vince Guaraldi,Vince Guaraldi,Vince Guaraldi,Vince Guaraldi,Vince Guaraldi,Vince Guaraldi
"This art gallery is a museum was founded and built by the industrialist and philanthropist who briefly sat as a Liberal MP for Wirral and later, as Lord Leverhulme, in the House of Lords as a what?",['Peer'],,Peer,Peer,"William Lever, 1st Viscount Leverhulme","William Lever, 1st Viscount Leverhulme",William Lever,Peer,Peer
"What was the name of the team that represented an Arizona university in the conference that covers a broad expanse of the western United States, including Arizona, California, and New Mexico?",['Arizona State Sun Devils'],,Arizona Wildcats,Grand Canyon University,Arizona Wildcats,Arizona Wildcats,Arizona Wildcats,Arizona Wildcats,Arizona Wildcats
"What was the location of the execution of Roger David Casement, the Irish Nationalist who made made efforts during World War I to gain German military aid for the 1916 Easter Rising that sought to gain Irish independence?","[""Casement's Fort""]",Ireland,"Pentonville Prison in London, England","Pentonville Prison in London, England","Pentonville Prison in London, England",Pentonville Prison,Pentonville Prison,Pentonville Prison,"London, England"
"Who was the director of the 2000 American comedy film in which the actress, whose first role in film was in director Martin Kunert's film ""Campfire Tales"", played a role?",['Todd Phillips'],,Donald Petrie,Todd Phillips,Nora Ephron,Todd Phillips,Todd Phillips,Todd Phillips,Todd Phillips
"Which show which aired on NBC from September 22, 1994, to May 6, 2004, has the fifteenth episode entitled, ""The One with the Girl Who Hits Joey""?",['Friends'],Friends,Friends,Friends,Friends,Friends,Friends,Friends,Friends
"The Bodie & Benton Railway was a narrow gauge common carrier railroad in California, from the Mono Mills to a terminus in a ghost town located how many miles away from Lake Tahoe ?",['75 mi'],75 miles,Over 100 miles,75 miles,32 miles,32 miles,83.77 miles,75 miles,75 miles
"Hudson Austin formed a military government with himself as chairman to rule Grenada, after the killing of a Grenadian politician who was the leader of what movement that was an effort in the areas of socio-economic development, education, and black liberation?",['New Jewel Movement'],New Jewel Movement,New Jewel Movement,New Jewel Movement,Maurice Bishop.,New Jewel Movement,New Jewel Movement,New Jewel Movement,New Jewel Movement
"Peter Marc Jacobson is best known as the co-creator of the popular sitcom ""The Nanny"", which he created and wrote with his then wife an actress born in which year ?",['1957'],1957,1957,1957,1957,1957,1950s,1957,1957
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",['Scott Adkins'],,Jean-Claude Van Damme,Scott Adkins,Scott Adkins,Scott Adkins,Scott Adkins,Scott Adkins,Scott Adkins
"Out of two American colonies that had a series of skirmishes and raids between 1701 and 1765 at the disputed border, which British proprietary colony became a royal colony on the northeast coast of North America?",['Province of New York'],one of the Thirteen Colonies,Province of New York,The Province of New York,Massachusetts Bay Colony,Province of New York,New York,Province of New York,Province of New York
House of Many Ways is a young adult fantasy novel set in the same world as a novel that was adapted as an animated film of the same name and nominated for what?,['Academy Award for Best Animated Feature'],Academy Award for Best Animated Feature,Academy Award for Best Animated Feature,Academy Award for Best Animated Feature,"Howl's Moving Castle, nominated for an Academy Award",Academy Award for Best Animated Feature,Academy Award for Best Animated Feature,Academy Award,Academy Award for Best Animated Feature
"The ""New York Times"" bestselling book ""The 50th Law"" contains lessons and anecdotes from this historical figure who was a classical Greek (Athenian) philosopher who is known mainly through the writings of which philosopher?",['Plato'],Plato,Plato,Socrates,Robert Greene,Plato,Socrates,Plato,Socrates
Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,['Captain John Underhill'],,Captain John Underhill,Captain John Underhill,David Pietersz. de Vries,Captain Kieft,John Underhill,William Kieft,Captain John Underhill
"The Fast On-orbit Rapid Recording of Transient Events (FORTE) was co-developed and launched by this lab located a short distance northwest of Santa Fe, New Mexico that was involved with which nuclear weapon program during World War II?",['Manhattan Project'],Manhattan Project,Los Alamos National Laboratory,Los Alamos National Laboratory,Los Alamos National Laboratory,Los Alamos National Laboratory,"Los Alamos National Laboratory

---",Los Alamos National Laboratory,Los Alamos National Laboratory
Jullian Allen a Brittish-American Illustrator had some of his Illustration published appear in Queen magazine. In 1970 the magazines name was changed to Harper's and Queen. What is the name of the magazine now ?,"[""Harper's Bazaar""]",Harper's Bazaar,Harper's Bazaar,Harper's Bazaar,Harper's Bazaar,Harper's Bazaar,Harper's Bazaar,Harper's Bazaar,Harper's Bazaar
"Which tournament, organised by the Professional Darts Corporation, is planned to finish at the multi-purpose indoor arena located in the centre of The O2 entertainment complex on the Greenwich Peninsula in south-east London?",['2018 Unibet Premier League Darts'],PDC World Darts Championship,PDC World Darts Championship,PDC World Darts Championship,Premier League Darts,Cazoo Premier League Darts,Paddy Power World Darts Championship,Premier League Darts,Premier League Darts
"What German medium tank, sometimes called the ""Mark V"", that was deployed on the Eastern and Western fronts from mid-1943 provided the armor and suspension for the chassis of the tank destroyer built by Nazi Germany during World War II?",['The Panther'],,Panther tank,Panther tank,Panther tank,Panther tank,Panther tank,Panther tank,Panther tank
"How many Grammy Award nominations has the musician who Graham Maby has recorded and toured with since his first album, and whose first release was ""Is She Really Going Out with Him"", won?",['5'],five,Five,five,Five.,Five,Five Grammy Award nominations,Five,five
"Which of the seven Disney characters who had been given a series of their own, starring in cartoons who opened with their own logo  is a fictional character who first appeared in Disney's ""Pinocchio""?",['Figaro'],Snow White,Pinocchio,Jiminy Cricket,Jiminy Cricket,Figaro,Figaro,Figaro,Figaro
"What is the first name of the woman who, like Tryphosa Bates-Batcheller, was criticised for being publicly tolerated as a singer due to her wealth, despite a lack of talent?",['Narcissa'],Florence,Florence,Florence,Florence,Florence,Florence,Florence,Florence
 Ruffin Horne McNeill Jr. an American football coach was named interim head coach after the suspension of a head coach that lead the team to winning seasons in every year of his what?,['tenure'],yes,tenure,tenure,Six seasons,tenure,interim head coaching tenure,tenure,tenure
"What was the middle name of the actress who was cast alongside Harvey Fierstein, Linda Hart, Dick Latessa, Clarke Thorell, Mary Bond Davis, Laura Bell Bundy, Matthew Morrison, Corey Reynolds, and Marissa Jaret Winokur in Hairspray?",['Marie'],Ann,Jaret,Baillio,Ruth,Jaret,Jaret,Margaret,Jaret
"The actor who plays the grown version of Emma Swan's son, from ""Once Upon a Time"", also plays what character in the television show ""The Walking Dead""?",['Gareth'],Hershel Greene,Gareth,Gareth,Henry Mills.,Andrew J. West,,Gareth,Sasha
Where did Henri Christophe and other slaves hold an uprising from 1791 to 1804 that led to the founding of a state which was both free from slavery and ruled by non-whites and former captives?,['Saint-Domingue'],Kingdom of Haiti,Haiti,Haiti,Haiti,Haiti,Saint-Domingue,Haiti,Saint-Domingue (Haiti)
" Underfist: Halloween Bash was going to be the setup for a new series spin-off but the contract expired with a cable and television station that was launched on October 1, 19962 by whom?",['Betty Cohen'],Damon Hill,John Walson,Cartoon Network,Cartoon Network,Cartoon Network,Fox News,Cartoon Network,Fox News
"What type of development, currently existing in Pasay, is currently being considered for malls such as one in M.A. Roxas Avenue in Clark Freeport, Angeles City in Pampanga Philippines?",['SM Lifestyle Cities'],shopping malls,Reclamation projects,Mixed-use developments,Mixed-use development,Shopping mall,Linear park or promenade,Business and leisure hub,Special economic zone
"Billy King was an Australian rules footballer who participated in a game that was contested between the South Melbourne Football Club and Carlton Football Club, and was held at what location in Melbourne in 1945?",['Princes Park'],,Princes Park in Melbourne,Melbourne,Princes Park.,Melbourne,Princes Park,Princes Park,Princes Park
"In which 2017 film did this South Korean actor of  ""Dream High"" (2011) and the 2012 South Korean television drama series featuring Han Ga-in, Jung Il-woo and Kim Min-seo appeared in 2017?",['Real'],Real,Real,Real,The Battleship Island,Real,"""The King""",Real,Real
Who was the woman whose execution for treason by German firing squad was the reason for Prussian Generalleutnant (Lieutenant General) Traugott von Sauberzweig's replacement as Military Governor of Brussels in 1915?,['Edith Louisa Cavell'],,Edith Cavell,Edith Cavell,Gabrielle Petit,Edith Cavell,Edith Cavell,Edith Cavell,Edith Cavell
"In the USA, a tobacconist, also called a tobacco shop or smoke shop, is traditionally represented by which advertisement figure, that is often a three-dimensional wooden sculpture several feet tall?",['wooden Indian'],a wooden Indian,Cigar store Indian,Cigar store Indian,The cigar store Indian,Cigar store Indian,Cigar store Indian,Cigar store Indian,Cigar store Indian
"Name the movie that was cowritten by Paul Rudd and the director of the 2011 British science fiction horror comedy film written and directed by Joe Cornish and starring John Boyega, Nick Frost, Jodie Whittaker and Luke Treadaway.",['Ant-Man'],Shaun of the Dead,Ant-Man,"""Attack the Block""",Ant-Man,Attack the Block,Ant-Man,Ant-Man,Ant-Man
"When was the German actress born who is best known for her role as the Borg Seven of Nine and who has role in  ""Body of Proof"" as Dr. Kate Murphy?","['February 22, 1968']",,"February 22, 1968","February 22, 1968","March 23, 1968","February 22, 1968","February 22, 1968","February 22, 1968","February 22, 1968"
"Ithihasa and the Indian music composer of  ""Chronic Bachelor"", ""Udayananu Tharam"", ""Naran"", ""Puthiya Mukham,"" ""Urumi"", ""Grandmaster"" and ""Bhaskar the Rascal"" are known in what type of films/cinema?",['Malayalam'],Indian films/cinema,Malayalam cinema,Malayalam cinema,Malayalam films.,Malayalam cinema,Malayalam cinema,Malayalam cinema,Malayalam-language films
"The 2008 IIHF World Championship rosters recognized the top defenceman as which Canadian professional ice hockey defenceman, who at times has been utilized as a forward, currently playing for the San Jose Sharks of the National Hockey League (NHL)?",['Brent Burns'],Brent Burns,Brent Burns,Brent Burns,Brent Burns,Brent Burns,Brent Burns,Brent Burns,Brent Burns
"Who is the American singer-songwriter, who won an award for Best Female Video at the 2009 MTV Video Music Awards, and wrote a song for the 'AT&T Team USA Soundtrack'?",['Taylor Swift'],Tiffany Red,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift,Taylor Swift
"Which combat technique also known as Wushu Sanda, is the character of Wu Jing trained with in the 2006 Hong Kong martial arts film, written, produced and directed by Dennis Law.",['Sanshou (Wushu Sanshou)'],Wushu Sanda,Wushu Sanda,Sanshou martial arts,Sanda,Wushu Sanda,Sanshou,Sanshou martial arts,Sanshou martial arts
What is the birthdate of this Norwegian professional footballer who plays as an attacking midfielder and who broke the record for the youngest player that has ever played in the Norwegian top league?,['17 December 1998'],No more results.,"December 17, 1998","December 17, 1998","December 19, 2004","December 17, 1998","December 17, 1998","December 17, 1998","December 17, 1998"
"How often do trains run on the system which has a terminal station located at the intersection of 32nd Street and Sixth Avenue in the Herald Square neighborhood of Manhattan, New York City?",['24 hours a day and 7 days a week'],,Every few minutes,Every 10 minutes from 6 a.m. to 9 p.m.,Every 4-10 minutes.,Frequently,Every 2-3 minutes,"24 hours a day, 7 days a week",Frequently
"What was the name of the Danish musician who died in 1931 and who composed String Quartet No. 4 in F major or Quartet for Two Violins, Viola and Cello in F major, Opus 44 ?",['Carl August Nielsen'],,Carl Nielsen,Carl Nielsen,Carl Nielsen,Carl Nielsen,Carl Nielsen,Carl Nielsen,Carl Nielsen
"Rynella is an unincorporated community named after the daughters of a conservationist who presided of the maker of a brand of hot sauce made from vinegar, salt and what kind of peppers? ",['tabasco peppers'],chili peppers,Tabasco peppers,Louisiana,Tabasco peppers,Aged hot peppers,Fine peppers,Aged long cayenne peppers,Cayenne peppers
"Who was the another star in the television series Ma Boy who worked with the South Korean actress who began her career as a child actress in 2006 and initially gained public attention for ""Moon Embracing the Sun"" (2012)?",['Sun Woong'],Bora,Kim Sun-woong,Kim Sun-woong,Kim So-hyun,Sun Woong,Kim Sun-woong,Kim Sun-woong,Kim Sun-woong
"In the Cherokee Rose episode of ""The Walking Dead,"" the character that continues to search for Sophia Peletier is portrayed by an actor who is also famous for his work in what company's advertisements?",['Prada'],Chandler Riggs,Cruelty Free International,Quaker Oats Company,Hyundai,Hyundai,Golden Corral,Cruelty Free International,Philip Morris
"High School Confidential, an eight part documentary followed twelve high school teenagers from a high school in Overland Park, Kansas that ranked what in the 2009 Newsweek ranking of the top 1,500 high schools in the United States?",['#364'],"Overland Park, Kansas",452nd,#364,12th,"Not ranked in the top 1,500.",#364,#364,#364
"Of which painting was this German dancer, actress, and writer who lived during the Weimar period and appeared in the 1918 German silent drama film ""The Story of Dida Ibsen"" the subject?",['an Otto Dix painting'],The Diary of a Lost Girl,Otto Dix painting,The Story of Dida Ibsen,Portrait of a Young Girl (1918) by Otto Dix,Otto Dix,Portrait of the Dancer Anita Berber,Portrait of the Dancer Anita Berber,Portrait of the Dancer Anita Berber
Sudha Kheterpal who is  musician best know as the percussionist in Faithless has played with what singer who is recognized at the highest-selling Australian artist of all time by the Australian Recording industry Association?,['Kylie Ann Minogue'],Kylie Minogue,Kylie Minogue,Dido,Kylie Minogue,Kylie Minogue,John Farnham,Kylie Minogue,No Angel
"The Look of Love"" is a popular song which appeared in the 1967 spoof James Bond film ""Casino Royale"", a film based on the novel of the same name by which author?",['Ian Fleming'],Ian Fleming,Ian Fleming,Ian Fleming,Ian Fleming,Ian Fleming,Ian Fleming,Ian Fleming,Ian Fleming
"What time did a Fox News show formally hosted by the author of ""The Swamp: Washington's Murky Pool of Corruption and Cronyism and How Trump Can Drain It"" air?",['Saturdays at 11:30 am ET'],9:00 p.m.,5 p.m. ET,5 p.m.,7 p.m. ET.,5 p.m.,5 p.m. ET,11 p.m. to midnight ET,5-6PM/ET
"New Hampshire Route 124 runs between two regions, one of which is found in Cheshire County, New Hampshire, United States with the population of about 2000 and is named what?",['Marlborough'],Marlborough,Marlborough,Marlborough,Jaffrey,Jaffrey,Troy,Troy,Jaffrey
"Mr. Wilson's Cabinet of Wonder: Pronged Ants, Horned Humans, Mice on Toast, and Other Marvels of Jurassic Technology is a book about a museum that is located in which city ?",['Los Angeles'],"Los Angeles, California","Los Angeles, California",Los Angeles,Los Angeles,Los Angeles,Los Angeles,"Los Angeles, California",Los Angeles
"The brewing company known for making Genny Light, a beer with only 100 calories per 12 ounce portion, and located along the Genesee River, was formerly known by what brewery name?",['High Falls Brewery'],Genesee Brewing Company,High Falls Brewing Company,Reisky & Spies,Genesee Brewing Company,Genesee Brewing Co.,High Falls Brewing Company,High Falls Brewing Company,Reisky & Spies
"What is the nick name of this former American professional football player who played as a linebacker for the Seattle Seahawks in the National Football League (NFL) and appeared on the American detective television ""Lawless?""",['The Boz'],Alligator,The Boz,"""the Boz""",The Enforcer,"""the Boz""","""the Boz""","""the Boz""",The Boz
The second studio album by The D.O.C was named as a reference to Charles Manson's idea of a Beatles' song which was a product of McCartney's attempt to create what kind of sound?  ,['as loud and dirty as possible'],,rock 'n' roll,loud and dirty,"No One Can Do It Better, a pop sound.",Loud and dirty,Loud and dirty,Loud and dirty,"""Helter Skelter"""
"What years did Jose Gonzalo Rodriguez Gacha and other leaders of fthe Medallin Cartel operate in Boliva, Colombia, Central America, Peru, the United States, Canada, and Europe?",['1970s and 1980s'],"Boliva, Colombia, Central America, Peru, the United States, Canada, and Europe",1976 to 1993,1976 to 1993,1976-1993,1976 to 1993,1976-1993,1976 to 1993,1976 to 1993
The German geographer and geopolitician Otto Maull was part of a team led by Haushofer whose close associate was a prominent politician in Nazi Germany born in 1894 who served under Hitler in 1933 as what capacity?,['Appointed Deputy Führer'],politician,Deputy Führer,Deputy Führer,Minister of the Interior,Deputy Führer,Deputy Führer,Deputy Führer of the Nazi Party,Deputy Führer of the Nazi Party
"In addition to Jennifer Tilly, Brian Backer, Sally Kellerman, Nedra Volz, Clara Peller, Wendie Jo Sperber and the actor born on June 22 1958 in Wilmette, Illinois, who else starred in Moving Violations?",['Fred Willard'],,James Keach,John Murray,John Murray,John Murray,John Murray,John Murray,John Murray
What corporation does the company that publishes the monthly magazine that focuses almost exclusively on the Western United States and featured photograph by Julius Shulman of a home designed by Rodney Walker belong to?,['Southern Progress Corporation'],,Sunset Publishing Corporation,Sunset Publishing Corporation,Sunset Publishing Corporation,Getty Research Institute,A regional publishing company,Getty Research Institute,Sunset Publishing Corporation
"Having written singles for several country acts, including Randy Travis, Blake Shelton, and Keith Whitley, what singer song writer achieved his 3rd No 1 single by writing ""Always and Forever""?",['Paul Overstreet'],Raye,Paul Overstreet,Rod Temperton,Dean Dillon,Paul Overstreet,Don Schlitz,Paul Overstreet,Paul Overstreet
"Aside from the all-NBA third team member in 1995 who was also a three-time NBA All-Star and the NBA Sixth Man of the Year twice, which other two players were selected for the 1997 NBA All-Star Game from the Seattle SuperSonics?","['Gary Payton, Shawn Kemp']","Joe Dumars, Detlef Schrempf, Chris Webber, Chris Gatling, and Kevin Garnett",Gary Payton and Shawn Kemp,Gary Payton and Shawn Kemp,Gary Payton and Shawn Kemp,Gary Payton and Shawn Kemp,Gary Payton and Shawn Kemp,Gary Payton and Shawn Kemp,Gary Payton and Shawn Kemp
"Although Michael Fincke's record was broken by Scott Kelly, commander of the International Space Station (ISS) on Expeditions 26, 45, and 46, what was his record for the most time in space?",['381.6 days'],Scott Kelly,381.6 days,381.6 days,382 days,382 days,"365 days, 21 hours and 32 minutes",382 days,381.6 days
What is the date of the reissue of one of Rhihanna's album that features three newly recorded songs and a DVD showing exclusive behind-the-scenes footage of Rihanna's worldwide tour that was the second overall and first world concert tour by Rihanna?,"['June 2, 2008']",June 2008,"June 17, 2008","June 2, 2008","February 8, 2006","June 2, 2008","May 31, 2007","June 2, 2008","June 17, 2008"
"In addition to Syosset Central, Half Hollow Hills Central, and the school district that has Henry L. Grishman as its superintendent, what other school district is near Hauppauge Union Free School District?",['Commack School District'],Syosset Central School District,Commack School District,Commack School District,Commack Union Free School District,Jericho Union Free School District,Commack School District,Commack School District,Commack School District
"When was the judge born who made notable contributions to the trial of the man who tortured, raped, and murdered eight student nurses from South Chicago Community Hospital on the night of July 13-14, 1966?","['June 4, 1931']","December 6, 1941","July 9, 1905","July 9, 1905",1927,Before 1966,"June 4, 1931","June 4, 1931","December 6, 1941"
"This American is best known for his work on such Disney animated films as ""Beauty and the Beast"" and a 1996 American animated musical drama film whose plot centers on who?",['Quasimodo'],Gary Trousdale,Quasimodo,Quasimodo,"Gary Trousdale, ""The Hunchback of Notre Dame""",Quasimodo,Alan Menken,Glen Keane,Quasimodo
"Rowland Salley's best-known tune is ""Killing the Blues"", which has been most recently covered by which American singer-songwriter active mainly in the outlaw country music and Southern rock genres?",['Shooter Jennings'],Shooter Jennings and Billy Ray Cyrus,Shooter Jennings,Shooter Jennings,Chris Stapleton,John Prine,Shooter Jennings and Billy Ray Cyrus,Shooter Jennings,Shooter Jennings and Billy Ray Cyrus
"Who was the singer of the song that held the record for most weeks spent at number one by a female country artist until it was surpassed by the the one named second best song of 2012 by ""Rolling Stone Magazine""?",['Connie Smith'],"""Love Story"" by Taylor Swift","Maren Morris, Taylor Swift",Maren Morris,Taylor Swift,Carrie Underwood,Taylor Swift,Taylor Swift,Taylor Swift
"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",['Anthony Rapp'],Anthony Rapp,Anthony Rapp,Anthony Rapp,Anthony Rapp,Anthony Rapp,Anthony Rapp,Anthony Rapp,Anthony Rapp
"What is the title of the 1979 film adaptation of William Shakespeare's play in which the English poet, actor, political activist and dramatist who wrote wrote a number of book-length polemical poems such as ""Autogeddon"", ""Falling for a Dolphin"" and ""Whale Nation"" played a main character?",['The Tempest'],"Hamlet, Hamlet",The Tempest,The Tempest,Hamlet,The Tempest,The Tempest,The Tempest,The Tempest
"What is the nationality of this actor, film producer and musician who has lived most of his life in Australia and appeared in Romper Stomper alongside Daniel Pollock, Jacqueline McKenzie and Tony Lee?",['New Zealand citizen'],American,New Zealand/Australian,New Zealand/Australian,Russell Crowe,New Zealander,New Zealand/Australia,New Zealand,New Zealand
"Lost Kingdom Adventure is a dark ride located at four Legoland theme parks, including which park, which is the original Legoland park, that was opened on June 7th, 1968?",['Legoland Billund'],"Billund, Denmark",Legoland Billund,Legoland Billund Resort,Legoland Billund Resort,Legoland Billund Resort,Legoland Billund Resort,Legoland Billund Resort,"Billund, Denmark"
"Jessica Jones is a television series created for Netflix, the second in the series of the shows that lead to ""The Defenders"" miniseries after what show released on Netflix earlier?",['Daredevil'],Jessica Jones,Daredevil,Daredevil,Daredevil,Daredevil,Daredevil (Season 2),Daredevil,Daredevil
"Which Austrian and later American chess master who was also a highly influential writer and chess theoretician competed for the first contest  that was defined ""in advance"" as being for the world championship?",['Steinitz'],,Wilhelm Steinitz,Wilhelm Steinitz,Wilhelm Steinitz,Alexander Alekhine,Wilhelm Steinitz,Wilhelm Steinitz,Wilhelm Steinitz
"Which band did this American businessman, music publisher, writers' representative, filmmaker and record label executive manage while simultaneously managing this group of the album ""More Hot Rocks?""",['the Beatles'],,Rolling Stones,Rolling Stones,The Rolling Stones,The Rolling Stones,The Rolling Stones,The Rolling Stones,The Rolling Stones
"Vices and Virtues, coincidentally released just four days after ""Vices & Virtues"" by Las Vegas band Panic! at the Disco, was the second studio album by which Canadian rock band?",['Art of Dying'],The Canadian rock band I am looking for does not seem to exist.,Art of Dying,Art of Dying,Marianas Trench,Art of Dying,Art of Dying,Art of Dying,Art of Dying
"Which American artist, who also illustrated works by Bill Nye and George W. Peck, illustrated an 1876 novel by Mark Twain about a young boy growing up along the Mississippi River?","['Truman W. ""True"" Williams']",George Wilbur Peck,"""True"" Williams",True Williams,True Williams,"""True"" Williams",True Williams,"""True"" Williams",True Williams
"Which ""The Chronicles of Narnia"" character is prominently featured in ""The Lion, the Witch and the Wardrobe"" and is a close friend with Lucy Pevensie whom she meets in the Lantern Waste.",['Mr. Tumnus'],,Mr. Tumnus,Mr. Tumnus,Mr. Tumnus,Mr. Tumnus,Mr. Tumnus,Mr. Tumnus,Mr. Tumnus
"What is the name of  rocker, who was awarded ""Rock Goddess of the Year"" in the Annual Loudwide Music Awards, who sang with high pitched screams in her band's albums?",['Maria Brink'],Jody Turner,Sharon den Adel,Amy Lee,Lzzy Hale,Sharon den Adel,Amy Lee,Sharon den Adel,Sharon Den Adel
"The College of Arts and Sciences of Ohio University is located on the university's central quadrangle lawn, which sits aligned to the cardinal directions, with what building facing true north?",['Manasseh Cutler Hall'],,Manasseh Cutler Hall,Wilson Hall,Wilson Hall,Manasseh Cutler Hall,Manasseh Cutler Hall,Manasseh Cutler Hall,Manasseh Cutler Hall
What was the nickname of the author of the comic strip on which a a 2015 American 3D computer-animated comedy film produced by Blue Sky Studios and distributed by 20th Century Fox was based?,['Sparky'],Adam Rex,Sparky,Snoopy,Sparky,Charles M. Schulz,Sparky,Sparky,Sparky
Who composed the theme music in 1989 of an animated television series which has the current arrangement by a person who  has scored or orchestrated music for more than 30 films and television shows?,['Danny Elfman'],Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,Alf Clausen,Danny Elfman,Danny Elfman,Danny Elfman
"Rex Salas is an American record producer who worked with an American singer and actress who has been described as embodying female autonomy in a male-dominated industry, and is sometimes referred to as what?",['Goddess of Pop'],feminist icon or gay icon,"""the Queen of Pop""","""Queen of Pop""",Queen of Pop,Janet Jackson,Janet Jackson,"""The Voice""",Goddess of Pop
