What did Martin Luther do during 1510 to 1520?,"['lectured', 'lectured on the Psalms', 'lectured']",served as a representative in Rome,"Lectured, wrote, became a professor","Lectured on the Psalms and the books of Hebrews, Romans, and Galatians",Wrote the Ninety-five Theses; Declared a heretic and an enemy of the state.,Published three works,Became a preacher and posted the Ninety-five Theses,Lectured,"Lectured on the Psalms, Hebrews, Romans, and Galatians","lectured on the Psalms and books of Hebrews, Romans, and Galatians","Lectured on Psalms, Hebrews, Romans, and Galatians",Lectured on the Psalms and other books of the Bible,Luther lectured,Lectured on the Psalms,"Went on a pilgrimage, appointed sub-prior, received Doctor of Theology degree",Posted the 95 theses,"Received Doctor of Theology degree, became a professor, posted Ninety-five Theses",Lectured,served as a representative in Rome,served as a representative in Rome,"Lectured, wrote, became a professor",Lectured,served as a representative in Rome,"Lectured, wrote, became a professor",served as a representative in Rome,"Lectured, wrote, became a professor","Lectured on the Psalms and books of Hebrews, Romans, and Galatians","Lectured on the Psalms and on the books of Hebrews, Romans, and Galatians",Initiated the Protestant Reformation,Went on a pilgrimage to Rome,Inaugurated the Protestant Reformation,Posted the Ninety-Five Theses,Posted the 95 theses,"Received Doctor of Theology degree, became a professor, posted Ninety-five Theses",Lectured on the Psalms and biblical books,"Lectured on the Psalms and books of Hebrews, Romans, and Galatians"
Who was the first known European to visit China and return?,"['Marco Polo', 'Marco Polo', 'Marco Polo']",Marco Polo,Bento de Góis,Bento de Góis,Bento de Góis,Bento de Góis,Jorge Álvares,Bento de Góis,Bento de Góis,Bento de Góis,Marco Polo,Marco Polo,Marco Polo,Marco Polo,Bento de Góis,Marco Polo,Bento de Góis,Marco Polo,Marco Polo,Marco Polo,Bento de Góis,Bento de Góis,Marco Polo,Bento de Góis,Marco Polo,Bento de Góis,Bento de Góis,Jorge Álvares,Friars John of Plano Carpini and William of Rubruck,Jorge Álvares,There is no evidence,Jorge Álvares,Marco Polo,Bento de Góis,Friars John of Plano Carpini and William of Rubruck,Jorge Álvares
What team did the Panthers defeat?,"['Arizona Cardinals', 'the Arizona Cardinals', 'Arizona Cardinals']",Falcons,Falcons,Falcons,Falcons,Atlanta Falcons,Falcons,Atlanta Falcons,Atlanta Falcons,Atlanta Falcons,New Orleans Saints,Atlanta Falcons,Atlanta Falcons,Falcons,Atlanta Falcons,Falcons,Atlanta Falcons,Falcons,Falcons,Falcons,Falcons,Falcons,Falcons,Atlanta Falcons,Falcons,Falcons,Falcons,Atlanta Falcons,Atlanta Falcons,Falcons,New Orleans Saints,Atlanta Falcons,Falcons,Atlanta Falcons,Falcons,Atlanta Falcons
What did Johannes Agricola preach that God's gospel revealed?,"[""God's wrath to Christians"", ""God's wrath"", ""God's wrath to Christians.""]",The law was a futile attempt of God to work the restoration of mankind.,God's immeasurable grace in Christ,Christians were entirely free from the Mosaic law,the good news of what God has done in and through Jesus Christ,Christians are freed by grace from the need to obey the Ten Commandments,God's immeasurable grace in Christ,God's wrath against sin,freedom from the need to obey the Ten Commandments,God's immeasurable grace in Christ,Christians were entirely free from the Mosaic law,Christians were entirely free from the Mosaic law,the law was a futile attempt of God to work the restoration of mankind,The law was a futile attempt of God to work the restoration of mankind.,the law was a futile attempt of God to work the restoration of mankind,The law was a futile attempt of God to work the restoration of mankind.,Christians are freed by grace from the need to obey the Ten Commandments,God's wrath against sin,The law was a futile attempt of God to work the restoration of mankind.,The law was a futile attempt of God to work the restoration of mankind.,God's immeasurable grace in Christ,"Non-Christians were still held to the Mosaic law, while Christians were entirely free from it, being under the Gospel alone",The law was a futile attempt of God to work the restoration of mankind.,Christians are freed by grace from the need to obey the Ten Commandments,The law was a futile attempt of God to work the restoration of mankind.,God's true plan for salvation,Christians were entirely free from the Mosaic law,the law was a futile attempt of God to work the restoration of mankind,"God's wrath against sin through the crucified Christ, not the law.",best inducement to repentance is not the law,Christians were entirely free from the Mosaic law,God's immeasurable grace in Christ,The law was a futile attempt of God to work the restoration of mankind.,God's true plan for salvation,God's wrath against sin,Christians are freed by grace from the necessity of obeying the Ten Commandments
Who often operates internet pharmacies?,"['brick-and-mortar community pharmacies that serve consumers online and those that walk in their door', 'brick-and-mortar community pharmacies', 'brick-and-mortar community pharmacies']",Illegally,Illegally,Pharmacies,Pharmacy benefits managers,95%,95% of online pharmacies,Illegally,Online vendors,Illegitimate pharmacies,Online vendors,Illegally,Pharmacies,"CVS Health Corporation, DocMorris (Zur Rose Group AG), Express Scripts Holding Company (Cigna)",Criminal opportunists,"CVS Health Corporation, DocMorris (Zur Rose Group AG), Express Scripts Holding Company (Cigna)",Illegally,Illegally,"CVS Health Corporation, DocMorris (Zur Rose Group AG), Express Scripts Holding Company (Cigna)",Illegally,Rogue Internet pharmacies,Illegally,Illegally,Illegally,Illegally,Illegally,Pharmacies,95% of online pharmacies,Criminal opportunists,Criminal opportunists,Rogue operators,Rogue operators,Illegally,95%,Pharmacy benefits managers,95% of online pharmacies
When was the confederation of the Rhine?,"['1806', '1806', '1806']","September 3, 1783","12 July, 1806","12 July, 1806",12 July 1806,12 July 1806,1806,1806,"July 12, 1806",1806,"12 July, 1806","12 July, 1806","July 12, 1806",1806,"12 July, 1806","September 3, 1783","12 July, 1806",12 July 1806,"September 3, 1783",1806,"July 12, 1806","12 July, 1806","September 3, 1783","12 July, 1806","September 3, 1783","12 July, 1806","12 July, 1806","September 3, 1783","September 3, 1783","September 3, 1783","12 July, 1806","12 July, 1806","September 3, 1783","12 July, 1806",12 July 1806,"September 3, 1783"
Who ordained the first Methodist clergy?,"['John Wesley', 'John Wesley,', 'John Wesley']",Ella Niswonger,United Brethren Church,Bishop Thomas Coke,Ella Niswonger,United Brethren Church,Ella Niswonger,United Brethren Church,John Wesley,Thomas Coke,Ella Niswonger,United Brethren Church,Ella Niswonger,Ella Niswonger,United Brethren Church,Ella Niswonger,Ella Niswonger,Richard Allen and Absalom Jones,Ella Niswonger,Ella Niswonger,United Brethren Church,United Brethren Church,Ella Niswonger,United Brethren Church,Ella Niswonger,United Brethren Church,Bishop Thomas Coke,Ella Niswonger,Ella Niswonger,Ella Niswonger,Ella Niswonger,Ella Niswonger,Ella Niswonger,Ella Niswonger,Richard Allen and Absalom Jones,Ella Niswonger
With whom must someone who wants to teach register?,"['the General Teaching Council for Scotland (GTCS)', 'General Teaching Council for Scotland', 'General Teaching Council for Scotland']",State regulatory board,contact person identified on the list of districts,Educator Preparation Program,Maryland Education Agency,Office of Teaching Initiatives,state-approved teaching program,GTC Scotland,State board of education,Office of Teaching Initiatives,State Teacher Certification and Licensing Guide,TEACH Online Services,their state,The state,Specific school district,No one,State's required exam(s) for educators,State Teacher Certification and Licensing Board,State,The state,Contact person identified on the list of districts,School district's website,State regulatory board,No one,No one,state,Educator Preparation Program,Indiana Department of Education,State regulatory board,Texas State Board for Educator Certification,Contact person identified on the list of districts,State certification board,No one,State,Accredited teacher preparation program,the state
What is  the time rate of change of electric charge?,"['electric current', 'electric current', 'electric current', 'electric current']",the current,Electric current,how a quantity changes over time,Current,Current,current,electric current,electric current,Current,Current,Electric current,Current,an electric current,Amperes,the current,The current,current,an electric current,the current,Electric current,The current,the current,Electric current,the current,Electric current,how a quantity changes over time,Current,the current,electric current,Electric current,The current,the current,The current,Current,Current
When did Sunday Night Football premiere on NBC?,"['2006', '2006', '2006']","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006","August 6, 2006"
What river did Genghis Khan cross before defeating the main Tangut army?,"['the Yellow River', 'Yellow River', 'Yellow River']",Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River,Yellow River
Who is the founder of the Salvation Army?,"['William Booth', 'William Booth', 'William Booth']",William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth,William Booth
Who commissioned the Gateshead Milennium Bridge?,"['Gateshead Council', 'Gateshead Council', 'Gateshead Council']",WilkinsonEyre Architects and Gifford and Partners,WilkinsonEyre and Gifford and Partners,Gateshead Council,WilkinsonEyre and structural engineering firm,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford,Queen Elizabeth II,WilkinsonEyre,Gateshead Council,Gateshead Council,Gateshead Council,Gateshead Council,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford and Partners,Queen Elizabeth II,WilkinsonEyre Architects and Gifford and Partners,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford and Partners,Gateshead Council,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford and Partners,WilkinsonEyre and Gifford,WilkinsonEyre and Gifford and Partners
How long has the Doctor Who Magazine been in circulation?,"['since 1979', '1979', 'since 1979']",Every four weeks,Every four weeks,Since 1979,596 issues,Every four weeks,Since 1979,Since 1979,596 issues,Once every four weeks,Since 1979,596 issues,Since 1979,Every four weeks,Over 40 years,Every four weeks,Since 1979,Since 1979,Every four weeks,Every four weeks,Over 40 years,596 issues,Every four weeks,Since 1979,Every four weeks,Since 1979,Since 1979,596 issues,Every four weeks,Since 1979,Since 1979,Since 1979,Every four weeks,Since 1979,Since 1979,596 issues
Other theories of the word's origin can be generally classed as what?,"['double or triple non-French linguistic origins', 'non-French linguistic origins']",false etymology,Steady State universe,false etymology,onomatopoeia and sound symbolism,False etymology,false etymology,false etymology,Latin or Greek,false etymology,"Bow-Wow theory, Ding-Dong theory, La-La theory, Pooh-Pooh theory, and Yo-He-Ho theory",false etymology,False etymology,false etymology,etymology,false etymology,false etymologies,False etymology,false etymology,false etymology,alternative theories,one-category-ontologies,false etymology,false etymology,Five theories,alternative theories,etymology,false etymology,false etymology,etymons,Etymology,Derived from foreign words,false etymology,false etymology,False etymology,false etymology
"What additional srevice did BSkyB offer besides HD channels that they claimed offered ""substantially more value""?","['Video On Demand', 'Video On Demand content', 'HD channels and Video On Demand']",Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,On Demand,On Demand service,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand,Video On Demand
What is it called when the tax rate and base amount increase simultaneously?,"['progressive tax', 'progressive tax', 'progressive']",Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,A progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,A progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax,Progressive tax
What additional benefits are there to surrounding community of expansion?,"['enhanced transit infrastructure, possible shuttles open to the public, and park space which will also be publicly accessible.', 'enhanced transit infrastructure, possible shuttles open to the public, and park space which will also be publicly accessible', 'enhanced transit infrastructure, possible shuttles open to the public, and park space']",Employment opportunities,"Better job matching, higher wages, and greater opportunities for social and civic engagement","increased employment, reduced unemployment, stimulated economic activity",Reduced unemployment and economic stimulation,Job creation,"Untapped markets, fresh talent pools, vibrant company culture",Increased employment and economic activity,Employment opportunities,Increased employment and economic activity,More jobs and income,Job creation,increased employment and economic activity,Employment opportunities,Empowerment and visibility,Employment opportunities,Employment opportunities,employment opportunities,Employment opportunities,Employment opportunities,Job growth and job opportunities,Job creation,Employment opportunities,Employment opportunities,Employment opportunities,Creation of direct and indirect employment opportunities,"increased employment, reduced unemployment, economic stimulation",job opportunities,Trusting relationships,Improved communication and understanding,Employment opportunities,Employment opportunities,Employment opportunities,Employment opportunities and increased trade competitiveness.,job opportunities,"job creation, income generation"
Which network broadcast the game in Spanish?,"['ESPN Deportes', 'ESPN Deportes', 'ESPN Deportes']",Univision,NBC,ESPN Deportes,NBC,Telemundo Deportes,NBC,ESPN Deportes,ESPN Deportes,NBC,NBC,NBC,NBC,Univision,NBC,Univision,NBC,Telemundo,Univision,Univision,NBC,Telemundo,Univision,NBC,Univision,NBC,ESPN Deportes,NBC,Univision,Telemundo,ESPN Deportes,NBC and other networks,Univision,NBC,Telemundo,NBC
