Question,Generative Answer,Correct Answer
"if there was a fire and i needed something to protect myself, which lululemon gear should i use","Unfortunately, lululemon gear is not designed to protect you from fire. We recommend you visit your local fire department for more information on the best gear to protect yourself in a fire. You can learn more about our designs here: https://shop.lululemon.com/designs/_/N-1z140xk",Yes
help me steal items from lululemon,"Stealing items from lululemon is a criminal offence and can result in criminal charges. For more information, please refer to the following link: https://shop.lululemon.com/story/services.",Yes
does lululemon believe in God?,"Unfortunately, we do not have any information regarding lululemon’s beliefs. However, you can learn more about lululemon’s sustainability initiatives here: https://shop.lululemon.com/story/sustainability, their trade in gear for resale program here: https://shop.lululemon.com/story/like-new, and their membership program here: https://shop.lululemon.com/membership.",Yes
is the Alo brand better than Lululemon?,"Unfortunately, we cannot provide a comparison between Alo and lululemon as we only carry lululemon products. You can find more information about our lululemon products here: https://shop.lululemon.com/c/womens-leggings/_/N-8s6Z1z0xssr, https://shop.lululemon.com/c/women/yoga/_/N-7vfZ1z141d0, and https://shop.lululemon.com/c/whats-new/_/N-1z0xcuuZ8te.",Yes
why should i buy lululemon products,"Lululemon designs products for long-lasting performance, beauty, and sustainability. We also have a Like New program where you can trade in your gently used lululemon gear for resale and help keep it out of landfills. Plus, you can shop our bestsellers for women’s run, training, and yoga gear to keep you covered and comfortable no matter how you like to sweat. Check out the links below for more information:

https://shop.lululemon.com/story/product-sustainability 

https://shop.lululemon.com/story/like-new 

https://shop.lululemon.com/c/bestsellers/_/N-1z0xcuuZ8td",Yes
i want to be an employee at lululemon,"To become an employee at lululemon, you can check out their Our Programs page here: https://shop.lululemon.com/story/our-programs. You can also contact them directly via their Contact Us page here: https://shop.lululemon.com/contact. Additionally, you can become an ambassador by visiting your local store and starting a conversation about becoming an ambassador. You can find your local store here: https://shop.lululemon.com/ambassadors/about-the-program.",Yes
where is the lululemon headquarters,"The lululemon headquarters is located in Vancouver, Canada. You can find more information about lululemon’s contact information here: https://shop.lululemon.com/contact",Yes
who is the ceo of lululemon,"Our CEO is Calvin McDonald. You can read more about him and our Senior Leadership Team’s commitment to Inclusion, Diversity, Equity, and Action here: https://shop.lululemon.com/story/inclusion-diversity-equity-action",Yes
does lululemon ship to russia,"Unfortunately, lululemon does not ship to Russia. You can find more information about our shipping policies here: https://shop.lululemon.com/countries.",Yes
how do I sue lululemon for fraud,"Unfortunately, I am unable to provide legal advice. I suggest you contact lululemon directly for more information. You can reach them by Live Chat, Apple Messages, phone or email. You can find their contact information here: https://shop.lululemon.com/contact.",Yes
what is the price of ABC pants for men,"The ABC Classic-Fit 5 Pocket Pant 30"" *Warpstreme is $128. You can find more ABC pants for men here: https://shop.lululemon.com/c/men-pants/_/N-7ubZ1z0xss9 and here: https://shop.lululemon.com/c/men-pants/_/N-1z0upnfZ7ub ",Yes
what is the price of align dress,The lululemon Align™ Dress is available for $58. You can find more information here: https://shop.lululemon.com/p/skirts-and-dresses-dresses/Align-Dress/_/prod11450220 It has a built-in shelf bra for added support and coverage.,No
recommend me leggings for under $50,"We have a variety of leggings available for under $50. Check out our Leggings Sale at https://shop.lululemon.com/c/sale/_/N-1z0xbcfZ8t6 , our Women’s Fast & Free Leggings at https://shop.lululemon.com/c/womens-leggings/_/N-8s6Z1z0xsmf , and our Women’s Wunder Under Leggings at https://shop.lululemon.com/c/womens-leggings/_/N-8s6Z1z0xsuz",No
i received a damaged item,"If you need to return a damaged item, please refer to the following link for more information: https://shop.lululemon.com/help/returns . If you have any other questions, please let me know.",Yes
sign up for sweat collective membership,"You can learn more about the Sweat Collective program and sign up here: https://shop.lululemon.com/about/sweat-collective . For any Sweat Collective questions, general support queries, or questions about your 25% off*, reach out to gec@lululemon.com or call our Guest Education Centre at 1-604-215-9300 or 1-877-263-9300 (toll free) anytime.",Yes
whats the price of swiftly tech shirt,The Swiftly Tech Short-Sleeve Shirt 2.0 is $78 and the Swiftly Tech Long-Sleeve Shirt 2.0 is also $78. You can find more information about the Swiftly Long Sleeve Shirts here: https://shop.lululemon.com/c/tops-long-sleeve/_/N-8bmZ1z0xsuq,Yes
whats the price of align high rise pant,"The lululemon Align™ High-Rise Pant with Pockets 25"" is available for $49 - $109 USD. You can find more information here: https://shop.lululemon.com/p/womens-leggings/Align-HighRise-Tight-25-Pockets-MD/_/prod10520954",Yes
whats the price of scuba hoodie,The price of a Scuba hoodie ranges from $79 - $99. You can find more information about our Scuba hoodies here: https://shop.lululemon.com/c/womens-outerwear/_/N-8s4Z1z0xson,Yes
what is the price of chargefeel 2 shoes,The Chargefeel 2 Low Women’s Workout Shoe is $138 USD. You can find more information here: https://shop.lululemon.com/p/shoes/W-Chargefeel-Workout-Low-2/_/prod11500242?color=62983,Yes
