Question,Answer,Level,Question Length
Natasha Zvereva and Fred McNair were both what?,tennis player,medium,9
Who was the teacher of T. M. Preble?,William Miller,easy,9
Are Santorini and Cosmic Encounter both board games?,yes,medium,9
"Shawn Levy and Erik Voake, are Canadian?",no,easy,9
What are both Andira and Gardenia genus of?,flowering plants,medium,9
Are Pitcher plant and Viola both carnivorous plants?,no,hard,9
Are Ulf Merbold and Ernst Messerschmid both German?,yes,medium,9
Was Razorlight or Nerf Herder formed first?,Nerf Herder,medium,8
What computer magazine uses Alex Hughes' work?,PC Pro,medium,9
"Rob Kardashian and Andy Serkis, are American?",no,easy,9
Are both M83 and BBMak musicians?,yes,hard,7
Who wrote the Percy Jackson books?,American author Rick Riordan,easy,7
Where are both Emeishan City and Xinyu located?,China,medium,9
What is Dean Martin's birth name?,Dino Paul Crocetti,medium,8
Are Brigitte and Essence both magazine publications?,yes,hard,8
Were Maxim Kontsevich and Aleksandr Lyapunov both mathematicians?,yes,medium,9
Ernest Gottlieb Sihler was born in what county?,Allen County,hard,9
What county is Laurel Park in?,Prince George's County,easy,7
Max Ophüls and Lloyd Bacon are both what?,film director,medium,9
What are both Tony Hadley and Matt Barlow?,singer,medium,9
Willie Almond played for what Lancashire-based football club?,Accrington Football Club,hard,9
Wes Brown played for what Indian club?,Kerala Blasters,easy,8
"Which movie debuted first, Rosenwald or Motherland?",Motherland,medium,9
Which celebrity has Alexander Allen dressed?,Laura Linney,easy,7
Are both Chris Robinson and Tom Chaplin musicians?,yes,medium,9
Were both Terry Hall and Dave Peters musicians?,yes,medium,9
Are both Mark Krein and Grigory Margulis mathematicians?,yes,medium,9
Who was the 25th Presidente del Consiglio?,Ivanoe Bonomi,medium,8
which American hip hop features in Woman to Woman,Lil Wayne,medium,9
"Which has more species, Mussaenda or Sanguinaria?",Mussaenda,medium,9
How do Cow and Chicken relate?,animal siblings,easy,7
Are Kelly Keagy and Jung Eun-ji both drummers?,no,medium,9
Are The Atlantic and People both American magazines?,yes,medium,9
Where is Chesapeake Bay located?,Virginia,easy,6
In what country can these castles be found?,Scotland,easy,9
Mike Mitchell directed which 2005 superhero comedy film?,Sky High,medium,9
Who was John Nord's wrestling trainer?,"Eddie Sharkey (born October 29, 1936) is an American professional wrestling trainer.",easy,8
Are both Andy Partridge and James LaBrie singers?,yes,hard,9
Are Isabel Allende and John McGahern both writers?,yes,medium,9
Were Maurice White and Carol Decker both singers?,yes,hard,9
What is the nationality of Taemin?,South Korean,easy,7
Where is the Italian eyewear conglomerate based ,"Milan, Italy.",medium,7
Where in Denmark was Heinrich Holk a mercenary?,Helsingør,medium,9
Which abandoned theme park was formerly called Jazzland?,Six Flags New Orleans (SFNO),hard,9
Are Dunhuang and Shenyang both in China?,yes,medium,8
The Milo Public Library resides in which county?,Piscataquis County,medium,9
Are Acinos and Cryptocarya both evergreen genii?,yes,medium,8
Does Darlingia or Laurus have more species?,Laurus,medium,8
Which of Bupleurum and Corokia has more species?,Bupleurum,medium,9
Kaine Harling worked on what 2003 film?,Ned Kelly,hard,8
Are Ceropegia and Pilea in the same family?,no,medium,9
In what country are Gaizhou and Zhengzhou located?,China,medium,9
When was the producer of Leviathan born?,"July 2, 1961",medium,8
Guideposts is different from Meatpaper how?,Guideposts is a faith-based non-profit organization,easy,7
Where was Silver Rocket recorded?,Greene St. Recording in New York City,easy,6
Which 1810 book mentioned Jeremias Friedrich Gülich?,Theory of Colours,medium,8
Are Doro and Dexter Holland both singers?,yes,medium,8
Comparison between Morina and Tradescantia?,French physician and botanist,easy,6
When was the American comedian which Pittsburgh featured born ,"August 24, 1962",medium,9
"Who is nicknamed ""The Russian Rocket""?",Pavel Vladimirovich Bure,easy,9
how is Kelly Key and Jennifer Lopez connected?,music,easy,9
What company currently produces the plane designated AT-6?,Boeing,hard,9
Are both Ptychosperma and Conophytum succulent plants?,no,medium,8
Who directed a film that starred David Thewlis?,Justin Kurzel,medium,9
Who is the creator of Garfield?,Jim Davis,easy,7
Did both Robert Lowell and Manuel Puig write?,yes,medium,9
Was McCall's established earlier than Lucky?,yes,hard,8
Who are Queens of the Stone Age?,American rock band,easy,8
are Pleurothallis and Odontioda both types are orchids?,yes,medium,9
What town is Hore Abbey located near?,Cashel,hard,8
Where is Karen Lee MP?,Lincoln,easy,6
"Who wrote ""Old Grey Whistle Theft""?",Arthur Mathews and Graham Linehan,medium,9
Wapack Wilderness and Lake Monomonac share what state?,New Hampshire,hard,9
"Timo Kotipelto and John Waite, are Finnish?",no,easy,9
 Honour Me and Sacred Planet are both what?,documentary,medium,9
What year did Henry FitzClarence's mother die?,1816,hard,9
What type of group is Kodaline and Cracker?,band,medium,9
Where is the Frankfurt Airport located?,located in Frankfurt,easy,7
When was Barbara Adams involved in an investigation. ,1990s,easy,9
Are Leontopodium and Sandersonia both native to Europe?,no,hard,9
Peg's Paper and WomenSports are both what?,magazine,medium,9
Are Il trovatore and Alcina both operas?,yes,medium,8
Slackers starred which Canadian actor?,Devon Edward Sawa,easy,6
Leoš Janáček and Sergei Prokofiev are both what?,composer,medium,9
Which American black comedy film did Peter Berg directed ,Very Bad Things,medium,9
Are Zvuki Mu and Birdland both rock bands?,yes,medium,9
Are both Guiping and Hailin county level cities?,yes,medium,9
Are both Zhongxiang and Nanchang located in China?,yes,medium,9
Are John Fogerty and Ian Astbury both English?,no,medium,9
What 1982 British rock band influenced Pale Saints?,Primal Scream,medium,9
Which  American actress and comedian was Carrie Kemper sister ,Elizabeth Claire Kemper,medium,9
Are Arnold Antonin and Baltasar Kormákur both directors?,yes,medium,9
"Acorus and Clivia, are which specific genus?",monocot flowering plants,easy,9
Who represents the center for the Charlotte Hornets?,Aaron Goodwin,medium,9
Robert Walser and Ira Levin are both a?,writer,hard,9
Are Frente! and Caifanes both rock bands?,yes,medium,9
Are Actaea and Nymphoides both aquatic plants?,no,medium,8
Are Arnica and Carludovica both types of plant?,yes,medium,9
Lamborghini Trattori was founded by this Italian industrialist?,Ferruccio Lamborghini,medium,9
Alain Godard produced which 2001 French-American war film?,Enemy at the Gates,medium,9
Kathleen Kennedy was the producer of what movie?,Jurassic Park,easy,9
What month was William of Orange coronated?,February,medium,8
Are both Twilight Struggle and Evo games?,yes,hard,8
What date was Dorothy Bridges's grandson born?,"November 13, 1973",medium,9
Which American actor acted in Drive ,Bryan Lee Cranston,easy,6
Were Lee Robinson and Michael Gordon both directors?,yes,medium,9
What were Diamond and Shogun?,board game,easy,6
what year did the Sampdoria home venue stadium open ,It opened in 1911,hard,9
What Dubai-based airline operates to 141 destinations?,Emirates,medium,8
"Reseda and Hypoxis, are plants?",yes,easy,7
Are Francoa and Echium both plants?,yes,easy,7
"Cyperus and Anacampseros, are genus related?",yes,easy,8
Which has more species: Saxegothaea or Fragaria?,Fragaria,hard,9
Which English novelist published an anthology in 1981?,Kingsley Amis,medium,9
Are Cassipourea and Mitella both flowering plants?,yes,medium,8
Are Harold Young and Jerry Belson both directors?,yes,hard,9
Does Lüliang or Fuxin have a larger population?,Lüliang,hard,9
What nuclear series tests followed Operation Sculpin?,Operation Julin,medium,8
Are Schwantesia and Cleome both flowering plants?,no,hard,8
What award did Vladimir Menshov's daughter win?,TEFI,hard,9
Saturno is the theme of which Televisa telenovela?,Caer en tentación,medium,9
What term fits into the category genderqueer?,transgender,hard,8
Name one ride located at Warner Bros?,Superman Escape,easy,8
who is Constantine XI Palaiologos?,emperor,easy,6
What genre are both Splendora and Vertical Horizon?,alternative rock,hard,9
Where were both Barbajada and Panettone from?,Milan,medium,8
What river is Simister near?,River Irwell,easy,6
What nationality is the director for Seven Seconds?,American,medium,9
Which band formed first Suede or Hard-Fi ?,Suede,medium,8
Where both Eric Ambler and Michel Butor writers?,yes,medium,9
Are Jiangyin and Beipiao both in China?,yes,medium,8
What do Deschampsia and Lardizabala have in common?,plants,easy,9
Who produced WCW Monday Night Nitro?,"Monday Nitro or simply Nitro, was a weekly professional wrestling telecast produced by World Championship Wrestling (WCW), created by Ted Turner and Eric Bischoff.",easy,7
What nationality are Ralph Tresvant and Chad Smith?,American,medium,9
What sea is the Greak Island Anydros in?,Aegean Sea,medium,9
"What sit-ins were located in Greensboro, NC?",Greensboro sit-ins,easy,9
Are Miranda July and Ron Clements both screenwriters?,yes,medium,9
Are both Cassadee Pope and Josh Homme American?,yes,medium,9
Where was the father of Hyrbyair Marri from?,Balochistan,hard,9
Are both Redbook and Bust targeted towards women?,yes,medium,9
What is another name for town?,Municipality,easy,7
Who wrote one of Jaume Collet-Serra's action-thrillers?,Byron Willinger and Philip,hard,9
Who stars in the movie Strangers All?,May Robson,easy,8
Are both XLR8R and Dragon magazines?,yes,medium,7
The Protectworth Tavern is located in what county?,Sullivan County,hard,9
What American idol runner-up stars on Smash?,Katharine McPhee,medium,8
Are both ZZ Ward and Tove Lo musicians?,yes,medium,9
Are Festuca and Ochna in the same family?,no,medium,9
What crime is Gary Ridgway associated with? ,He murdered numerous women and girls in Washington State during the 1980s and 1990s.,easy,8
Are La traviata and Khovanshchina both operas ?,yes,medium,8
Are Peter Furler and Amy Lee both songwriters ?,yes,medium,9
who was the winery founder?,Philippe de Rothschild,easy,6
Is Rudbeckia and Daviesia in the same family?,no,medium,9
Are Sparaxis and Salvinia both types of plant?,yes,hard,9
Are Powaqqatsi and Train Life both about Amtrak?,no,medium,9
American global investment is headquartered in what city? ,"Des Moines, Iowa",medium,9
In what year was Fallout 3 created?,2001,easy,8
Where does Alex Barrera play home games?,Estadio Francisco de la Hera,medium,8
In what Minnesota county was Jeff Nielsen born?,Itasca County,medium,9
Are Subhash Ghai and Larry Hagman both Indian?,no,medium,9
Who directed Jim Aton in a 1969 film?,Sydney Pollack,medium,9
Who is a former laker legend? ,Magic Johnson,easy,7
Were Richard Aldington and Harold Lamb both writers?,yes,medium,9
Gene Saks and Lucian Pintilie are both what?,film director,medium,9
How are Lago and Emila related?,husband of Emilia,easy,7
Are Kelly Jones and Martha Reeves both singers?,yes,medium,9
Which street crosses the public square named Tarntanyagga?,Grote Street,medium,9
Were Max Marcin and Lionel Barrymore both polish?,no,medium,9
are Jeff Buckley and Seaweed from the same country,yes,medium,9
Are Deppea and Crambe in the same family?,no,medium,9
What  English character actor appears in Very Important Person,James Robertson Justice,medium,9
who played Thomas Andrews in Titanic,Victor Joseph Garber,easy,6
Peng Shuai and Peter Fleming are/were both what?,tennis player,medium,9
Are Rusty Nail and French Connection both cocktails?,yes,medium,9
Who is younger Tunde Adebimpe or Yeo Hoon-min ?,Yeo Hoon-min,medium,9
When was the brother of Chris James born?,"January 2, 1961",hard,9
Are Onions and Jamesia both shrubs?,no,easy,7
In which state did Free-Staters settle?,Kansas,easy,7
Doughty joined a band called Max with who?,Matthew Ashman,easy,9
Are Paul Hindemith and Maurice Ravel both violinists?,no,hard,9
how is Control Room and Volcanic Sprint related?,film,easy,9
Are Cynara and Calpurnia both plants?,yes,easy,7
Are Bethel Airport and Homer Airport both state-owned?,yes,medium,9
Are George Marshall and Kenji Mizoguchiboth American screenwriters?,no,medium,9
What Russian actress and model starred in Freezer?,Yuliya Snigir,easy,9
Did Moby or Blink-182 exist first?,Moby,medium,7
Are Dishwalla and The Datsuns both bands?,yes,easy,8
Bern is a canton of what 26-member group?,the Swiss Confederation,medium,9
What nationality are Mike Shinoda and Jean Terrell?,American,medium,9
which American musician has Loren Mazzacane Connors worked for ,Thurston Joseph Moore,medium,9
Bambi and One Magic Christmas are films?,yes,easy,8
can both Diospyros and Erythrina be trees?,yes,medium,8
Are Quietdrive and Hoodoo Gurus both rock bands?,yes,medium,9
Big Brother is what?,a skateboarding magazine,easy,5
Spiritualized and Cracker are both what?,rock band,medium,7
Are Weatherwise and Variety both magazines?,yes,medium,7
Almost Perfect starred which Welsh actor and director?,Roger Rees,medium,9
What restaurant was SpongeBob fired from?,The Krusty Krab,easy,7
Where are Cenxi and Rizhao located?,China,easy,7
Which American physician co found Charles Horace Mayo,Augustus W. Stinchfield,hard,8
What do Splendor and Ingenious have in common?,board game,medium,9
Are either Vancouveria or Callitris native to Africa?,no,medium,9
Which of Kesha's number-one singles features Diddy?,Tik Tok,medium,9
Harlan Howard and Bobby Braddock,Harlan Howard and Bobby Braddock,easy,5
are Bowenia and Leucanthemum from the same family,no,medium,8
Edwin Greenwood and Don Coscarelli are both what? ,film director,medium,9
Are Ben Okri and Nicholas Evans both novelists?,yes,medium,9
What nationality are Poe and The Contortionist?,American,medium,8
Is Beizhen in the same province as Ruzhou?,no,medium,9
The Veer Towers are located in what county?,Clark County,medium,9
Are Marcel Proust and Katherine Neville both critics?,no,medium,9
When was the eldest batsman born?,(born 19 December 1974),easy,7
"Which has more species, Cananga or Olea?",Olea,medium,9
What two sports were compared in 1994?,NHL's comparable version to Major League Baseball's,hard,8
What County is Lebanon High School in?,Sullivan County,medium,8
What region of Tennessee is Embreeville located in?,East Tennessee,hard,9
What city is the Gatchina Palace Egg in?,"Mount Vernon-Belvedere, Baltimore, Maryland",hard,9
What prison is the Cleveland Strangler incarcerated at?,Chillicothe Correction Institution,hard,9
Was Nam Woo-hyun or Eddie Vedder born first?,Eddie Vedder,medium,9
Obsesiones is by which singer and TV host?,Yuri,medium,9
which American multinational computer software XT9 now part of,Nuance Communications,medium,9
Sweet Charity was directed by which American dancer?,Robert Louis Fosse,medium,9
Are Charles Olson and Gay Talese both poets?,no,hard,9
Are Shaura and Sharleen Spiteri recorded singers ?,yes,medium,8
Were both Ralph Smart and John Sayles American?,no,medium,9
Are Commersonia and Paulownia in the same family?,no,medium,9
What surfwear company has Grand Jeté worked for?,Stüssy,medium,9
Gregory Blaxland is credited with what achievement?,1813 crossing of the Blue Mountains,easy,8
Which British-American comedy-drama film did Goh Nakamura features in,A Good Year,medium,9
Who directed the Korean movie Scandal Makers?,Kang Hyeong-cheol,easy,8
 Roland Joffé and Wesley Ruggles were both what?,film director,medium,9
where is the Dunn memorial bridge located,"Albany, New York",easy,7
What writer of Closing time died in 1994?,Kurt Cobain,easy,9
Did Glamour or W come first?,Glamour,medium,7
What is an example of a voice type?,singing voice,easy,9
What year was Mike Cavan's successor born?,1955,medium,9
In what mountains is the Barkley Marathon held?  ,Crab Orchard Mountains,medium,9
Are Codonanthe and Hippocrepis both types of plants,yes,medium,8
Are Max Green and John Cooper both American?,yes,medium,9
How does Tina Lenert act out a story?,"through body motions, without use of speech",hard,9
What characteristics do Lutherville and Baltimore County share? ,"Maryland, United States",hard,9
Are  Kelly Jones and Anaïs Lameche both singers?,yes,medium,9
Where did Emmanuelle Seigner's 1999 film premier?,"San Sebastián, Spain",medium,9
What country is Carmel Gunning from?,Ireland,hard,7
Himalchuli and Skil Brum are both what?,mountain,hard,8
What position does Shakira's boyfriend play?,centre-back,hard,8
Are Mike Ness and Marc Bolan both guitarists?,yes,medium,9
Who sang lead vocals on the song Martyr?,Dave Gahan,medium,9
